,Unnamed: 0,year,quintil_oecd_hh,sampreg,hlc0119_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1992,1st Quintile,West,Yes,0.29872,168,6506,0.26526,0.32823
1,1,1992,1st Quintile,West,No,0.70128,398,6506,0.65539,0.75817
2,2,1992,1st Quintile,East,Yes,0.53981,438,6506,0.5114,0.56818
3,3,1992,1st Quintile,East,No,0.46019,380,6506,0.43644,0.48698
4,4,1992,2nd Quintile,West,Yes,0.54902,449,6506,0.51389,0.58216
5,5,1992,2nd Quintile,West,No,0.45098,417,6506,0.41659,0.48513
6,6,1992,2nd Quintile,East,Yes,0.72914,446,6506,0.69683,0.76189
7,7,1992,2nd Quintile,East,No,0.27086,169,6506,0.25385,0.29048
8,8,1992,3rd Quintile,West,Yes,0.67662,656,6506,0.6393,0.71068
9,9,1992,3rd Quintile,West,No,0.32338,353,6506,0.2979,0.35447
10,10,1992,3rd Quintile,East,Yes,0.80152,256,6506,0.75591,0.85131
11,11,1992,3rd Quintile,East,No,0.19848,57,6506,0.17639,0.23201
12,12,1992,4th Quintile,West,Yes,0.7486,841,6506,0.7171,0.77339
13,13,1992,4th Quintile,West,No,0.2514,292,6506,0.23251,0.27117
14,14,1992,4th Quintile,East,Yes,1.0,110,6506,0.92612,1.07666
15,15,1992,5th Quintile,West,Yes,0.82444,836,6506,0.79352,0.85636
16,16,1992,5th Quintile,West,No,0.17556,190,6506,0.16173,0.1915
17,17,1992,5th Quintile,East,Yes,1.0,50,6506,0.86458,1.14495
18,18,1993,1st Quintile,West,Yes,0.33904,218,6445,0.31003,0.36211
19,19,1993,1st Quintile,West,No,0.66096,460,6445,0.61315,0.70609
20,20,1993,1st Quintile,East,Yes,0.49217,304,6445,0.46535,0.51996
21,21,1993,1st Quintile,East,No,0.50783,304,6445,0.47357,0.53611
22,22,1993,2nd Quintile,West,Yes,0.58167,457,6445,0.54399,0.62089
23,23,1993,2nd Quintile,West,No,0.41833,390,6445,0.38272,0.45133
24,24,1993,2nd Quintile,East,Yes,0.73302,456,6445,0.69421,0.76831
25,25,1993,2nd Quintile,East,No,0.26698,167,6445,0.24917,0.28716
26,26,1993,3rd Quintile,West,Yes,0.70419,672,6445,0.67105,0.74464
27,27,1993,3rd Quintile,West,No,0.29581,307,6445,0.2683,0.32254
28,28,1993,3rd Quintile,East,Yes,0.86378,329,6445,0.81738,0.91435
29,29,1993,3rd Quintile,East,No,0.13622,47,6445,0.10751,0.17129
30,30,1993,4th Quintile,West,Yes,0.72918,770,6445,0.69905,0.7562
31,31,1993,4th Quintile,West,No,0.27082,311,6445,0.24854,0.29349
32,32,1993,4th Quintile,East,Yes,1.0,176,6445,0.91584,1.08268
33,33,1993,5th Quintile,West,Yes,0.82375,827,6445,0.79666,0.85394
34,34,1993,5th Quintile,West,No,0.17625,190,6445,0.16062,0.18942
35,35,1993,5th Quintile,East,Yes,1.0,60,6445,0.83776,1.19043
36,36,1994,1st Quintile,West,Yes,0.32391,240,6374,0.29189,0.35369
37,37,1994,1st Quintile,West,No,0.67609,545,6374,0.62748,0.7255
38,38,1994,1st Quintile,East,Yes,0.51181,257,6374,0.47821,0.54445
39,39,1994,1st Quintile,East,No,0.48819,269,6374,0.45494,0.52589
40,40,1994,2nd Quintile,West,Yes,0.56025,457,6374,0.51378,0.59677
41,41,1994,2nd Quintile,West,No,0.43975,372,6374,0.40306,0.47868
42,42,1994,2nd Quintile,East,Yes,0.73145,405,6374,0.68718,0.76996
43,43,1994,2nd Quintile,East,No,0.26855,163,6374,0.24513,0.2928
44,44,1994,3rd Quintile,West,Yes,0.67491,642,6374,0.63812,0.70918
45,45,1994,3rd Quintile,West,No,0.32509,312,6374,0.29913,0.35625
46,46,1994,3rd Quintile,East,Yes,0.8613,339,6374,0.80713,0.91332
47,47,1994,3rd Quintile,East,No,0.1387,59,6374,0.11892,0.16067
48,48,1994,4th Quintile,West,Yes,0.75403,747,6374,0.72062,0.78665
49,49,1994,4th Quintile,West,No,0.24597,262,6374,0.22614,0.26702
50,50,1994,4th Quintile,East,Yes,1.0,208,6374,0.9299,1.07971
51,51,1994,5th Quintile,West,Yes,0.85157,829,6374,0.81632,0.89112
52,52,1994,5th Quintile,West,No,0.14843,163,6374,0.13494,0.16482
53,53,1994,5th Quintile,East,Yes,1.0,105,6374,0.89063,1.1458
54,54,1995,1st Quintile,West,Yes,0.32857,293,6590,0.29994,0.36157
55,55,1995,1st Quintile,West,No,0.67143,629,6590,0.62407,0.71466
56,56,1995,1st Quintile,East,Yes,0.48778,215,6590,0.44347,0.5264
57,57,1995,1st Quintile,East,No,0.51222,244,6590,0.47185,0.55533
58,58,1995,2nd Quintile,West,Yes,0.57175,506,6590,0.53689,0.61562
