,Unnamed: 0,year,rentown,sampreg,hlc0119_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1992,Owner,West,Yes,0.73716,1273,6530,0.71899,0.7557
1,1,1992,Owner,West,No,0.26284,474,6530,0.25027,0.27505
2,2,1992,Owner,East,Yes,0.67661,376,6530,0.63904,0.71038
3,3,1992,Owner,East,No,0.32339,183,6530,0.29825,0.34889
4,4,1992,Tenant,West,Yes,0.60026,1677,6530,0.58,0.61978
5,5,1992,Tenant,West,No,0.39974,1178,6530,0.37985,0.41712
6,6,1992,Tenant,East,Yes,0.64685,924,6530,0.62319,0.66772
7,7,1992,Tenant,East,No,0.35315,445,6530,0.33373,0.37116
8,8,1993,Owner,West,Yes,0.73123,1250,6473,0.71428,0.74842
9,9,1993,Owner,West,No,0.26877,488,6473,0.25505,0.28527
10,10,1993,Owner,East,Yes,0.72541,393,6473,0.69031,0.7685
11,11,1993,Owner,East,No,0.27459,153,6473,0.24939,0.29808
12,12,1993,Tenant,West,Yes,0.60897,1694,6473,0.58779,0.63006
13,13,1993,Tenant,West,No,0.39103,1171,6473,0.37058,0.41094
14,14,1993,Tenant,East,Yes,0.66893,932,6473,0.64761,0.69243
15,15,1993,Tenant,East,No,0.33107,392,6473,0.31026,0.34939
16,16,1994,Owner,West,Yes,0.7331,1276,6414,0.71085,0.75459
17,17,1994,Owner,West,No,0.2669,466,6414,0.25246,0.27942
18,18,1994,Owner,East,Yes,0.74678,403,6414,0.71288,0.78539
19,19,1994,Owner,East,No,0.25322,148,6414,0.22732,0.27914
20,20,1994,Tenant,West,Yes,0.59652,1638,6414,0.57726,0.61574
21,21,1994,Tenant,West,No,0.40348,1190,6414,0.38456,0.42301
22,22,1994,Tenant,East,Yes,0.69344,911,6414,0.66847,0.71879
23,23,1994,Tenant,East,No,0.30656,382,6414,0.28635,0.32533
24,24,1995,Owner,West,Yes,0.73719,1309,6609,0.71219,0.7602
25,25,1995,Owner,West,No,0.26281,463,6609,0.24716,0.28
26,26,1995,Owner,East,Yes,0.74961,408,6609,0.70796,0.79022
27,27,1995,Owner,East,No,0.25039,145,6609,0.22794,0.2734
28,28,1995,Tenant,West,Yes,0.57783,1703,6609,0.55447,0.60131
29,29,1995,Tenant,West,No,0.42217,1324,6609,0.40142,0.44176
30,30,1995,Tenant,East,Yes,0.6978,887,6609,0.67485,0.72669
31,31,1995,Tenant,East,No,0.3022,370,6609,0.28271,0.32188
32,32,1996,Owner,West,Yes,0.73653,1302,6541,0.7122,0.75762
33,33,1996,Owner,West,No,0.26347,485,6541,0.24662,0.2793
34,34,1996,Owner,East,Yes,0.74526,423,6541,0.70224,0.7859
35,35,1996,Owner,East,No,0.25474,155,6541,0.22954,0.27779
36,36,1996,Tenant,West,Yes,0.57667,1633,6541,0.5563,0.59779
37,37,1996,Tenant,West,No,0.42333,1302,6541,0.40437,0.44123
38,38,1996,Tenant,East,Yes,0.68154,856,6541,0.65497,0.71117
39,39,1996,Tenant,East,No,0.31846,385,6541,0.2953,0.33566
40,40,1997,Owner,West,Yes,0.71799,1289,6484,0.69295,0.74652
41,41,1997,Owner,West,No,0.28201,528,6484,0.26765,0.29747
42,42,1997,Owner,East,Yes,0.74675,439,6484,0.71285,0.78444
43,43,1997,Owner,East,No,0.25325,155,6484,0.22326,0.27847
44,44,1997,Tenant,West,Yes,0.57913,1592,6484,0.56022,0.60248
45,45,1997,Tenant,West,No,0.42087,1265,6484,0.39959,0.44049
46,46,1997,Tenant,East,Yes,0.68931,839,6484,0.65823,0.71932
47,47,1997,Tenant,East,No,0.31069,377,6484,0.28871,0.32923
48,48,1998,Owner,West,Yes,0.74237,1583,7313,0.7254,0.76711
49,49,1998,Owner,West,No,0.25763,593,7313,0.24561,0.26933
50,50,1998,Owner,East,Yes,0.73579,487,7313,0.6897,0.77374
51,51,1998,Owner,East,No,0.26421,185,7313,0.23787,0.28818
52,52,1998,Tenant,West,Yes,0.54439,1730,7313,0.52142,0.56115
53,53,1998,Tenant,West,No,0.45561,1468,7313,0.43663,0.47236
54,54,1998,Tenant,East,Yes,0.64509,819,7313,0.61974,0.67015
55,55,1998,Tenant,East,No,0.35491,448,7313,0.33607,0.37762
56,56,1999,Owner,West,Yes,0.74021,1572,7049,0.7197,0.76543
57,57,1999,Owner,West,No,0.25979,576,7049,0.24799,0.27461
58,58,1999,Owner,East,Yes,0.73834,488,7049,0.69506,0.78651
59,59,1999,Owner,East,No,0.26166,189,7049,0.23827,0.2873
60,60,1999,Tenant,West,Yes,0.55455,1627,7049,0.53568,0.572
61,61,1999,Tenant,West,No,0.44545,1361,7049,0.42696,0.46306
62,62,1999,Tenant,East,Yes,0.62075,779,7049,0.59996,0.64623
63,63,1999,Tenant,East,No,0.37925,457,7049,0.35517,0.40188
64,64,2000,Owner,West,Yes,0.73292,3292,12745,0.71914,0.74654
65,65,2000,Owner,West,No,0.26708,1272,12745,0.25909,0.27548
66,66,2000,Owner,East,Yes,0.71232,803,12745,0.68047,0.73832
67,67,2000,Owner,East,No,0.28768,336,12745,0.2722,0.30253
68,68,2000,Tenant,West,Yes,0.56844,2904,12745,0.55614,0.57979
69,69,2000,Tenant,West,No,0.43156,2238,12745,0.42185,0.44205
70,70,2000,Tenant,East,Yes,0.61532,1173,12745,0.59878,0.63231
71,71,2000,Tenant,East,No,0.38468,727,12745,0.36828,0.40025
72,72,2001,Owner,West,Yes,0.75006,3022,11498,0.73394,0.76327
73,73,2001,Owner,West,No,0.24994,1051,11498,0.24162,0.25855
74,74,2001,Owner,East,Yes,0.73632,792,11498,0.71238,0.77326
75,75,2001,Owner,East,No,0.26368,303,11498,0.24825,0.28211
76,76,2001,Tenant,West,Yes,0.57902,2650,11498,0.56635,0.59385
77,77,2001,Tenant,West,No,0.42098,1956,11498,0.4094,0.43356
78,78,2001,Tenant,East,Yes,0.63094,1077,11498,0.60999,0.65212
79,79,2001,Tenant,East,No,0.36906,647,11498,0.3519,0.38685
80,80,2002,Owner,West,Yes,0.70328,3347,12001,0.68686,0.72366
81,81,2002,Owner,West,No,0.29672,1274,12001,0.28427,0.30954
82,82,2002,Owner,East,Yes,0.67008,762,12001,0.63591,0.69631
83,83,2002,Owner,East,No,0.32992,329,12001,0.3043,0.35155
84,84,2002,Tenant,West,Yes,0.53493,2506,12001,0.52072,0.54735
85,85,2002,Tenant,West,No,0.46507,2067,12001,0.45269,0.47993
86,86,2002,Tenant,East,Yes,0.57891,1025,12001,0.55846,0.60316
87,87,2002,Tenant,East,No,0.42109,691,12001,0.40216,0.43747
88,88,2003,Owner,West,Yes,0.70742,3252,11644,0.68959,0.72535
89,89,2003,Owner,West,No,0.29258,1219,11644,0.28097,0.3025
90,90,2003,Owner,East,Yes,0.65488,752,11644,0.61689,0.68872
91,91,2003,Owner,East,No,0.34512,345,11644,0.31539,0.37329
92,92,2003,Tenant,West,Yes,0.53141,2354,11644,0.51708,0.5473
93,93,2003,Tenant,West,No,0.46859,2038,11644,0.45604,0.48209
94,94,2003,Tenant,East,Yes,0.58627,1003,11644,0.56306,0.60465
95,95,2003,Tenant,East,No,0.41373,681,11644,0.39531,0.4347
96,96,2004,Owner,West,Yes,0.68753,3090,11374,0.6684,0.70572
97,97,2004,Owner,West,No,0.31247,1278,11374,0.29916,0.32577
98,98,2004,Owner,East,Yes,0.6604,755,11374,0.62792,0.69786
99,99,2004,Owner,East,No,0.3396,338,11374,0.31284,0.36674
100,100,2004,Tenant,West,Yes,0.52032,2259,11374,0.50339,0.5348
101,101,2004,Tenant,West,No,0.47968,2009,11374,0.46417,0.49491
102,102,2004,Tenant,East,Yes,0.53907,912,11374,0.51839,0.56309
103,103,2004,Tenant,East,No,0.46093,733,11374,0.43851,0.48332
104,104,2005,Owner,West,Yes,0.71199,3083,11048,0.69205,0.73212
105,105,2005,Owner,West,No,0.28801,1124,11048,0.27585,0.30207
106,106,2005,Owner,East,Yes,0.64782,728,11048,0.60514,0.69508
107,107,2005,Owner,East,No,0.35218,367,11048,0.32256,0.38507
108,108,2005,Tenant,West,Yes,0.53619,2306,11048,0.52007,0.55219
109,109,2005,Tenant,West,No,0.46381,1865,11048,0.4486,0.47709
110,110,2005,Tenant,East,Yes,0.56477,906,11048,0.5395,0.59472
111,111,2005,Tenant,East,No,0.43523,669,11048,0.41202,0.4579
112,112,2006,Owner,West,Yes,0.6783,3358,12122,0.65798,0.69673
113,113,2006,Owner,West,No,0.3217,1380,12122,0.30957,0.33395
114,114,2006,Owner,East,Yes,0.66306,804,12122,0.62408,0.7003
115,115,2006,Owner,East,No,0.33694,384,12122,0.31389,0.3637
116,116,2006,Tenant,West,Yes,0.50302,2338,12122,0.48961,0.51841
117,117,2006,Tenant,West,No,0.49698,2161,12122,0.48266,0.51098
118,118,2006,Tenant,East,Yes,0.51795,927,12122,0.49655,0.53599
119,119,2006,Tenant,East,No,0.48205,770,12122,0.46146,0.50395
120,120,2007,Owner,West,Yes,0.69937,3214,11329,0.67932,0.72176
121,121,2007,Owner,West,No,0.30063,1202,11329,0.2863,0.31477
122,122,2007,Owner,East,Yes,0.67599,765,11329,0.62649,0.72165
123,123,2007,Owner,East,No,0.32401,359,11329,0.29804,0.35453
124,124,2007,Tenant,West,Yes,0.50605,2211,11329,0.48911,0.52107
125,125,2007,Tenant,West,No,0.49395,1965,11329,0.47857,0.51142
126,126,2007,Tenant,East,Yes,0.57365,943,11329,0.55137,0.60494
127,127,2007,Tenant,East,No,0.42635,670,11329,0.3995,0.45298
128,128,2008,Owner,West,Yes,0.70386,3054,10653,0.68107,0.72522
129,129,2008,Owner,West,No,0.29614,1144,10653,0.2831,0.3083
130,130,2008,Owner,East,Yes,0.6499,738,10653,0.60389,0.68528
131,131,2008,Owner,East,No,0.3501,348,10653,0.31885,0.38739
132,132,2008,Tenant,West,Yes,0.51334,2073,10653,0.49777,0.53302
133,133,2008,Tenant,West,No,0.48666,1763,10653,0.47392,0.50153
134,134,2008,Tenant,East,Yes,0.55764,862,10653,0.52642,0.58713
135,135,2008,Tenant,East,No,0.44236,671,10653,0.41906,0.47028
136,136,2009,Owner,West,Yes,0.69623,2846,10052,0.67241,0.71776
137,137,2009,Owner,West,No,0.30377,1069,10052,0.288,0.31919
