"plb0050","year","bildungsniveau","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ja","2001","(noch) kein Abschluss","72","0.389771117080071","0.31852469734739","0.461017536812751"
"Ja","2001","Hauptschule","2071","","",""
"Ja","2001","Realschule","1982","","",""
"Ja","2001","(Fach-)Abitur","706","0.525286400469772","0.498609247663994","0.55196355327555"
"Ja","2001","AkademikerIn","1530","","",""
"Nein","2001","(noch) kein Abschluss","108","","",""
"Nein","2001","Hauptschule","2211","","",""
"Nein","2001","Realschule","2046","","",""
"Nein","2001","(Fach-)Abitur","640","0.474713599530228","0.44803644672445","0.501390752336006"
"Nein","2001","AkademikerIn","1029","","",""
"Ja","2002","(noch) kein Abschluss","","","",""
"Ja","2002","Hauptschule","","","",""
"Ja","2002","Realschule","","","",""
"Ja","2002","(Fach-)Abitur","","","",""
"Ja","2002","AkademikerIn","","","",""
"Nein","2002","(noch) kein Abschluss","","","",""
"Nein","2002","Hauptschule","","","",""
"Nein","2002","Realschule","","","",""
"Nein","2002","(Fach-)Abitur","","","",""
"Nein","2002","AkademikerIn","","","",""
"Ja","2003","(noch) kein Abschluss","","","",""
"Ja","2003","Hauptschule","","","",""
"Ja","2003","Realschule","","","",""
"Ja","2003","(Fach-)Abitur","","","",""
"Ja","2003","AkademikerIn","","","",""
"Nein","2003","(noch) kein Abschluss","","","",""
"Nein","2003","Hauptschule","","","",""
"Nein","2003","Realschule","","","",""
"Nein","2003","(Fach-)Abitur","","","",""
"Nein","2003","AkademikerIn","","","",""
"Ja","2004","(noch) kein Abschluss","","","",""
"Ja","2004","Hauptschule","","","",""
"Ja","2004","Realschule","","","",""
"Ja","2004","(Fach-)Abitur","","","",""
"Ja","2004","AkademikerIn","","","",""
"Nein","2004","(noch) kein Abschluss","","","",""
"Nein","2004","Hauptschule","","","",""
"Nein","2004","Realschule","","","",""
"Nein","2004","(Fach-)Abitur","","","",""
"Nein","2004","AkademikerIn","","","",""
"Ja","2005","(noch) kein Abschluss","","","",""
"Ja","2005","Hauptschule","","","",""
"Ja","2005","Realschule","","","",""
"Ja","2005","(Fach-)Abitur","","","",""
