year,bula_h,pgisced97,plb0050,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2001,Schleswig-Holstein,Upper Secondary Level,Yes,0.52754,102,210,0.45985,0.59522
2001,Schleswig-Holstein,Upper Secondary Level,No,0.47246,108,210,0.40478,0.54015
2001,Schleswig-Holstein,Second Stage of Tertiary Education,Yes,0.48261,34,34,0.31211,0.65310
2001,Hamburg,Upper Secondary Level,Yes,0.60250,43,75,0.49100,0.71401
2001,Hamburg,Upper Secondary Level,No,0.39750,32,75,0.28599,0.50900
2001,Lower Saxony,Lower Secondary Level,Yes,0.52132,49,102,0.42389,0.61874
2001,Lower Saxony,Lower Secondary Level,No,0.47868,53,102,0.38126,0.57611
2001,Lower Saxony,Upper Secondary Level,Yes,0.49572,304,602,0.45575,0.53570
2001,Lower Saxony,Upper Secondary Level,No,0.50428,298,602,0.46430,0.54425
2001,Lower Saxony,Post-secondary Non-tertiary Level,Yes,0.51812,35,35,0.35016,0.68607
2001,Lower Saxony,First Stage of Tertiary Education,Yes,0.54523,45,83,0.43745,0.65301
2001,Lower Saxony,First Stage of Tertiary Education,No,0.45477,38,83,0.34699,0.56255
2001,Lower Saxony,Second Stage of Tertiary Education,Yes,0.66936,122,177,0.59986,0.73887
2001,Lower Saxony,Second Stage of Tertiary Education,No,0.33064,55,177,0.26113,0.40014
2001,North Rhine-Westphalia,Lower Secondary Level,Yes,0.43640,124,275,0.37768,0.49513
2001,North Rhine-Westphalia,Lower Secondary Level,No,0.56360,151,275,0.50487,0.62232
2001,North Rhine-Westphalia,Upper Secondary Level,Yes,0.52570,701,1333,0.49888,0.55251
2001,North Rhine-Westphalia,Upper Secondary Level,No,0.47430,632,1333,0.44749,0.50112
2001,North Rhine-Westphalia,Post-secondary Non-tertiary Level,Yes,0.57923,124,223,0.51429,0.64417
2001,North Rhine-Westphalia,Post-secondary Non-tertiary Level,No,0.42077,99,223,0.35583,0.48571
2001,North Rhine-Westphalia,First Stage of Tertiary Education,Yes,0.56503,138,244,0.50270,0.62737
2001,North Rhine-Westphalia,First Stage of Tertiary Education,No,0.43497,106,244,0.37263,0.49730
2001,North Rhine-Westphalia,Second Stage of Tertiary Education,Yes,0.56143,281,485,0.51722,0.60564
