"plb0050","year","bildungsniveau","regtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ja","2001","(noch) kein Abschluss","Städtischer Raum","64","0.430252494675229","0.349103529317198","0.51140146003326"
"Ja","2001","(noch) kein Abschluss","Ländlicher Raum","8","","",""
"Ja","2001","Hauptschule","Städtischer Raum","1461","0.499574945670019","0.481405315911559","0.517744575428478"
"Ja","2001","Hauptschule","Ländlicher Raum","610","0.452212252549816","0.425885933390538","0.478538571709094"
"Ja","2001","Realschule","Städtischer Raum","1204","0.534318575450292","0.51391497817572","0.554722172724864"
"Ja","2001","Realschule","Ländlicher Raum","778","0.458646096553399","0.435179309396098","0.482112883710701"
"Ja","2001","(Fach-)Abitur","Städtischer Raum","557","0.535632659336104","0.50532197232277","0.565943346349437"
"Ja","2001","(Fach-)Abitur","Ländlicher Raum","149","0.48406979557037","0.428076394560371","0.540063196580369"
"Ja","2001","AkademikerIn","Städtischer Raum","1065","0.599849974347783","0.577000012027977","0.622699936667588"
"Ja","2001","AkademikerIn","Ländlicher Raum","465","0.562117912902756","0.52758733874774","0.596648487057773"
"Nein","2001","(noch) kein Abschluss","Städtischer Raum","79","0.569747505324771","0.48859853996674","0.650896470682802"
"Nein","2001","(noch) kein Abschluss","Ländlicher Raum","29","","",""
"Nein","2001","Hauptschule","Städtischer Raum","1448","0.500425054329982","0.482255424571522","0.518594684088441"
"Nein","2001","Hauptschule","Ländlicher Raum","763","0.547787747450184","0.521461428290905","0.574114066609462"
"Nein","2001","Realschule","Städtischer Raum","1092","0.465681424549708","0.445277827275136","0.48608502182428"
"Nein","2001","Realschule","Ländlicher Raum","954","0.541353903446601","0.517887116289299","0.564820690603902"
"Nein","2001","(Fach-)Abitur","Städtischer Raum","483","0.464367340663896","0.434056653650563","0.49467802767723"
"Nein","2001","(Fach-)Abitur","Ländlicher Raum","157","0.51593020442963","0.459936803419631","0.571923605439629"
"Nein","2001","AkademikerIn","Städtischer Raum","701","0.400150025652217","0.377300063332412","0.422999987972023"
"Nein","2001","AkademikerIn","Ländlicher Raum","328","0.437882087097244","0.403351512942227","0.47241266125226"
"Ja","2002","(noch) kein Abschluss","Städtischer Raum","","","",""
"Ja","2002","(noch) kein Abschluss","Ländlicher Raum","","","",""
"Ja","2002","Hauptschule","Städtischer Raum","","","",""
"Ja","2002","Hauptschule","Ländlicher Raum","","","",""
"Ja","2002","Realschule","Städtischer Raum","","","",""
"Ja","2002","Realschule","Ländlicher Raum","","","",""
"Ja","2002","(Fach-)Abitur","Städtischer Raum","","","",""
"Ja","2002","(Fach-)Abitur","Ländlicher Raum","","","",""
"Ja","2002","AkademikerIn","Städtischer Raum","","","",""
"Ja","2002","AkademikerIn","Ländlicher Raum","","","",""
"Nein","2002","(noch) kein Abschluss","Städtischer Raum","","","",""
"Nein","2002","(noch) kein Abschluss","Ländlicher Raum","","","",""
"Nein","2002","Hauptschule","Städtischer Raum","","","",""
"Nein","2002","Hauptschule","Ländlicher Raum","","","",""
"Nein","2002","Realschule","Städtischer Raum","","","",""
"Nein","2002","Realschule","Ländlicher Raum","","","",""
"Nein","2002","(Fach-)Abitur","Städtischer Raum","","","",""
"Nein","2002","(Fach-)Abitur","Ländlicher Raum","","","",""
"Nein","2002","AkademikerIn","Städtischer Raum","","","",""
"Nein","2002","AkademikerIn","Ländlicher Raum","","","",""
"Ja","2003","(noch) kein Abschluss","Städtischer Raum","","","",""
"Ja","2003","(noch) kein Abschluss","Ländlicher Raum","","","",""
"Ja","2003","Hauptschule","Städtischer Raum","","","",""
"Ja","2003","Hauptschule","Ländlicher Raum","","","",""
"Ja","2003","Realschule","Städtischer Raum","","","",""
"Ja","2003","Realschule","Ländlicher Raum","","","",""
"Ja","2003","(Fach-)Abitur","Städtischer Raum","","","",""
"Ja","2003","(Fach-)Abitur","Ländlicher Raum","","","",""
"Ja","2003","AkademikerIn","Städtischer Raum","","","",""
"Ja","2003","AkademikerIn","Ländlicher Raum","","","",""
"Nein","2003","(noch) kein Abschluss","Städtischer Raum","","","",""
"Nein","2003","(noch) kein Abschluss","Ländlicher Raum","","","",""
"Nein","2003","Hauptschule","Städtischer Raum","","","",""
"Nein","2003","Hauptschule","Ländlicher Raum","","","",""
"Nein","2003","Realschule","Städtischer Raum","","","",""
"Nein","2003","Realschule","Ländlicher Raum","","","",""
"Nein","2003","(Fach-)Abitur","Städtischer Raum","","","",""
"Nein","2003","(Fach-)Abitur","Ländlicher Raum","","","",""
"Nein","2003","AkademikerIn","Städtischer Raum","","","",""
"Nein","2003","AkademikerIn","Ländlicher Raum","","","",""
"Ja","2004","(noch) kein Abschluss","Städtischer Raum","","","",""
"Ja","2004","(noch) kein Abschluss","Ländlicher Raum","","","",""
"Ja","2004","Hauptschule","Städtischer Raum","","","",""
"Ja","2004","Hauptschule","Ländlicher Raum","","","",""
"Ja","2004","Realschule","Städtischer Raum","","","",""
"Ja","2004","Realschule","Ländlicher Raum","","","",""
"Ja","2004","(Fach-)Abitur","Städtischer Raum","","","",""
"Ja","2004","(Fach-)Abitur","Ländlicher Raum","","","",""
"Ja","2004","AkademikerIn","Städtischer Raum","","","",""
"Ja","2004","AkademikerIn","Ländlicher Raum","","","",""
"Nein","2004","(noch) kein Abschluss","Städtischer Raum","","","",""
"Nein","2004","(noch) kein Abschluss","Ländlicher Raum","","","",""
"Nein","2004","Hauptschule","Städtischer Raum","","","",""
"Nein","2004","Hauptschule","Ländlicher Raum","","","",""
"Nein","2004","Realschule","Städtischer Raum","","","",""
"Nein","2004","Realschule","Ländlicher Raum","","","",""
"Nein","2004","(Fach-)Abitur","Städtischer Raum","","","",""
"Nein","2004","(Fach-)Abitur","Ländlicher Raum","","","",""
"Nein","2004","AkademikerIn","Städtischer Raum","","","",""
"Nein","2004","AkademikerIn","Ländlicher Raum","","","",""
"Ja","2005","(noch) kein Abschluss","Städtischer Raum","","","",""
"Ja","2005","(noch) kein Abschluss","Ländlicher Raum","","","",""
"Ja","2005","Hauptschule","Städtischer Raum","","","",""
"Ja","2005","Hauptschule","Ländlicher Raum","","","",""
"Ja","2005","Realschule","Städtischer Raum","","","",""
"Ja","2005","Realschule","Ländlicher Raum","","","",""
"Ja","2005","(Fach-)Abitur","Städtischer Raum","","","",""
"Ja","2005","(Fach-)Abitur","Ländlicher Raum","","","",""
"Ja","2005","AkademikerIn","Städtischer Raum","","","",""
"Ja","2005","AkademikerIn","Ländlicher Raum","","","",""
"Nein","2005","(noch) kein Abschluss","Städtischer Raum","","","",""
"Nein","2005","(noch) kein Abschluss","Ländlicher Raum","","","",""
"Nein","2005","Hauptschule","Städtischer Raum","","","",""
"Nein","2005","Hauptschule","Ländlicher Raum","","","",""
"Nein","2005","Realschule","Städtischer Raum","","","",""
"Nein","2005","Realschule","Ländlicher Raum","","","",""
"Nein","2005","(Fach-)Abitur","Städtischer Raum","","","",""
"Nein","2005","(Fach-)Abitur","Ländlicher Raum","","","",""
"Nein","2005","AkademikerIn","Städtischer Raum","","","",""
"Nein","2005","AkademikerIn","Ländlicher Raum","","","",""
"Ja","2006","(noch) kein Abschluss","Städtischer Raum","31","0.345105878676593","0.242830576931739","0.447381180421446"
"Ja","2006","(noch) kein Abschluss","Ländlicher Raum","6","","",""
"Ja","2006","Hauptschule","Städtischer Raum","1068","0.486214151243622","0.465228408609048","0.507199893878196"
"Ja","2006","Hauptschule","Ländlicher Raum","451","0.421931932253315","0.392760005215813","0.451103859290817"
"Ja","2006","Realschule","Städtischer Raum","1133","0.524532340739671","0.503683163459411","0.54538151801993"
"Ja","2006","Realschule","Ländlicher Raum","735","0.465051622093985","0.44096323005657","0.4891400141314"
"Ja","2006","(Fach-)Abitur","Städtischer Raum","588","0.514776956142776","0.485585271850251","0.543968640435301"
"Ja","2006","(Fach-)Abitur","Ländlicher Raum","167","0.467829550774165","0.415555847081286","0.520103254467045"
"Ja","2006","AkademikerIn","Städtischer Raum","1371","0.601313600956746","0.581189379654947","0.621437822258545"
"Ja","2006","AkademikerIn","Ländlicher Raum","540","0.569580110892303","0.537141656957965","0.602018564826641"
"Nein","2006","(noch) kein Abschluss","Städtischer Raum","52","0.654894121323407","0.552618819578554","0.757169423068261"
"Nein","2006","(noch) kein Abschluss","Ländlicher Raum","20","","",""
"Nein","2006","Hauptschule","Städtischer Raum","1111","0.513785848756378","0.492800106121804","0.534771591390952"
"Nein","2006","Hauptschule","Ländlicher Raum","650","0.578068067746685","0.548896140709183","0.607239994784187"
"Nein","2006","Realschule","Städtischer Raum","1071","0.475467659260329","0.454618481980069","0.496316836540589"
"Nein","2006","Realschule","Ländlicher Raum","912","0.534948377906015","0.5108599858686","0.55903676994343"
"Nein","2006","(Fach-)Abitur","Städtischer Raum","538","0.485223043857224","0.456031359564699","0.514414728149749"
"Nein","2006","(Fach-)Abitur","Ländlicher Raum","183","0.532170449225835","0.479896745532956","0.584444152918714"
"Nein","2006","AkademikerIn","Städtischer Raum","903","0.398686399043254","0.378562177741455","0.418810620345053"
"Nein","2006","AkademikerIn","Ländlicher Raum","355","0.430419889107697","0.397981435173359","0.462858343042035"
