"plb0050","year","age_gr","bildungsniveau","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ja","2001","17-34","(noch) kein Abschluss","25","","",""
"Ja","2001","17-34","Hauptschule","456","0.411877064521372","0.382564641114951","0.441189487927792"
"Ja","2001","17-34","Realschule","720","0.469333737326046","0.444788091242539","0.493879383409552"
"Ja","2001","17-34","(Fach-)Abitur","356","0.501979879644847","0.464940332305952","0.539019426983742"
"Ja","2001","17-34","AkademikerIn","306","0.560545624841374","0.518130807717053","0.602960441965695"
"Ja","2001","35-65","(noch) kein Abschluss","47","0.574374570658413","0.466028171270034","0.682720970046792"
"Ja","2001","35-65","Hauptschule","1609","","",""
"Ja","2001","35-65","Realschule","1261","","",""
"Ja","2001","35-65","(Fach-)Abitur","350","0.558554530809542","0.520083889560503","0.597025172058582"
"Ja","2001","35-65","AkademikerIn","1219","","",""
"Ja","2001","66 +","(noch) kein Abschluss","","","",""
"Ja","2001","66 +","Hauptschule","6","0.148735899065496","0.0447721589126797","0.252699639218313"
"Ja","2001","66 +","Realschule","1","","",""
"Ja","2001","66 +","(Fach-)Abitur","","","",""
"Ja","2001","66 +","AkademikerIn","5","0.176469526343754","0.0352665755467396","0.317672477140768"
"Nein","2001","17-34","(noch) kein Abschluss","75","0.763813146762358","0.680565969651858","0.847060323872858"
"Nein","2001","17-34","Hauptschule","627","0.588122935478628","0.558810512072208","0.617435358885049"
"Nein","2001","17-34","Realschule","868","0.530666262673954","0.506120616590447","0.555211908757461"
"Nein","2001","17-34","(Fach-)Abitur","344","0.498020120355153","0.460980573016258","0.535059667694048"
"Nein","2001","17-34","AkademikerIn","220","","",""
"Nein","2001","35-65","(noch) kein Abschluss","33","0.425625429341587","0.317279029953208","0.533971828729966"
"Nein","2001","35-65","Hauptschule","1545","","",""
"Nein","2001","35-65","Realschule","1167","","",""
"Nein","2001","35-65","(Fach-)Abitur","290","","",""
"Nein","2001","35-65","AkademikerIn","786","0.393442870240622","0.37205992132705","0.414825819154194"
"Nein","2001","66 +","(noch) kein Abschluss","","","",""
"Nein","2001","66 +","Hauptschule","39","0.851264100934504","0.747300360781687","0.95522784108732"
"Nein","2001","66 +","Realschule","11","","",""
"Nein","2001","66 +","(Fach-)Abitur","6","1","1","1"
"Nein","2001","66 +","AkademikerIn","23","","",""
"Ja","2002","17-34","(noch) kein Abschluss","","","",""
"Ja","2002","17-34","Hauptschule","","","",""
"Ja","2002","17-34","Realschule","","","",""
"Ja","2002","17-34","(Fach-)Abitur","","","",""
"Ja","2002","17-34","AkademikerIn","","","",""
"Ja","2002","35-65","(noch) kein Abschluss","","","",""
"Ja","2002","35-65","Hauptschule","","","",""
"Ja","2002","35-65","Realschule","","","",""
"Ja","2002","35-65","(Fach-)Abitur","","","",""
"Ja","2002","35-65","AkademikerIn","","","",""
"Ja","2002","66 +","(noch) kein Abschluss","","","",""
"Ja","2002","66 +","Hauptschule","","","",""
"Ja","2002","66 +","Realschule","","","",""
"Ja","2002","66 +","(Fach-)Abitur","","","",""
"Ja","2002","66 +","AkademikerIn","","","",""
"Nein","2002","17-34","(noch) kein Abschluss","","","",""
"Nein","2002","17-34","Hauptschule","","","",""
"Nein","2002","17-34","Realschule","","","",""
