year,rentown,hgeqpinsul,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2015,Owner,Yes,0.61808,4480,6670,0.60642,0.62974
2015,Owner,No,0.36548,2190,6670,0.35392,0.37704
2015,Tenant,Yes,0.44580,4018,8665,0.43534,0.45627
2015,Tenant,No,0.51442,4647,8665,0.50390,0.52495
2016,Owner,Yes,0.67287,4431,6291,0.66128,0.68447
2016,Owner,No,0.32475,1860,6291,0.31317,0.33632
2016,Tenant,Yes,0.51277,4136,7896,0.50175,0.52380
2016,Tenant,No,0.47231,3760,7896,0.46130,0.48332
2017,Owner,Yes,0.68919,5107,7057,0.67839,0.69999
2017,Owner,No,0.30965,1950,7057,0.29886,0.32044
2017,Tenant,Yes,0.52815,4707,8503,0.51754,0.53876
2017,Tenant,No,0.44717,3796,8503,0.43661,0.45774
2018,Owner,Yes,0.70749,4939,6746,0.69663,0.71835
2018,Owner,No,0.29106,1807,6746,0.28022,0.30190
2018,Tenant,Yes,0.55560,4902,8583,0.54509,0.56611
2018,Tenant,No,0.41930,3681,8583,0.40886,0.42974
2019,Owner,Yes,0.66137,4328,5935,0.64933,0.67341
2019,Owner,No,0.27653,1607,5935,0.26515,0.28791
2019,Tenant,Yes,0.47794,3844,6614,0.46590,0.48998
2019,Tenant,No,0.36503,2770,6614,0.35342,0.37663
2020,Owner,Yes,0.72057,5244,6947,0.71002,0.73112
2020,Owner,No,0.27691,1703,6947,0.26639,0.28743
2020,Tenant,Yes,0.57138,5085,9103,0.56121,0.58155
2020,Tenant,No,0.39574,4018,9103,0.38569,0.40579
2021,Owner,Yes,0.66222,3510,4642,0.64861,0.67582
2021,Owner,No,0.25522,1132,4642,0.24268,0.26777
2021,Tenant,Yes,0.49216,3023,5205,0.47858,0.50575
2021,Tenant,No,0.35736,2182,5205,0.34434,0.37039
2022,Owner,Yes,0.71497,5928,7792,0.70495,0.72499
2022,Owner,No,0.27698,1864,7792,0.26705,0.28692
2022,Tenant,Yes,0.54963,6453,10849,0.54027,0.55900
2022,Tenant,No,0.39888,4396,10849,0.38967,0.40810
