year,bula_h,hgeqpinsul,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2015,Schleswig-Holstein,Yes,0.55700,316,527,0.51455,0.59946
2015,Schleswig-Holstein,No,0.40490,211,527,0.36295,0.44685
2015,Hamburg,Yes,0.41027,115,274,0.35192,0.46862
2015,Hamburg,No,0.57413,159,274,0.51548,0.63279
2015,Lower Saxony,Yes,0.59899,903,1469,0.57392,0.62406
2015,Lower Saxony,No,0.37742,566,1469,0.35262,0.40221
2015,Bremen,Yes,0.48475,49,113,0.39219,0.57731
2015,Bremen,No,0.50223,64,113,0.40963,0.59483
2015,North Rhine-Westphalia,Yes,0.53704,1707,3121,0.51954,0.55454
2015,North Rhine-Westphalia,No,0.43982,1414,3121,0.42240,0.45724
2015,Hesse,Yes,0.43950,543,1089,0.41001,0.46899
2015,Hesse,No,0.53179,546,1089,0.50214,0.56144
2015,"Rhineland-Palatinate, Saarland",Yes,0.47078,430,911,0.43835,0.50321
2015,"Rhineland-Palatinate, Saarland",No,0.51897,481,911,0.48650,0.55143
2015,Baden-Wuerttemberg,Yes,0.50557,981,1767,0.48225,0.52889
2015,Baden-Wuerttemberg,No,0.46221,786,1767,0.43895,0.48546
2015,Bavaria,Yes,0.47909,1285,2511,0.45955,0.49864
2015,Bavaria,No,0.48166,1226,2511,0.46211,0.50121
2015,Berlin,Yes,0.51773,319,625,0.47852,0.55693
2015,Berlin,No,0.44141,306,625,0.40245,0.48037
2015,Brandenburg,Yes,0.58699,373,598,0.54749,0.62649
2015,Brandenburg,No,0.39612,225,598,0.35689,0.43536
2015,Mecklenburg-Western Pomerania,Yes,0.67676,250,344,0.62726,0.72626
2015,Mecklenburg-Western Pomerania,No,0.27287,94,344,0.22573,0.32001
2015,Saxony,Yes,0.54851,543,887,0.51574,0.58128
2015,Saxony,No,0.41351,344,887,0.38108,0.44594
2015,Saxony-Anhalt,Yes,0.64315,338,534,0.60248,0.68382
2015,Saxony-Anhalt,No,0.32614,196,534,0.28634,0.36594
2015,Thuringa,Yes,0.57386,346,565,0.53305,0.61467
2015,Thuringa,No,0.39731,219,565,0.35692,0.43769
2016,Schleswig-Holstein,Yes,0.58557,292,499,0.54231,0.62884
2016,Schleswig-Holstein,No,0.39753,207,499,0.35454,0.44051
2016,Hamburg,Yes,0.42376,116,262,0.36381,0.48371
2016,Hamburg,No,0.56548,146,262,0.50534,0.62562
2016,Lower Saxony,Yes,0.64747,870,1337,0.62185,0.67309
2016,Lower Saxony,No,0.33460,467,1337,0.30930,0.35990
2016,Bremen,Yes,0.46342,54,103,0.36665,0.56020
2016,Bremen,No,0.51407,49,103,0.41707,0.61107
2016,North Rhine-Westphalia,Yes,0.57464,1747,2888,0.55660,0.59267
2016,North Rhine-Westphalia,No,0.41233,1141,2888,0.39438,0.43029
2016,Hesse,Yes,0.55091,521,971,0.51961,0.58221
2016,Hesse,No,0.44108,450,971,0.40983,0.47233
2016,"Rhineland-Palatinate, Saarland",Yes,0.50166,422,842,0.46786,0.53545
2016,"Rhineland-Palatinate, Saarland",No,0.48017,420,842,0.44640,0.51394
2016,Baden-Wuerttemberg,Yes,0.63323,1048,1606,0.60965,0.65680
2016,Baden-Wuerttemberg,No,0.34818,558,1606,0.32488,0.37149
2016,Bavaria,Yes,0.51740,1264,2275,0.49686,0.53794
2016,Bavaria,No,0.46694,1011,2275,0.44643,0.48744
2016,Berlin,Yes,0.58917,349,605,0.54993,0.62840
2016,Berlin,No,0.40072,256,605,0.36164,0.43980
2016,Brandenburg,Yes,0.64970,384,560,0.61015,0.68925
2016,Brandenburg,No,0.33416,176,560,0.29505,0.37326
2016,Mecklenburg-Western Pomerania,Yes,0.80362,263,327,0.76049,0.84674
2016,Mecklenburg-Western Pomerania,No,0.18697,64,327,0.14465,0.22930
2016,Saxony,Yes,0.58972,548,858,0.55679,0.62265
2016,Saxony,No,0.39586,310,858,0.36312,0.42860
2016,Saxony-Anhalt,Yes,0.67215,333,512,0.63144,0.71285
2016,Saxony-Anhalt,No,0.31985,179,512,0.27941,0.36029
2016,Thuringa,Yes,0.66736,356,543,0.62769,0.70702
2016,Thuringa,No,0.32514,187,543,0.28570,0.36458
2017,Schleswig-Holstein,Yes,0.59591,345,561,0.55527,0.63656
2017,Schleswig-Holstein,No,0.38703,216,561,0.34669,0.42738
2017,Hamburg,Yes,0.48816,157,296,0.43112,0.54520
2017,Hamburg,No,0.50763,139,296,0.45058,0.56468
2017,Lower Saxony,Yes,0.62089,1021,1533,0.59659,0.64518
2017,Lower Saxony,No,0.36382,512,1533,0.33973,0.38791
2017,Bremen,Yes,0.57720,81,129,0.49162,0.66278
2017,Bremen,No,0.40641,48,129,0.32132,0.49150
2017,North Rhine-Westphalia,Yes,0.63929,2089,3166,0.62256,0.65602
2017,North Rhine-Westphalia,No,0.34620,1077,3166,0.32963,0.36278
2017,Hesse,Yes,0.53537,588,1045,0.50511,0.56562
2017,Hesse,No,0.44621,457,1045,0.41605,0.47636
2017,"Rhineland-Palatinate, Saarland",Yes,0.54316,480,872,0.51008,0.57624
2017,"Rhineland-Palatinate, Saarland",No,0.43401,392,872,0.40109,0.46692
2017,Baden-Wuerttemberg,Yes,0.59539,1095,1711,0.57212,0.61865
2017,Baden-Wuerttemberg,No,0.39146,616,1711,0.36833,0.41460
2017,Bavaria,Yes,0.56567,1477,2478,0.54615,0.58519
2017,Bavaria,No,0.41870,1001,2478,0.39927,0.43813
2017,Berlin,Yes,0.60220,399,653,0.56464,0.63977
2017,Berlin,No,0.37844,254,653,0.34121,0.41567
2017,Brandenburg,Yes,0.65607,410,618,0.61858,0.69355
2017,Brandenburg,No,0.33664,208,618,0.29935,0.37393
2017,Mecklenburg-Western Pomerania,Yes,0.77533,290,363,0.73234,0.81833
2017,Mecklenburg-Western Pomerania,No,0.21747,73,363,0.17498,0.25997
2017,Saxony,Yes,0.59676,628,979,0.56602,0.62751
2017,Saxony,No,0.37830,351,979,0.34790,0.40869
