year,quintil_oecd_hh,rentown,hgeqpinsul,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2015,1st Quintile,Owner,Yes,0.47339,250,484,0.42886,0.51792
2015,1st Quintile,Owner,No,0.50950,234,484,0.46491,0.55408
2015,1st Quintile,Tenant,Yes,0.37789,1132,2924,0.36032,0.39547
2015,1st Quintile,Tenant,No,0.58480,1792,2924,0.56694,0.60267
2015,2nd Quintile,Owner,Yes,0.53117,659,1075,0.50132,0.56101
2015,2nd Quintile,Owner,No,0.45190,416,1075,0.42214,0.48167
2015,2nd Quintile,Tenant,Yes,0.42711,1003,2203,0.40645,0.44777
2015,2nd Quintile,Tenant,No,0.53284,1200,2203,0.51200,0.55368
2015,3rd Quintile,Owner,Yes,0.60808,934,1419,0.58267,0.63349
2015,3rd Quintile,Owner,No,0.36675,485,1419,0.34167,0.39183
2015,3rd Quintile,Tenant,Yes,0.50938,807,1537,0.48437,0.53438
2015,3rd Quintile,Tenant,No,0.46036,730,1537,0.43544,0.48529
2015,4th Quintile,Owner,Yes,0.63910,1136,1633,0.61580,0.66240
2015,4th Quintile,Owner,No,0.34550,497,1633,0.32243,0.36857
2015,4th Quintile,Tenant,Yes,0.47773,592,1133,0.44863,0.50682
2015,4th Quintile,Tenant,No,0.47648,541,1133,0.44738,0.50558
2015,5th Quintile,Owner,Yes,0.68660,1501,2059,0.66656,0.70664
2015,5th Quintile,Owner,No,0.30303,558,2059,0.28317,0.32288
2015,5th Quintile,Tenant,Yes,0.52544,482,864,0.49212,0.55876
2015,5th Quintile,Tenant,No,0.42374,382,864,0.39077,0.45671
2016,1st Quintile,Owner,Yes,0.47593,212,393,0.42649,0.52537
2016,1st Quintile,Owner,No,0.51665,181,393,0.46718,0.56612
2016,1st Quintile,Tenant,Yes,0.41269,1146,2648,0.39394,0.43145
2016,1st Quintile,Tenant,No,0.56479,1502,2648,0.54590,0.58368
2016,2nd Quintile,Owner,Yes,0.55523,628,1023,0.52477,0.58570
2016,2nd Quintile,Owner,No,0.44337,395,1023,0.41291,0.47383
2016,2nd Quintile,Tenant,Yes,0.49690,1058,1994,0.47495,0.51886
2016,2nd Quintile,Tenant,No,0.49427,936,1994,0.47232,0.51622
2016,3rd Quintile,Owner,Yes,0.66803,939,1341,0.64282,0.69325
2016,3rd Quintile,Owner,No,0.33197,402,1341,0.30675,0.35718
2016,3rd Quintile,Tenant,Yes,0.58588,814,1386,0.55994,0.61182
2016,3rd Quintile,Tenant,No,0.39626,572,1386,0.37050,0.42202
2016,4th Quintile,Owner,Yes,0.70619,1136,1560,0.68358,0.72880
