year,regtyp,rentown,hgeqpinsul,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2015,Urban regions,Owner,Yes,0.61740,2693,4016,0.60237,0.63244
2015,Urban regions,Owner,No,0.36989,1323,4016,0.35496,0.38482
2015,Urban regions,Tenant,Yes,0.42878,2699,6055,0.41631,0.44125
2015,Urban regions,Tenant,No,0.53168,3356,6055,0.51911,0.54425
2015,Rural regions,Owner,Yes,0.61930,1787,2654,0.60082,0.63777
2015,Rural regions,Owner,No,0.35752,867,2654,0.33929,0.37576
2015,Rural regions,Tenant,Yes,0.48798,1319,2610,0.46880,0.50716
2015,Rural regions,Tenant,No,0.47167,1291,2610,0.45252,0.49083
2016,Urban regions,Owner,Yes,0.67714,2670,3764,0.66221,0.69208
2016,Urban regions,Owner,No,0.31989,1094,3764,0.30499,0.33479
2016,Urban regions,Tenant,Yes,0.49417,2801,5523,0.48099,0.50736
2016,Urban regions,Tenant,No,0.49128,2722,5523,0.47810,0.50447
2016,Rural regions,Owner,Yes,0.66526,1761,2527,0.64686,0.68366
2016,Rural regions,Owner,No,0.33340,766,2527,0.31502,0.35179
2016,Rural regions,Tenant,Yes,0.56079,1335,2373,0.54082,0.58077
2016,Rural regions,Tenant,No,0.42333,1038,2373,0.40345,0.44322
2017,Urban regions,Owner,Yes,0.69285,3123,4255,0.67899,0.70672
2017,Urban regions,Owner,No,0.30585,1132,4255,0.29200,0.31970
2017,Urban regions,Tenant,Yes,0.51867,3220,5896,0.50591,0.53142
2017,Urban regions,Tenant,No,0.45495,2676,5896,0.44223,0.46766
2017,Rural regions,Owner,Yes,0.68226,1984,2802,0.66502,0.69950
2017,Rural regions,Owner,No,0.31682,818,2802,0.29959,0.33405
2017,Rural regions,Tenant,Yes,0.55298,1487,2607,0.53389,0.57207
2017,Rural regions,Tenant,No,0.42683,1120,2607,0.40784,0.44582
2018,Urban regions,Owner,Yes,0.71640,3028,4070,0.70255,0.73025
2018,Urban regions,Owner,No,0.28253,1042,4070,0.26870,0.29637
2018,Urban regions,Tenant,Yes,0.54703,3397,6004,0.53443,0.55962
2018,Urban regions,Tenant,No,0.42581,2607,6004,0.41330,0.43832
2018,Rural regions,Owner,Yes,0.69066,1911,2676,0.67315,0.70818
2018,Rural regions,Owner,No,0.30717,765,2676,0.28969,0.32465
2018,Rural regions,Tenant,Yes,0.57789,1505,2579,0.55883,0.59696
2018,Rural regions,Tenant,No,0.40237,1074,2579,0.38344,0.42130
2019,Urban regions,Owner,Yes,0.67467,2628,3550,0.65926,0.69009
2019,Urban regions,Owner,No,0.27258,922,3550,0.25793,0.28723
2019,Urban regions,Tenant,Yes,0.48531,2677,4634,0.47091,0.49970
2019,Urban regions,Tenant,No,0.37869,1957,4634,0.36473,0.39266
2019,Rural regions,Owner,Yes,0.66268,1700,2385,0.64370,0.68166
2019,Rural regions,Owner,No,0.29497,685,2385,0.27667,0.31328
2019,Rural regions,Tenant,Yes,0.49788,1167,1980,0.47585,0.51991
2019,Rural regions,Tenant,No,0.35956,813,1980,0.33842,0.38070
2020,Urban regions,Owner,Yes,0.72978,3269,4273,0.71646,0.74309
2020,Urban regions,Owner,No,0.26800,1004,4273,0.25471,0.28128
2020,Urban regions,Tenant,Yes,0.56604,3547,6545,0.55403,0.57805
2020,Urban regions,Tenant,No,0.39985,2998,6545,0.38798,0.41172
2020,Rural regions,Owner,Yes,0.70335,1975,2674,0.68603,0.72066
2020,Rural regions,Owner,No,0.29359,699,2674,0.27633,0.31086
2020,Rural regions,Tenant,Yes,0.58524,1538,2558,0.56614,0.60433
2020,Rural regions,Tenant,No,0.38509,1020,2558,0.36623,0.40395
2021,Urban regions,Owner,Yes,0.66542,2179,2839,0.64806,0.68278
2021,Urban regions,Owner,No,0.24571,660,2839,0.22987,0.26154
2021,Urban regions,Tenant,Yes,0.48191,2101,3699,0.46580,0.49801
2021,Urban regions,Tenant,No,0.35913,1598,3699,0.34367,0.37460
2021,Rural regions,Owner,Yes,0.65632,1331,1803,0.63439,0.67825
2021,Rural regions,Owner,No,0.27273,472,1803,0.25217,0.29329
2021,Rural regions,Tenant,Yes,0.51996,922,1506,0.49472,0.54520
2021,Rural regions,Tenant,No,0.35403,584,1506,0.32987,0.37819
2022,Urban regions,Owner,Yes,0.70300,3532,4655,0.68987,0.71613
2022,Urban regions,Owner,No,0.28833,1123,4655,0.27532,0.30135
2022,Urban regions,Tenant,Yes,0.54202,4682,8042,0.53113,0.55291
2022,Urban regions,Tenant,No,0.40211,3360,8042,0.39139,0.41282
2022,Rural regions,Owner,Yes,0.73667,2396,3137,0.72126,0.75209
2022,Rural regions,Owner,No,0.25641,741,3137,0.24113,0.27169
2022,Rural regions,Tenant,Yes,0.56998,1771,2807,0.55166,0.58830
2022,Rural regions,Tenant,No,0.39026,1036,2807,0.37221,0.40831
