year,quintil_oecd_hh,sampreg,hgeqpinsul,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2015,1st Quintile,West,Yes,0.35058,932,2562,0.33210,0.36906
2015,1st Quintile,West,No,0.61276,1630,2562,0.59390,0.63163
2015,1st Quintile,East,Yes,0.52258,450,846,0.48890,0.55625
2015,1st Quintile,East,No,0.45106,396,846,0.41750,0.48461
2015,2nd Quintile,West,Yes,0.43010,1113,2376,0.41019,0.45002
2015,2nd Quintile,West,No,0.53837,1263,2376,0.51832,0.55842
2015,2nd Quintile,East,Yes,0.56712,549,902,0.53477,0.59948
2015,2nd Quintile,East,No,0.40027,353,902,0.36828,0.43227
2015,3rd Quintile,West,Yes,0.54656,1321,2328,0.52633,0.56678
2015,3rd Quintile,West,No,0.43052,1007,2328,0.41041,0.45064
2015,3rd Quintile,East,Yes,0.61757,420,628,0.57953,0.65561
2015,3rd Quintile,East,No,0.33454,208,628,0.29761,0.37147
2015,4th Quintile,West,Yes,0.55383,1388,2285,0.53344,0.57422
2015,4th Quintile,West,No,0.41579,897,2285,0.39557,0.43600
2015,4th Quintile,East,Yes,0.66736,340,481,0.62521,0.70951
2015,4th Quintile,East,No,0.31599,141,481,0.27440,0.35758
2015,5th Quintile,West,Yes,0.62482,1726,2583,0.60615,0.64350
2015,5th Quintile,West,No,0.35215,857,2583,0.33373,0.37057
2015,5th Quintile,East,Yes,0.76007,257,340,0.71461,0.80553
2015,5th Quintile,East,No,0.21617,83,340,0.17235,0.25999
2016,1st Quintile,West,Yes,0.36090,888,2228,0.34096,0.38085
2016,1st Quintile,West,No,0.58569,1340,2228,0.56523,0.60615
2016,1st Quintile,East,Yes,0.56491,470,814,0.53083,0.59899
2016,1st Quintile,East,No,0.41162,344,814,0.37779,0.44545
2016,2nd Quintile,West,Yes,0.49281,1170,2219,0.47201,0.51362
2016,2nd Quintile,West,No,0.49929,1049,2219,0.47848,0.52010
2016,2nd Quintile,East,Yes,0.60470,516,798,0.57075,0.63864
2016,2nd Quintile,East,No,0.39524,282,798,0.36129,0.42918
2016,3rd Quintile,West,Yes,0.60690,1282,2059,0.58579,0.62800
2016,3rd Quintile,West,No,0.38685,777,2059,0.36581,0.40789
2016,3rd Quintile,East,Yes,0.70606,471,668,0.67149,0.74064
2016,3rd Quintile,East,No,0.27569,197,668,0.24177,0.30960
2016,4th Quintile,West,Yes,0.64920,1464,2197,0.62924,0.66916
2016,4th Quintile,West,No,0.34486,733,2197,0.32498,0.36474
2016,4th Quintile,East,Yes,0.74856,346,456,0.70870,0.78843
2016,4th Quintile,East,No,0.24958,110,456,0.20981,0.28935
2016,5th Quintile,West,Yes,0.69436,1710,2419,0.67600,0.71273
2016,5th Quintile,West,No,0.29988,709,2419,0.28161,0.31814
2016,5th Quintile,East,Yes,0.76769,250,325,0.72170,0.81367
2016,5th Quintile,East,No,0.23175,75,325,0.18581,0.27770
2017,1st Quintile,West,Yes,0.42003,1054,2283,0.39978,0.44028
2017,1st Quintile,West,No,0.52392,1229,2283,0.50343,0.54441
2017,1st Quintile,East,Yes,0.56517,513,873,0.53227,0.59808
2017,1st Quintile,East,No,0.40790,360,873,0.37528,0.44052
2017,2nd Quintile,West,Yes,0.53201,1298,2313,0.51167,0.55235
2017,2nd Quintile,West,No,0.45903,1015,2313,0.43872,0.47934
2017,2nd Quintile,East,Yes,0.65125,588,896,0.62002,0.68247
2017,2nd Quintile,East,No,0.33155,308,896,0.30071,0.36240
2017,3rd Quintile,West,Yes,0.62222,1534,2353,0.60263,0.64182
2017,3rd Quintile,West,No,0.37085,819,2353,0.35132,0.39037
2017,3rd Quintile,East,Yes,0.69432,501,722,0.66069,0.72795
2017,3rd Quintile,East,No,0.29712,221,722,0.26376,0.33048
2017,4th Quintile,West,Yes,0.64118,1681,2506,0.62239,0.65996
2017,4th Quintile,West,No,0.35507,825,2506,0.33633,0.37381
2017,4th Quintile,East,Yes,0.71236,385,528,0.67371,0.75101
2017,4th Quintile,East,No,0.27600,143,528,0.23783,0.31416
2017,5th Quintile,West,Yes,0.70271,1969,2702,0.68547,0.71995
2017,5th Quintile,West,No,0.29288,733,2702,0.27572,0.31004
2017,5th Quintile,East,Yes,0.76553,290,380,0.72288,0.80818
2017,5th Quintile,East,No,0.23432,90,380,0.19168,0.27697
2018,1st Quintile,West,Yes,0.44720,1102,2320,0.42696,0.46743
2018,1st Quintile,West,No,0.50340,1218,2320,0.48305,0.52375
2018,1st Quintile,East,Yes,0.61851,578,932,0.58731,0.64972
2018,1st Quintile,East,No,0.34742,354,932,0.31683,0.37801
2018,2nd Quintile,West,Yes,0.55842,1345,2337,0.53828,0.57855
2018,2nd Quintile,West,No,0.43419,992,2337,0.41409,0.45429
2018,2nd Quintile,East,Yes,0.65800,618,939,0.62765,0.68836
2018,2nd Quintile,East,No,0.33531,321,939,0.30510,0.36552
2018,3rd Quintile,West,Yes,0.61638,1427,2243,0.59626,0.63651
2018,3rd Quintile,West,No,0.37666,816,2243,0.35661,0.39672
2018,3rd Quintile,East,Yes,0.71691,487,680,0.68302,0.75079
2018,3rd Quintile,East,No,0.27901,193,680,0.24527,0.31274
2018,4th Quintile,West,Yes,0.68084,1668,2376,0.66210,0.69959
2018,4th Quintile,West,No,0.31509,708,2376,0.29641,0.33377
2018,4th Quintile,East,Yes,0.74592,381,496,0.70757,0.78427
2018,4th Quintile,East,No,0.25265,115,496,0.21437,0.29093
2018,5th Quintile,West,Yes,0.73267,1945,2640,0.71579,0.74956
2018,5th Quintile,West,No,0.26325,695,2640,0.24645,0.28005
