year,rentown,sampreg,hgeqpinsul,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2015,Owner,West,Yes,0.61397,3677,5496,0.60110,0.62684
2015,Owner,West,No,0.37243,1819,5496,0.35964,0.38521
2015,Owner,East,Yes,0.64347,803,1174,0.61606,0.67088
2015,Owner,East,No,0.32255,371,1174,0.29580,0.34930
2015,Tenant,West,Yes,0.41016,2805,6642,0.39833,0.42199
2015,Tenant,West,No,0.54719,3837,6642,0.53522,0.55916
2015,Tenant,East,Yes,0.57420,1213,2023,0.55265,0.59575
2015,Tenant,East,No,0.39638,810,2023,0.37506,0.41770
2016,Owner,West,Yes,0.67117,3624,5136,0.65832,0.68402
2016,Owner,West,No,0.32607,1512,5136,0.31325,0.33890
2016,Owner,East,Yes,0.68314,807,1155,0.65630,0.70998
2016,Owner,East,No,0.31672,348,1155,0.28987,0.34356
2016,Tenant,West,Yes,0.47749,2890,5990,0.46484,0.49014
2016,Tenant,West,No,0.50592,3100,5990,0.49326,0.51858
2016,Tenant,East,Yes,0.64350,1246,1906,0.62199,0.66501
2016,Tenant,East,No,0.34778,660,1906,0.32639,0.36917
2017,Owner,West,Yes,0.69085,4200,5745,0.67890,0.70280
2017,Owner,West,No,0.30863,1545,5745,0.29669,0.32058
2017,Owner,East,Yes,0.67892,907,1312,0.65364,0.70419
2017,Owner,East,No,0.31592,405,1312,0.29075,0.34108
2017,Tenant,West,Yes,0.49696,3337,6416,0.48473,0.50920
2017,Tenant,West,No,0.47711,3079,6416,0.46489,0.48933
2017,Tenant,East,Yes,0.64576,1370,2087,0.62524,0.66629
2017,Tenant,East,No,0.33428,717,2087,0.31404,0.35453
2018,Owner,West,Yes,0.70899,4052,5492,0.69697,0.72100
2018,Owner,West,No,0.28933,1440,5492,0.27733,0.30132
2018,Owner,East,Yes,0.69823,887,1254,0.67281,0.72364
2018,Owner,East,No,0.30177,367,1254,0.27636,0.32719
2018,Tenant,West,Yes,0.52387,3438,6429,0.51166,0.53607
2018,Tenant,West,No,0.45017,2991,6429,0.43800,0.46233
2018,Tenant,East,Yes,0.67561,1464,2154,0.65584,0.69539
2018,Tenant,East,No,0.30257,690,2154,0.28316,0.32197
2019,Owner,West,Yes,0.66327,3535,4816,0.64993,0.67662
2019,Owner,West,No,0.27693,1281,4816,0.26429,0.28957
2019,Owner,East,Yes,0.65292,793,1119,0.62501,0.68082
2019,Owner,East,No,0.27535,326,1119,0.24916,0.30153
2019,Tenant,West,Yes,0.44476,2655,4901,0.43084,0.45867
2019,Tenant,West,No,0.39216,2246,4901,0.37849,0.40583
2019,Tenant,East,Yes,0.61099,1189,1713,0.58790,0.63409
2019,Tenant,East,No,0.26363,524,1713,0.24276,0.28451
2020,Owner,West,Yes,0.72319,4244,5592,0.71146,0.73492
2020,Owner,West,No,0.27420,1348,5592,0.26251,0.28589
2020,Owner,East,Yes,0.70501,1000,1355,0.68072,0.72930
2020,Owner,East,No,0.29303,355,1355,0.26879,0.31728
2020,Tenant,West,Yes,0.54020,3672,7059,0.52857,0.55183
2020,Tenant,West,No,0.42371,3387,7059,0.41218,0.43524
2020,Tenant,East,Yes,0.69046,1413,2044,0.67041,0.71050
2020,Tenant,East,No,0.28892,631,2044,0.26926,0.30857
2021,Owner,West,Yes,0.66462,2866,3771,0.64955,0.67969
2021,Owner,West,No,0.25242,905,3771,0.23855,0.26629
2021,Owner,East,Yes,0.64752,644,871,0.61577,0.67926
2021,Owner,East,No,0.27237,227,871,0.24279,0.30196
2021,Tenant,West,Yes,0.45911,2105,3919,0.44351,0.47471
2021,Tenant,West,No,0.38567,1814,3919,0.37043,0.40091
2021,Tenant,East,Yes,0.62231,918,1286,0.59580,0.64882
2021,Tenant,East,No,0.24593,368,1286,0.22238,0.26947
2022,Owner,West,Yes,0.70979,4740,6252,0.69854,0.72104
2022,Owner,West,No,0.28242,1512,6252,0.27126,0.29358
2022,Owner,East,Yes,0.74733,1188,1540,0.72562,0.76904
2022,Owner,East,No,0.24298,352,1540,0.22155,0.26440
2022,Tenant,West,Yes,0.52114,4698,8287,0.51038,0.53189
2022,Tenant,West,No,0.42383,3589,8287,0.41319,0.43447
2022,Tenant,East,Yes,0.66203,1755,2562,0.64371,0.68035
2022,Tenant,East,No,0.30049,807,2562,0.28274,0.31825
