year,bula_h,quintil_oecd_hh,hgeqpinsul,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2015,Schleswig-Holstein,1st Quintile,Yes,0.40306,63,135,0.32001,0.48611
2015,Schleswig-Holstein,1st Quintile,No,0.55385,72,135,0.46968,0.63802
2015,Schleswig-Holstein,2nd Quintile,Yes,0.52138,54,98,0.42197,0.62080
2015,Schleswig-Holstein,2nd Quintile,No,0.41690,44,98,0.31878,0.51502
2015,Schleswig-Holstein,3rd Quintile,Yes,0.60484,69,110,0.51306,0.69662
2015,Schleswig-Holstein,3rd Quintile,No,0.35349,41,110,0.26374,0.44324
2015,Schleswig-Holstein,4th Quintile,Yes,0.67945,75,75,0.57311,0.78578
2015,Schleswig-Holstein,5th Quintile,Yes,0.54384,55,55,0.41099,0.67669
2015,Hamburg,1st Quintile,No,0.65833,35,35,0.49891,0.81775
2015,Hamburg,2nd Quintile,No,0.84900,40,40,0.73663,0.96138
2015,Hamburg,5th Quintile,Yes,0.51239,39,39,0.35346,0.67132
2015,Lower Saxony,1st Quintile,Yes,0.39140,153,338,0.33929,0.44351
2015,Lower Saxony,1st Quintile,No,0.54970,185,338,0.49658,0.60282
2015,Lower Saxony,2nd Quintile,Yes,0.57710,174,295,0.52063,0.63357
2015,Lower Saxony,2nd Quintile,No,0.40876,121,295,0.35257,0.46496
2015,Lower Saxony,3rd Quintile,Yes,0.66021,182,280,0.60463,0.71579
2015,Lower Saxony,3rd Quintile,No,0.33940,98,280,0.28384,0.39496
2015,Lower Saxony,4th Quintile,Yes,0.58867,194,281,0.53103,0.64631
2015,Lower Saxony,4th Quintile,No,0.36711,87,281,0.31065,0.42357
2015,Lower Saxony,5th Quintile,Yes,0.73575,200,275,0.68354,0.78796
2015,Lower Saxony,5th Quintile,No,0.25893,75,275,0.20706,0.31079
2015,North Rhine-Westphalia,1st Quintile,Yes,0.38477,291,786,0.35073,0.41880
2015,North Rhine-Westphalia,1st Quintile,No,0.58420,495,786,0.54972,0.61868
2015,North Rhine-Westphalia,2nd Quintile,Yes,0.45686,305,610,0.41729,0.49642
2015,North Rhine-Westphalia,2nd Quintile,No,0.52086,305,610,0.48118,0.56053
2015,North Rhine-Westphalia,3rd Quintile,Yes,0.58238,331,565,0.54167,0.62308
2015,North Rhine-Westphalia,3rd Quintile,No,0.40227,234,565,0.36180,0.44274
2015,North Rhine-Westphalia,4th Quintile,Yes,0.58636,341,549,0.54512,0.62759
2015,North Rhine-Westphalia,4th Quintile,No,0.37556,208,549,0.33501,0.41610
