year,quintil_oecd_hh,hgeqpinsul,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2015,1st Quintile,Yes,0.39293,1382,3408,0.37653,0.40933
2015,1st Quintile,No,0.57295,2026,3408,0.55634,0.58956
2015,2nd Quintile,Yes,0.46427,1662,3278,0.44719,0.48135
2015,2nd Quintile,No,0.50394,1616,3278,0.48682,0.52105
2015,3rd Quintile,Yes,0.56001,1741,2956,0.54212,0.57791
2015,3rd Quintile,No,0.41234,1215,2956,0.39459,0.43008
2015,4th Quintile,Yes,0.56983,1728,2766,0.55138,0.58828
2015,4th Quintile,No,0.40172,1038,2766,0.38345,0.42000
2015,5th Quintile,Yes,0.63595,1983,2923,0.61850,0.65340
2015,5th Quintile,No,0.34096,940,2923,0.32378,0.35815
2016,1st Quintile,Yes,0.41078,1358,3042,0.39329,0.42826
2016,1st Quintile,No,0.54314,1684,3042,0.52543,0.56084
2016,2nd Quintile,Yes,0.51807,1686,3017,0.50024,0.53591
2016,2nd Quintile,No,0.47580,1331,3017,0.45797,0.49362
2016,3rd Quintile,Yes,0.62769,1753,2727,0.60954,0.64584
2016,3rd Quintile,No,0.36354,974,2727,0.34548,0.38159
2016,4th Quintile,Yes,0.66257,1810,2653,0.64457,0.68056
2016,4th Quintile,No,0.33205,843,2653,0.31412,0.34997
2016,5th Quintile,Yes,0.70060,1960,2744,0.68346,0.71774
2016,5th Quintile,No,0.29408,784,2744,0.27703,0.31114
2017,1st Quintile,Yes,0.45506,1567,3156,0.43768,0.47244
2017,1st Quintile,No,0.49592,1589,3156,0.47847,0.51336
2017,2nd Quintile,Yes,0.55999,1886,3209,0.54281,0.57716
2017,2nd Quintile,No,0.42912,1323,3209,0.41199,0.44625
2017,3rd Quintile,Yes,0.63636,2035,3075,0.61935,0.65336
2017,3rd Quintile,No,0.35639,1040,3075,0.33946,0.37332
2017,4th Quintile,Yes,0.65017,2066,3034,0.63320,0.66715
2017,4th Quintile,No,0.34508,968,3034,0.32816,0.36199
2017,5th Quintile,Yes,0.70816,2259,3082,0.69211,0.72421
2017,5th Quintile,No,0.28780,823,3082,0.27181,0.30379
2018,1st Quintile,Yes,0.49003,1680,3252,0.47285,0.50721
2018,1st Quintile,No,0.46440,1572,3252,0.44726,0.48154
2018,2nd Quintile,Yes,0.58142,1963,3276,0.56452,0.59831
2018,2nd Quintile,No,0.41136,1313,3276,0.39450,0.42821
2018,3rd Quintile,Yes,0.63529,1914,2923,0.61783,0.65274
2018,3rd Quintile,No,0.35830,1009,2923,0.34092,0.37569
2018,4th Quintile,Yes,0.68950,2049,2872,0.67258,0.70643
2018,4th Quintile,No,0.30678,823,2872,0.28991,0.32365
2018,5th Quintile,Yes,0.73675,2232,3001,0.72100,0.75251
2018,5th Quintile,No,0.25858,769,3001,0.24291,0.27424
2019,1st Quintile,Yes,0.41134,1234,2389,0.39160,0.43107
2019,1st Quintile,No,0.41086,1155,2389,0.39113,0.43060
2019,2nd Quintile,Yes,0.53627,1595,2604,0.51711,0.55543
2019,2nd Quintile,No,0.36699,1009,2604,0.34848,0.38551
2019,3rd Quintile,Yes,0.57927,1638,2503,0.55993,0.59861
2019,3rd Quintile,No,0.33310,865,2503,0.31463,0.35156
2019,4th Quintile,Yes,0.63492,1758,2459,0.61589,0.65395
2019,4th Quintile,No,0.28424,701,2459,0.26641,0.30207
2019,5th Quintile,Yes,0.65516,1946,2591,0.63685,0.67346
2019,5th Quintile,No,0.22446,645,2591,0.20839,0.24053
2020,1st Quintile,Yes,0.49083,1609,3339,0.47387,0.50779
2020,1st Quintile,No,0.45215,1730,3339,0.43526,0.46903
2020,2nd Quintile,Yes,0.61183,1946,3271,0.59512,0.62853
2020,2nd Quintile,No,0.37495,1325,3271,0.35836,0.39154
2020,3rd Quintile,Yes,0.65066,1890,2849,0.63315,0.66817
2020,3rd Quintile,No,0.33942,959,2849,0.32203,0.35681
2020,4th Quintile,Yes,0.69595,2009,2839,0.67903,0.71287
2020,4th Quintile,No,0.29743,830,2839,0.28061,0.31424
2020,5th Quintile,Yes,0.75674,2869,3724,0.74296,0.77053
2020,5th Quintile,No,0.23896,855,3724,0.22526,0.25265
2021,1st Quintile,Yes,0.42308,925,1747,0.39991,0.44626
2021,1st Quintile,No,0.40638,822,1747,0.38334,0.42942
2021,2nd Quintile,Yes,0.53623,1195,1957,0.51413,0.55833
2021,2nd Quintile,No,0.35045,762,1957,0.32931,0.37160
2021,3rd Quintile,Yes,0.60832,1231,1824,0.58591,0.63073
2021,3rd Quintile,No,0.29202,593,1824,0.27115,0.31289
2021,4th Quintile,Yes,0.62138,1345,1886,0.59948,0.64327
2021,4th Quintile,No,0.26935,541,1886,0.24933,0.28938
2021,5th Quintile,Yes,0.67094,1832,2420,0.65221,0.68966
2021,5th Quintile,No,0.22914,588,2420,0.21239,0.24589
2022,1st Quintile,Yes,0.52311,2556,4300,0.50818,0.53804
2022,1st Quintile,No,0.40731,1744,4300,0.39262,0.42199
2022,2nd Quintile,Yes,0.58494,2351,3742,0.56915,0.60073
2022,2nd Quintile,No,0.37731,1391,3742,0.36177,0.39284
2022,3rd Quintile,Yes,0.65250,2242,3308,0.63627,0.66873
2022,3rd Quintile,No,0.32858,1066,3308,0.31257,0.34459
2022,4th Quintile,Yes,0.66150,2346,3337,0.64544,0.67756
2022,4th Quintile,No,0.32030,991,3337,0.30446,0.33613
2022,5th Quintile,Yes,0.71587,2797,3784,0.70150,0.73024
2022,5th Quintile,No,0.27506,987,3784,0.26083,0.28929
