year,quintil_oecd_hh,pet_rabbit,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,1st Quintile,Yes,0.02811,135,3096,0.02229,0.03394
2016,1st Quintile,No,0.94557,2961,3096,0.93758,0.95356
2016,2nd Quintile,Yes,0.04308,189,3041,0.03586,0.05029
2016,2nd Quintile,No,0.95692,2852,3041,0.94971,0.96414
2016,3rd Quintile,Yes,0.04293,164,2743,0.03535,0.05052
2016,3rd Quintile,No,0.95707,2579,2743,0.94948,0.96465
2016,4th Quintile,Yes,0.02948,119,2662,0.02306,0.03591
2016,4th Quintile,No,0.97052,2543,2662,0.96409,0.97694
2016,5th Quintile,Yes,0.02625,102,2755,0.02027,0.03222
2016,5th Quintile,No,0.97375,2653,2755,0.96778,0.97973
2021,1st Quintile,Yes,0.01609,52,2042,0.01063,0.02155
2021,1st Quintile,No,0.94290,1990,2042,0.93283,0.95297
2021,2nd Quintile,Yes,0.03347,91,2184,0.02592,0.04101
2021,2nd Quintile,No,0.95982,2093,2184,0.95158,0.96806
2021,3rd Quintile,Yes,0.02960,86,2024,0.02222,0.03699
2021,3rd Quintile,No,0.96868,1938,2024,0.96109,0.97627
2021,4th Quintile,Yes,0.02959,80,2078,0.02231,0.03688
2021,4th Quintile,No,0.96951,1998,2078,0.96212,0.97691
2021,5th Quintile,Yes,0.01594,69,2709,0.01122,0.02066
2021,5th Quintile,No,0.97989,2640,2709,0.97461,0.98518
