year,rentown,pet_rabbit,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Owner,Yes,0.04594,442,6302,0.04077,0.05110
2016,Owner,No,0.95406,5860,6302,0.94890,0.95923
2016,Tenant,Yes,0.02399,267,7999,0.02064,0.02735
2016,Tenant,No,0.97601,7732,7999,0.97265,0.97936
2021,Owner,Yes,0.03667,261,5080,0.03150,0.04184
2021,Owner,No,0.96235,4819,5080,0.95711,0.96758
2021,Tenant,Yes,0.01464,117,5971,0.01159,0.01768
2021,Tenant,No,0.96504,5854,5971,0.96038,0.96970
