,Unnamed: 0,year,regtyp,rentown,pet_rabbit,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2016,Urban regions,Owner,Yes,0.03121,211,14301,0.02641,0.03646
1,1,2016,Urban regions,Owner,No,0.96879,3554,14301,0.93367,0.99987
2,2,2016,Urban regions,Tenant,Yes,0.02316,180,14301,0.0191,0.02796
3,3,2016,Urban regions,Tenant,No,0.97684,5419,14301,0.94568,1.00241
4,4,2016,Rural regions,Owner,Yes,0.07247,231,14301,0.06168,0.08596
5,5,2016,Rural regions,Owner,No,0.92753,2306,14301,0.88259,0.96723
6,6,2016,Rural regions,Tenant,Yes,0.0257,87,14301,0.01831,0.03356
7,7,2016,Rural regions,Tenant,No,0.9743,2313,14301,0.92855,1.01605
8,8,2021,Urban regions,Owner,Yes,0.0292,113,11050,0.02289,0.03593
9,9,2021,Urban regions,Owner,No,0.9708,3008,11050,0.92927,1.01398
10,10,2021,Urban regions,Tenant,Yes,0.01317,70,11050,0.00919,0.01736
11,11,2021,Urban regions,Tenant,No,0.98683,4205,11050,0.9498,1.02647
12,12,2021,Rural regions,Owner,Yes,0.05096,148,11050,0.03946,0.06112
13,13,2021,Rural regions,Owner,No,0.94904,1811,11050,0.90071,0.99667
14,14,2021,Rural regions,Tenant,Yes,0.01918,47,11050,0.01339,0.02567
15,15,2021,Rural regions,Tenant,No,0.98082,1648,11050,0.93679,1.04479
