year,bula_h,quintil_oecd_hh,pet_rabbit,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Schleswig-Holstein,1st Quintile,No,0.93752,121,121,0.89422,0.98082
2016,Schleswig-Holstein,2nd Quintile,No,0.98906,106,106,0.96917,1.00896
2016,Schleswig-Holstein,3rd Quintile,No,0.98189,92,92,0.95449,1.00929
2016,Schleswig-Holstein,4th Quintile,No,0.94817,83,83,0.90019,0.99615
2016,Schleswig-Holstein,5th Quintile,No,0.99214,81,81,0.97278,1.01149
2016,Hamburg,1st Quintile,No,0.97258,48,48,0.92589,1.01927
2016,Hamburg,4th Quintile,No,0.98539,56,56,0.95368,1.01710
2016,Lower Saxony,1st Quintile,No,0.94547,297,297,0.91960,0.97133
2016,Lower Saxony,2nd Quintile,No,0.96349,233,233,0.93936,0.98763
2016,Lower Saxony,3rd Quintile,No,0.97059,228,228,0.94861,0.99257
2016,Lower Saxony,4th Quintile,No,0.98127,267,267,0.96498,0.99756
2016,Lower Saxony,5th Quintile,No,0.97660,261,261,0.95823,0.99498
2016,Bremen,1st Quintile,No,0.96001,37,37,0.89601,1.02402
2016,North Rhine-Westphalia,1st Quintile,No,0.94743,662,662,0.93042,0.96444
2016,North Rhine-Westphalia,2nd Quintile,No,0.98616,554,554,0.97642,0.99590
2016,North Rhine-Westphalia,3rd Quintile,No,0.97123,494,494,0.95647,0.98599
2016,North Rhine-Westphalia,4th Quintile,No,0.97482,523,523,0.96138,0.98826
2016,North Rhine-Westphalia,5th Quintile,No,0.96312,557,557,0.94745,0.97878
2016,Hesse,1st Quintile,No,0.96360,188,188,0.93676,0.99044
2016,Hesse,2nd Quintile,No,0.94184,176,176,0.90716,0.97652
2016,Hesse,3rd Quintile,No,0.97540,156,156,0.95101,0.99979
2016,Hesse,4th Quintile,No,0.97837,169,169,0.95638,1.00037
2016,Hesse,5th Quintile,No,0.96609,245,245,0.94338,0.98880
2016,"Rhineland-Palatinate, Saarland",1st Quintile,No,0.93863,186,186,0.90404,0.97321
2016,"Rhineland-Palatinate, Saarland",2nd Quintile,No,0.93874,178,178,0.90341,0.97407
2016,"Rhineland-Palatinate, Saarland",3rd Quintile,No,0.96351,147,147,0.93310,0.99393
2016,"Rhineland-Palatinate, Saarland",4th Quintile,No,0.96387,140,140,0.93284,0.99489
2016,"Rhineland-Palatinate, Saarland",5th Quintile,No,0.98169,149,149,0.96008,1.00329
2016,Baden-Wuerttemberg,1st Quintile,No,0.95218,220,220,0.92392,0.98044
2016,Baden-Wuerttemberg,2nd Quintile,No,0.93184,276,276,0.90205,0.96163
2016,Baden-Wuerttemberg,3rd Quintile,No,0.97403,315,315,0.95644,0.99162
2016,Baden-Wuerttemberg,4th Quintile,No,0.96331,335,335,0.94315,0.98347
2016,Baden-Wuerttemberg,5th Quintile,No,0.97498,399,399,0.95964,0.99033
2016,Bavaria,1st Quintile,No,0.96521,352,352,0.94604,0.98438
2016,Bavaria,2nd Quintile,No,0.97216,472,472,0.95730,0.98702
2016,Bavaria,3rd Quintile,Yes,0.06673,34,447,0.04357,0.08989
2016,Bavaria,3rd Quintile,No,0.93327,413,447,0.91011,0.95643
2016,Bavaria,4th Quintile,No,0.96908,447,447,0.95301,0.98514
2016,Bavaria,5th Quintile,No,0.98268,504,504,0.97128,0.99408
2016,Berlin,1st Quintile,No,0.97412,147,147,0.94836,0.99987
2016,Berlin,2nd Quintile,No,0.99720,112,112,0.98737,1.00703
2016,Berlin,3rd Quintile,No,0.97086,112,112,0.93956,1.00215
2016,Berlin,4th Quintile,No,0.99728,121,121,0.98797,1.00660
2016,Berlin,5th Quintile,No,0.98229,105,105,0.95694,1.00764
2016,Brandenburg,1st Quintile,No,0.86791,127,127,0.80879,0.92703
2016,Brandenburg,2nd Quintile,No,0.88685,131,131,0.83240,0.94131
2016,Brandenburg,3rd Quintile,No,0.98107,126,126,0.95718,1.00496
2016,Brandenburg,4th Quintile,No,0.98467,74,74,0.95649,1.01285
2016,Brandenburg,5th Quintile,No,0.95714,66,66,0.90790,1.00638
2016,Mecklenburg-Western Pomerania,1st Quintile,No,0.95842,100,100,0.91909,0.99774
2016,Mecklenburg-Western Pomerania,2nd Quintile,No,0.94547,76,76,0.89408,0.99686
2016,Mecklenburg-Western Pomerania,3rd Quintile,No,0.98270,67,67,0.95124,1.01416
2016,Mecklenburg-Western Pomerania,4th Quintile,No,0.87739,39,39,0.77310,0.98167
2016,Mecklenburg-Western Pomerania,5th Quintile,No,0.95387,32,32,0.88002,1.02771
2016,Saxony,1st Quintile,No,0.88718,191,191,0.84220,0.93217
2016,Saxony,2nd Quintile,No,0.93646,214,214,0.90371,0.96922
2016,Saxony,3rd Quintile,No,0.85115,184,184,0.79958,0.90273
2016,Saxony,4th Quintile,No,0.97838,120,120,0.95225,1.00451
2016,Saxony,5th Quintile,No,0.96447,80,80,0.92365,1.00529
2016,Saxony-Anhalt,1st Quintile,No,0.92904,155,155,0.88849,0.96959
2016,Saxony-Anhalt,2nd Quintile,No,0.94072,124,124,0.89898,0.98245
2016,Saxony-Anhalt,3rd Quintile,No,0.92940,92,92,0.87677,0.98203
2016,Saxony-Anhalt,4th Quintile,No,0.88697,68,68,0.81115,0.96279
2016,Saxony-Anhalt,5th Quintile,No,0.94462,44,44,0.87625,1.01298
2016,Thuringa,1st Quintile,No,0.94477,130,130,0.90535,0.98419
2016,Thuringa,2nd Quintile,No,0.86802,124,124,0.80820,0.92784
2016,Thuringa,3rd Quintile,No,0.95362,104,104,0.91301,0.99424
2016,Thuringa,4th Quintile,No,0.95739,86,86,0.91445,1.00033
2016,Thuringa,5th Quintile,No,0.94554,49,49,0.88135,1.00974
2021,Schleswig-Holstein,1st Quintile,No,0.89915,71,71,0.82861,0.96969
2021,Schleswig-Holstein,2nd Quintile,No,0.95671,84,84,0.91292,1.00049
2021,Schleswig-Holstein,3rd Quintile,No,0.99640,74,74,0.98266,1.01014
2021,Schleswig-Holstein,4th Quintile,No,0.99003,84,84,0.96866,1.01140
2021,Schleswig-Holstein,5th Quintile,No,0.99065,101,101,0.97178,1.00951
2021,Hamburg,1st Quintile,No,0.89812,50,50,0.81343,0.98282
2021,Hamburg,2nd Quintile,No,0.97993,48,48,0.93984,1.02002
2021,Hamburg,3rd Quintile,No,0.99987,41,41,0.99631,1.00342
2021,Hamburg,4th Quintile,No,0.99276,47,47,0.96826,1.01726
2021,Hamburg,5th Quintile,No,0.99704,76,76,0.98476,1.00933
2021,Lower Saxony,1st Quintile,No,0.91694,188,188,0.87738,0.95649
2021,Lower Saxony,2nd Quintile,No,0.98742,211,211,0.97235,1.00249
2021,Lower Saxony,3rd Quintile,No,0.97287,187,187,0.94952,0.99622
2021,Lower Saxony,4th Quintile,No,0.95844,197,197,0.93050,0.98638
2021,Lower Saxony,5th Quintile,No,0.99182,246,246,0.98055,1.00310
2021,North Rhine-Westphalia,1st Quintile,No,0.94703,447,447,0.92624,0.96782
2021,North Rhine-Westphalia,2nd Quintile,No,0.96644,440,440,0.94959,0.98329
2021,North Rhine-Westphalia,3rd Quintile,No,0.97613,380,380,0.96077,0.99150
2021,North Rhine-Westphalia,4th Quintile,No,0.98082,403,403,0.96741,0.99423
2021,North Rhine-Westphalia,5th Quintile,No,0.98769,559,559,0.97854,0.99684
2021,Hesse,1st Quintile,No,0.93623,114,114,0.89118,0.98129
2021,Hesse,2nd Quintile,No,0.95237,96,96,0.90954,0.99520
2021,Hesse,3rd Quintile,No,0.95697,126,126,0.92140,0.99254
2021,Hesse,4th Quintile,No,0.96943,126,126,0.93924,0.99961
2021,Hesse,5th Quintile,No,0.95034,214,214,0.92116,0.97951
2021,"Rhineland-Palatinate, Saarland",1st Quintile,No,0.94009,101,101,0.89357,0.98660
2021,"Rhineland-Palatinate, Saarland",2nd Quintile,No,0.95737,105,105,0.91854,0.99620
2021,"Rhineland-Palatinate, Saarland",3rd Quintile,No,0.99100,107,107,0.97303,1.00898
2021,"Rhineland-Palatinate, Saarland",4th Quintile,No,0.98537,88,88,0.96014,1.01060
2021,"Rhineland-Palatinate, Saarland",5th Quintile,No,0.98024,114,114,0.95459,1.00590
2021,Baden-Wuerttemberg,1st Quintile,No,0.94730,166,166,0.91320,0.98139
