year,bula_h,rentown,pet_rabbit,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2016,Schleswig-Holstein,Owner,No,0.017736617917499316,221,14301,0.01769583839399596,0.017777397441002672
2016,Schleswig-Holstein,Tenant,No,0.016619623502021414,262,14301,0.01658012650075931,0.01665912050328352
2016,Hamburg,Owner,No,0.007476035490878175,73,14301,0.0074494221778319,0.007502648803924449
2016,Hamburg,Tenant,No,0.016847233399419896,187,14301,0.016807471459606555,0.016886995339233237
2016,Lower Saxony,Owner,Yes,0.0015837146290318593,37,14301,0.0015714292925223228,0.0015959999655413958
2016,Lower Saxony,Owner,No,0.05112146392520381,656,14301,0.05105341837706762,0.05118950947333999
2016,Lower Saxony,Tenant,No,0.043617695740382816,630,14301,0.04355459421035269,0.04368079727041294
2016,Bremen,Owner,No,0.0031255792627810273,33,14301,0.003108333665149104,0.0031428248604129503
2016,Bremen,Tenant,No,0.005761372375440108,70,14301,0.005737989331083237,0.005784755419796978
2016,North Rhine-Westphalia,Owner,Yes,0.002736699876462892,60,14301,0.0027205595888536685,0.002752840164072115
2016,North Rhine-Westphalia,Owner,No,0.09164268216463976,1156,14301,0.09155354270032591,0.09173182162895362
2016,North Rhine-Westphalia,Tenant,Yes,0.0028478644621952706,56,14301,0.0028314005464686685,0.002864328377921873
2016,North Rhine-Westphalia,Tenant,No,0.11779191417207938,1635,14301,0.11769231951946675,0.117891508824692
2016,Hesse,Owner,No,0.03445460459929483,406,14301,0.03439825345387052,0.034510955744719136
2016,Hesse,Tenant,No,0.03814531197994482,529,14301,0.03808613291714188,0.038204491042747764
2016,"Rhineland-Palatinate, Saarland",Owner,Yes,0.0016183145277625284,36,14301,0.0016058959307671795,0.0016307331247578773
2016,"Rhineland-Palatinate, Saarland",Owner,No,0.02982462694762862,406,14301,0.029772072993495328,0.029877180901761915
2016,"Rhineland-Palatinate, Saarland",Tenant,No,0.028180152787415137,394,14301,0.028129024962379026,0.028231280612451247
2016,Baden-Wuerttemberg,Owner,Yes,0.0026237386065340812,56,14301,0.002607934041023025,0.0026395431720451375
2016,Baden-Wuerttemberg,Owner,No,0.06837181228384547,798,14301,0.06829383777992906,0.06844978678776187
2016,Baden-Wuerttemberg,Tenant,No,0.055900581273354136,748,14301,0.05582960555585656,0.05597155699085171
2016,Bavaria,Owner,Yes,0.003442157453195028,78,14301,0.0034240624199146897,0.003460252486475366
2016,Bavaria,Owner,No,0.078042605480737,1021,14301,0.07795973228802908,0.07812547867344494
2016,Bavaria,Tenant,Yes,0.0014405165878083272,34,14301,0.0014287989824655245,0.0014522341931511298
2016,Bavaria,Tenant,No,0.07451009352222776,1166,14301,0.07442896264682315,0.07459122439763237
2016,Berlin,Owner,No,0.008949081479642471,105,14301,0.008919985701280896,0.008978177258004046
2016,Berlin,Tenant,No,0.03898726786167139,493,14301,0.03892746544477909,0.039047070278563696
2016,Brandenburg,Owner,No,0.013203576732752013,229,14301,0.013168311046072809,0.013238842419431218
2016,Brandenburg,Tenant,No,0.01551431113663056,295,14301,0.01547612869323587,0.01555249358002525
2016,Mecklenburg-Western Pomerania,Owner,No,0.006319209399261216,99,14301,0.006294727360283787,0.006343691438238645
2016,Mecklenburg-Western Pomerania,Tenant,No,0.013475884087871452,215,14301,0.013440261517673998,0.013511506658068906
2016,Saxony,Owner,Yes,0.0026489060995857397,43,14301,0.0026330261148608536,0.002664786084310626
2016,Saxony,Owner,No,0.01585735408025243,261,14301,0.01581875853754537,0.01589594962295949
2016,Saxony,Tenant,Yes,0.001933480416562297,33,14301,0.0019199084620013596,0.0019470523711232345
2016,Saxony,Tenant,No,0.03333339315654797,528,14301,0.03327793430332719,0.03338885200976875
2016,Saxony-Anhalt,Owner,No,0.009879085819659742,189,14301,0.0098485299069538,0.009909641732365684
2016,Saxony-Anhalt,Tenant,No,0.017208295612106822,294,14301,0.01716811723094747,0.017248473993266174
2016,Thuringa,Owner,Yes,0.0013757082433255158,35,14301,0.0013642568851863818,0.0013871596014646498
2016,Thuringa,Owner,No,0.010263548160623161,207,14301,0.010232409400958776,0.010294686920287547
2016,Thuringa,Tenant,No,0.015587884745723729,286,14301,0.0155496133031508,0.015626156188296658
2021,Schleswig-Holstein,Owner,No,0.021398414889650733,235,12538,0.021353652905405567,0.021443176873895898
2021,Schleswig-Holstein,Tenant,No,0.015326776955328568,180,12538,0.015288776652865326,0.01536477725779181
2021,Hamburg,Owner,No,0.006869894613249961,76,12538,0.006844344449859627,0.006895444776640295
2021,Hamburg,Tenant,No,0.01610173301663054,187,12538,0.01606279919999238,0.016140666833268702
2021,Lower Saxony,Owner,No,0.05164383600788551,539,12538,0.05157538016013573,0.05171229185563529
2021,Lower Saxony,Tenant,No,0.0442449667388808,490,12538,0.044181357411375854,0.044308576066385746
2021,Bremen,Tenant,No,0.006215970454630548,56,12538,0.006191658714320437,0.006240282194940659
2021,North Rhine-Westphalia,Owner,Yes,0.002224940362768945,33,12538,0.0022103659494998405,0.0022395147760380495
2021,North Rhine-Westphalia,Owner,No,0.09517791584960986,975,12538,0.09508714105769707,0.09526869064152264
