year,sampreg,pet_rabbit,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,West,Yes,0.02775,494,11228,0.02471,0.03078
2016,West,No,0.96699,10734,11228,0.96368,0.97029
2016,East,Yes,0.06226,215,3074,0.05371,0.07080
2016,East,No,0.93229,2859,3074,0.92341,0.94117
2021,West,Yes,0.02154,249,8665,0.01849,0.02460
2021,West,No,0.96680,8416,8665,0.96303,0.97057
2021,East,Yes,0.04088,129,2391,0.03294,0.04882
2021,East,No,0.94959,2262,2391,0.94082,0.95836
