year,bula_h,regtyp,pet_rabbit,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Schleswig-Holstein,Urban regions,No,0.96772,133,133,0.93757,0.99787
2016,Schleswig-Holstein,Rural regions,No,0.98408,350,350,0.97094,0.99721
2016,Hamburg,Urban regions,No,0.99534,260,260,0.98705,1.00363
2016,Lower Saxony,Urban regions,No,0.98399,553,553,0.97352,0.99446
2016,Lower Saxony,Rural regions,Yes,0.03153,48,781,0.01927,0.04379
2016,Lower Saxony,Rural regions,No,0.96847,733,781,0.95621,0.98073
2016,Bremen,Urban regions,No,0.99645,103,103,0.98492,1.00799
2016,North Rhine-Westphalia,Urban regions,Yes,0.02550,112,2855,0.01971,0.03128
2016,North Rhine-Westphalia,Urban regions,No,0.97450,2743,2855,0.96872,0.98029
2016,North Rhine-Westphalia,Rural regions,No,0.94363,48,48,0.87770,1.00957
2016,Hesse,Urban regions,Yes,0.02620,36,799,0.01512,0.03729
2016,Hesse,Urban regions,No,0.97380,763,799,0.96271,0.98488
2016,Hesse,Rural regions,No,0.94961,172,172,0.91683,0.98240
2016,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.03597,38,624,0.02135,0.05059
2016,"Rhineland-Palatinate, Saarland",Urban regions,No,0.96403,586,624,0.94941,0.97865
2016,"Rhineland-Palatinate, Saarland",Rural regions,No,0.96339,214,214,0.93817,0.98861
2016,Baden-Wuerttemberg,Urban regions,Yes,0.03378,70,1454,0.02449,0.04307
2016,Baden-Wuerttemberg,Urban regions,No,0.96622,1384,1454,0.95693,0.97551
2016,Baden-Wuerttemberg,Rural regions,No,0.96001,162,162,0.92975,0.99028
2016,Bavaria,Urban regions,Yes,0.02069,40,1100,0.01227,0.02910
2016,Bavaria,Urban regions,No,0.97931,1060,1100,0.97090,0.98773
2016,Bavaria,Rural regions,Yes,0.04190,72,1200,0.03056,0.05324
2016,Bavaria,Rural regions,No,0.95810,1128,1200,0.94676,0.96944
2016,Berlin,Urban regions,No,0.98597,598,598,0.97653,0.99540
2016,Brandenburg,Rural regions,Yes,0.07383,38,517,0.05127,0.09639
2016,Brandenburg,Rural regions,No,0.92617,479,517,0.90361,0.94873
2016,Mecklenburg-Western Pomerania,Urban regions,No,0.97664,44,44,0.93149,1.02179
2016,Mecklenburg-Western Pomerania,Rural regions,No,0.95511,270,270,0.93036,0.97985
2016,Saxony,Urban regions,Yes,0.07575,39,465,0.05167,0.09982
2016,Saxony,Urban regions,No,0.92425,426,465,0.90018,0.94833
2016,Saxony,Rural regions,Yes,0.09414,37,400,0.06549,0.12280
2016,Saxony,Rural regions,No,0.90586,363,400,0.87720,0.93451
2016,Saxony-Anhalt,Urban regions,No,0.99627,122,122,0.98542,1.00713
2016,Saxony-Anhalt,Rural regions,No,0.91606,361,361,0.88741,0.94470
2016,Thuringa,Urban regions,No,0.94239,165,165,0.90673,0.97805
2016,Thuringa,Rural regions,Yes,0.06305,36,364,0.03805,0.08805
2016,Thuringa,Rural regions,No,0.93695,328,364,0.91195,0.96195
2021,Schleswig-Holstein,Urban regions,No,0.98587,152,152,0.96705,1.00470
2021,Schleswig-Holstein,Rural regions,No,0.98329,263,263,0.96777,0.99881
2021,Hamburg,Urban regions,No,0.98314,263,263,0.96755,0.99873
2021,Lower Saxony,Urban regions,No,0.98391,467,467,0.97249,0.99534
2021,Lower Saxony,Rural regions,No,0.96899,562,562,0.95465,0.98334
2021,North Rhine-Westphalia,Urban regions,Yes,0.01606,51,2234,0.01085,0.02128
2021,North Rhine-Westphalia,Urban regions,No,0.98394,2183,2234,0.97872,0.98915
2021,North Rhine-Westphalia,Rural regions,No,0.96692,47,47,0.91524,1.01860
2021,Hesse,Urban regions,No,0.97185,545,545,0.95795,0.98575
2021,Hesse,Rural regions,No,0.99694,136,136,0.98763,1.00626
2021,"Rhineland-Palatinate, Saarland",Urban regions,No,0.98725,405,405,0.97631,0.99819
2021,"Rhineland-Palatinate, Saarland",Rural regions,No,0.96390,112,112,0.92920,0.99860
2021,Baden-Wuerttemberg,Urban regions,Yes,0.03153,33,1098,0.02119,0.04187
2021,Baden-Wuerttemberg,Urban regions,No,0.96847,1065,1098,0.95813,0.97881
2021,Baden-Wuerttemberg,Rural regions,No,0.96416,111,111,0.92942,0.99890
2021,Bavaria,Urban regions,No,0.97900,848,848,0.96934,0.98865
2021,Bavaria,Rural regions,Yes,0.02706,42,870,0.01627,0.03785
2021,Bavaria,Rural regions,No,0.97294,828,870,0.96215,0.98373
2021,Berlin,Urban regions,No,0.98365,543,543,0.97298,0.99433
2021,Brandenburg,Urban regions,No,0.99684,39,39,0.97899,1.01469
2021,Brandenburg,Rural regions,No,0.97996,393,393,0.96609,0.99383
2021,Mecklenburg-Western Pomerania,Rural regions,No,0.92764,196,196,0.89127,0.96400
2021,Saxony,Urban regions,No,0.95708,371,371,0.93643,0.97773
2021,Saxony,Rural regions,No,0.93253,312,312,0.90465,0.96041
2021,Saxony-Anhalt,Rural regions,No,0.96360,267,267,0.94109,0.98611
2021,Thuringa,Urban regions,No,0.99592,135,135,0.98512,1.00671
2021,Thuringa,Rural regions,No,0.92310,225,225,0.88821,0.95799
