year,quintil_oecd_hh,sampreg,pet_rabbit,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,1st Quintile,West,Yes,0.01910,80,2276,0.01348,0.02473
2016,1st Quintile,West,No,0.98090,2196,2276,0.97527,0.98652
2016,1st Quintile,East,Yes,0.05880,55,820,0.04269,0.07491
2016,1st Quintile,East,No,0.94120,765,820,0.92509,0.95731
2016,2nd Quintile,West,Yes,0.03412,116,2242,0.02660,0.04163
2016,2nd Quintile,West,No,0.96588,2126,2242,0.95837,0.97340
2016,2nd Quintile,East,Yes,0.07380,73,799,0.05566,0.09194
2016,2nd Quintile,East,No,0.92620,726,799,0.90806,0.94434
2016,3rd Quintile,West,Yes,0.03478,119,2071,0.02689,0.04267
2016,3rd Quintile,West,No,0.96522,1952,2071,0.95733,0.97311
2016,3rd Quintile,East,Yes,0.07367,45,672,0.05390,0.09343
2016,3rd Quintile,East,No,0.92633,627,672,0.90657,0.94610
2016,4th Quintile,West,Yes,0.02726,97,2205,0.02046,0.03406
2016,4th Quintile,West,No,0.97274,2108,2205,0.96594,0.97954
2016,4th Quintile,East,No,0.95621,435,435,0.93695,0.97546
2016,5th Quintile,West,Yes,0.02440,82,2429,0.01827,0.03054
2016,5th Quintile,West,No,0.97560,2347,2429,0.96946,0.98173
2016,5th Quintile,East,No,0.95394,306,306,0.93042,0.97747
2021,1st Quintile,West,Yes,0.01579,31,1508,0.00950,0.02209
2021,1st Quintile,West,No,0.98421,1477,1508,0.97791,0.99050
2021,1st Quintile,East,No,0.97979,513,513,0.96760,0.99198
2021,2nd Quintile,West,Yes,0.02305,47,1617,0.01573,0.03037
2021,2nd Quintile,West,No,0.97695,1570,1617,0.96963,0.98427
2021,2nd Quintile,East,Yes,0.07312,44,567,0.05167,0.09457
2021,2nd Quintile,East,No,0.92688,523,567,0.90543,0.94833
2021,3rd Quintile,West,Yes,0.02469,58,1549,0.01696,0.03243
2021,3rd Quintile,West,No,0.97531,1491,1549,0.96757,0.98304
2021,3rd Quintile,East,No,0.94896,447,447,0.92854,0.96939
2021,4th Quintile,West,Yes,0.02924,63,1688,0.02120,0.03728
2021,4th Quintile,West,No,0.97076,1625,1688,0.96272,0.97880
2021,4th Quintile,East,No,0.96811,373,373,0.95026,0.98597
2021,5th Quintile,West,Yes,0.01610,50,2288,0.01094,0.02125
2021,5th Quintile,West,No,0.98390,2238,2288,0.97875,0.98906
2021,5th Quintile,East,No,0.98475,402,402,0.97275,0.99674
