year,regtyp,pet_rabbit,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Urban regions,Yes,0.02667,392,9377,0.02341,0.02993
2016,Urban regions,No,0.96785,8985,9377,0.96428,0.97142
2016,Rural regions,Yes,0.04970,317,4925,0.04363,0.05577
2016,Rural regions,No,0.94539,4608,4925,0.93904,0.95173
2021,Urban regions,Yes,0.02018,184,7409,0.01698,0.02339
2021,Urban regions,No,0.96706,7225,7409,0.96299,0.97112
2021,Rural regions,Yes,0.03522,194,3646,0.02923,0.04120
2021,Rural regions,No,0.95668,3452,3646,0.95007,0.96329
