year,hhtyp,rentown,pet_rabbit,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Single-person household,Owner,No,0.98819,916,916,0.98119,0.99519
2016,Single-person household,Tenant,No,0.99288,2435,2435,0.98954,0.99622
2016,Couple without children,Owner,Yes,0.02777,59,2222,0.02093,0.03460
2016,Couple without children,Owner,No,0.97223,2163,2222,0.96540,0.97907
2016,Couple without children,Tenant,Yes,0.02557,46,1875,0.01843,0.03272
2016,Couple without children,Tenant,No,0.97443,1829,1875,0.96728,0.98157
2016,Single parent,Owner,Yes,0.05441,32,382,0.03164,0.07719
2016,Single parent,Owner,No,0.94559,350,382,0.92281,0.96836
2016,Single parent,Tenant,Yes,0.05914,60,1142,0.04545,0.07282
2016,Single parent,Tenant,No,0.94086,1082,1142,0.92718,0.95455
2016,Couple with children,Owner,Yes,0.10432,328,2662,0.09271,0.11594
2016,Couple with children,Owner,No,0.89568,2334,2662,0.88406,0.90729
2016,Couple with children,Tenant,Yes,0.05796,135,2328,0.04847,0.06746
2016,Couple with children,Tenant,No,0.94204,2193,2328,0.93254,0.95153
2016,Multi-generational household,Owner,No,0.92323,47,47,0.84629,1.00017
2016,Multi-generational household,Tenant,No,0.91628,52,52,0.84027,0.99230
2016,Other Combinations,Owner,No,0.96619,50,50,0.91558,1.01680
2016,Other Combinations,Tenant,No,0.98685,141,141,0.96798,1.00572
2021,Single-person household,Owner,No,0.99084,850,850,0.98443,0.99725
2021,Single-person household,Tenant,No,0.98169,2317,2317,0.97623,0.98715
2021,Couple without children,Owner,Yes,0.02575,44,1924,0.01867,0.03283
2021,Couple without children,Owner,No,0.97424,1880,1924,0.96716,0.98132
2021,Couple without children,Tenant,No,0.98259,1476,1476,0.97591,0.98926
2021,Single parent,Owner,No,0.95563,233,233,0.92913,0.98212
2021,Single parent,Tenant,Yes,0.06806,33,647,0.04863,0.08748
2021,Single parent,Tenant,No,0.90962,614,647,0.88751,0.93174
2021,Couple with children,Owner,Yes,0.08283,180,1881,0.07037,0.09529
2021,Couple with children,Owner,No,0.91367,1701,1881,0.90098,0.92637
2021,Couple with children,Tenant,Yes,0.03243,57,1278,0.02271,0.04215
2021,Couple with children,Tenant,No,0.91468,1221,1278,0.89935,0.93000
2021,Multi-generational household,Owner,No,0.88668,38,38,0.78454,0.98882
2021,Multi-generational household,Tenant,No,0.95043,31,31,0.87275,1.02810
2021,Other Combinations,Owner,No,0.99445,104,104,0.98011,1.00880
2021,Other Combinations,Tenant,No,0.93880,154,154,0.90082,0.97678
