,Unnamed: 0,year,rentown,sampreg,pet_rabbit,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2016,Owner,West,Yes,0.03416,305,14301,0.02996,0.03871
1,1,2016,Owner,West,No,0.96584,4841,14301,0.94131,0.9941
2,2,2016,Owner,East,Yes,0.11805,137,14301,0.09992,0.13993
3,3,2016,Owner,East,No,0.88195,1019,14301,0.82027,0.9411
4,4,2016,Tenant,West,Yes,0.02188,189,14301,0.01838,0.02638
5,5,2016,Tenant,West,No,0.97812,5892,14301,0.95251,1.0045
6,6,2016,Tenant,East,Yes,0.03127,78,14301,0.02196,0.04226
7,7,2016,Tenant,East,No,0.96873,1840,14301,0.91623,1.017
8,8,2021,Owner,West,Yes,0.02976,171,11051,0.02432,0.0359
9,9,2021,Owner,West,No,0.97024,3956,11051,0.93482,1.00749
10,10,2021,Owner,East,Yes,0.08016,90,11051,0.05992,0.10302
11,11,2021,Owner,East,No,0.91984,863,11051,0.82599,0.98731
12,12,2021,Tenant,West,Yes,0.01436,78,11051,0.01074,0.01802
13,13,2021,Tenant,West,No,0.98564,4456,11051,0.94833,1.01842
14,14,2021,Tenant,East,Yes,0.01679,39,11051,0.01098,0.02634
15,15,2021,Tenant,East,No,0.98321,1398,11051,0.92584,1.04819
