year,bula_h,pet_rabbit,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Schleswig-Holstein,No,0.97947,483,483,0.96682,0.99213
2016,Hamburg,No,0.99534,260,260,0.98705,1.00363
2016,Lower Saxony,Yes,0.02499,62,1348,0.01666,0.03333
2016,Lower Saxony,No,0.97501,1286,1348,0.96667,0.98334
2016,Bremen,No,0.99645,103,103,0.98492,1.00799
2016,North Rhine-Westphalia,Yes,0.02610,116,2907,0.02030,0.03190
2016,North Rhine-Westphalia,No,0.97390,2791,2907,0.96810,0.97970
2016,Hesse,Yes,0.03085,43,978,0.02001,0.04170
2016,Hesse,No,0.96915,935,978,0.95830,0.97999
2016,"Rhineland-Palatinate, Saarland",Yes,0.03612,48,848,0.02356,0.04869
2016,"Rhineland-Palatinate, Saarland",No,0.96388,800,848,0.95131,0.97644
2016,Baden-Wuerttemberg,Yes,0.03437,81,1627,0.02552,0.04323
2016,Baden-Wuerttemberg,No,0.96563,1546,1627,0.95677,0.97448
2016,Bavaria,Yes,0.03119,112,2300,0.02409,0.03830
2016,Bavaria,No,0.96881,2188,2300,0.96170,0.97591
2016,Berlin,No,0.98597,598,598,0.97653,0.99540
2016,Brandenburg,Yes,0.06843,38,562,0.04754,0.08932
2016,Brandenburg,No,0.93157,524,562,0.91068,0.95246
2016,Mecklenburg-Western Pomerania,No,0.95765,314,314,0.93534,0.97996
2016,Saxony,Yes,0.08503,76,865,0.06643,0.10362
2016,Saxony,No,0.91497,789,865,0.89638,0.93357
2016,Saxony-Anhalt,No,0.93454,483,483,0.91246,0.95662
2016,Thuringa,Yes,0.06144,51,544,0.04124,0.08164
2016,Thuringa,No,0.93856,493,544,0.91836,0.95876
2021,Schleswig-Holstein,No,0.98419,415,415,0.97218,0.99621
2021,Hamburg,No,0.98314,263,263,0.96755,0.99873
2021,Lower Saxony,Yes,0.02430,33,1062,0.01504,0.03357
2021,Lower Saxony,No,0.97570,1029,1062,0.96643,0.98496
2021,North Rhine-Westphalia,Yes,0.01648,53,2283,0.01126,0.02170
2021,North Rhine-Westphalia,No,0.98352,2230,2283,0.97830,0.98874
2021,Hesse,No,0.97659,681,681,0.96522,0.98795
2021,"Rhineland-Palatinate, Saarland",No,0.98213,517,517,0.97070,0.99356
2021,Baden-Wuerttemberg,Yes,0.03203,39,1215,0.02212,0.04193
2021,Baden-Wuerttemberg,No,0.96797,1176,1215,0.95807,0.97788
2021,Bavaria,Yes,0.02395,71,1747,0.01678,0.03113
2021,Bavaria,No,0.97605,1676,1747,0.96887,0.98322
2021,Berlin,No,0.98365,543,543,0.97298,0.99433
2021,Brandenburg,No,0.98161,432,432,0.96893,0.99430
2021,Mecklenburg-Western Pomerania,No,0.93631,245,245,0.90567,0.96695
2021,Saxony,Yes,0.05586,50,733,0.03922,0.07250
2021,Saxony,No,0.94414,683,733,0.92750,0.96078
2021,Saxony-Anhalt,No,0.97019,348,348,0.95229,0.98808
2021,Thuringa,No,0.94878,360,360,0.92598,0.97159
