year,quintil_oecd_hh,sampreg,hgeqpinsul,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2015,1st Quintile,West,Yes,0.36392,932,2562,0.34529,0.38255
2015,1st Quintile,West,No,0.63608,1630,2562,0.61745,0.65471
2015,1st Quintile,East,Yes,0.53673,450,846,0.50311,0.57035
2015,1st Quintile,East,No,0.46327,396,846,0.42965,0.49689
2015,2nd Quintile,West,Yes,0.44411,1113,2376,0.42412,0.46409
2015,2nd Quintile,West,No,0.55589,1263,2376,0.53591,0.57588
2015,2nd Quintile,East,Yes,0.58624,549,902,0.55408,0.61840
2015,2nd Quintile,East,No,0.41376,353,902,0.38160,0.44592
2015,3rd Quintile,West,Yes,0.55938,1321,2328,0.53920,0.57955
2015,3rd Quintile,West,No,0.44062,1007,2328,0.42045,0.46080
2015,3rd Quintile,East,Yes,0.64863,420,628,0.61127,0.68600
2015,3rd Quintile,East,No,0.35137,208,628,0.31400,0.38873
2015,4th Quintile,West,Yes,0.57118,1388,2285,0.55089,0.59148
2015,4th Quintile,West,No,0.42882,897,2285,0.40852,0.44911
2015,4th Quintile,East,Yes,0.67866,340,481,0.63688,0.72044
2015,4th Quintile,East,No,0.32134,141,481,0.27956,0.36312
2015,5th Quintile,West,Yes,0.63955,1726,2583,0.62103,0.65807
2015,5th Quintile,West,No,0.36045,857,2583,0.34193,0.37897
2015,5th Quintile,East,Yes,0.77857,257,340,0.73437,0.82277
2015,5th Quintile,East,No,0.22143,83,340,0.17723,0.26563
2016,1st Quintile,West,Yes,0.38126,888,2228,0.36109,0.40144
2016,1st Quintile,West,No,0.61874,1340,2228,0.59856,0.63891
2016,1st Quintile,East,Yes,0.57849,470,814,0.54454,0.61243
2016,1st Quintile,East,No,0.42151,344,814,0.38757,0.45546
2016,2nd Quintile,West,Yes,0.49674,1170,2219,0.47593,0.51754
2016,2nd Quintile,West,No,0.50326,1049,2219,0.48246,0.52407
2016,2nd Quintile,East,Yes,0.60474,516,798,0.57079,0.63868
2016,2nd Quintile,East,No,0.39526,282,798,0.36132,0.42921
2016,3rd Quintile,West,Yes,0.61072,1282,2059,0.58965,0.63178
2016,3rd Quintile,West,No,0.38928,777,2059,0.36822,0.41035
2016,3rd Quintile,East,Yes,0.71919,471,668,0.68508,0.75329
2016,3rd Quintile,East,No,0.28081,197,668,0.24671,0.31492
2016,4th Quintile,West,Yes,0.65308,1464,2197,0.63317,0.67299
2016,4th Quintile,West,No,0.34692,733,2197,0.32701,0.36683
2016,4th Quintile,East,Yes,0.74996,346,456,0.71017,0.78975
2016,4th Quintile,East,No,0.25004,110,456,0.21025,0.28983
2016,5th Quintile,West,Yes,0.69839,1710,2419,0.68009,0.71668
2016,5th Quintile,West,No,0.30161,709,2419,0.28332,0.31991
2016,5th Quintile,East,Yes,0.76812,250,325,0.72216,0.81407
2016,5th Quintile,East,No,0.23188,75,325,0.18593,0.27784
2017,1st Quintile,West,Yes,0.44497,1054,2283,0.42458,0.46536
2017,1st Quintile,West,No,0.55503,1229,2283,0.53464,0.57542
2017,1st Quintile,East,Yes,0.58081,513,873,0.54806,0.61356
2017,1st Quintile,East,No,0.41919,360,873,0.38644,0.45194
2017,2nd Quintile,West,Yes,0.53682,1298,2313,0.51649,0.55715
2017,2nd Quintile,West,No,0.46318,1015,2313,0.44285,0.48351
2017,2nd Quintile,East,Yes,0.66264,588,896,0.63167,0.69362
2017,2nd Quintile,East,No,0.33736,308,896,0.30638,0.36833
2017,3rd Quintile,West,Yes,0.62656,1534,2353,0.60702,0.64611
2017,3rd Quintile,West,No,0.37344,819,2353,0.35389,0.39298
2017,3rd Quintile,East,Yes,0.70031,501,722,0.66687,0.73375
2017,3rd Quintile,East,No,0.29969,221,722,0.26625,0.33313
2017,4th Quintile,West,Yes,0.64359,1681,2506,0.62484,0.66235
