year,bula_h,regtyp,hgeqpinsul,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2015,Schleswig-Holstein,Urban regions,Yes,0.64191,95,147,0.56413,0.71968
2015,Schleswig-Holstein,Urban regions,No,0.35809,52,147,0.28032,0.43587
2015,Schleswig-Holstein,Rural regions,Yes,0.55476,221,380,0.50472,0.60479
2015,Schleswig-Holstein,Rural regions,No,0.44524,159,380,0.39521,0.49528
2015,Hamburg,Urban regions,Yes,0.41677,115,274,0.35829,0.47526
2015,Hamburg,Urban regions,No,0.58323,159,274,0.52474,0.64171
2015,Lower Saxony,Urban regions,Yes,0.55281,343,614,0.51345,0.59218
2015,Lower Saxony,Urban regions,No,0.44719,271,614,0.40782,0.48655
2015,Lower Saxony,Rural regions,Yes,0.65655,560,855,0.62470,0.68839
2015,Lower Saxony,Rural regions,No,0.34345,295,855,0.31161,0.37530
2015,Bremen,Urban regions,Yes,0.49115,49,113,0.39856,0.58373
2015,Bremen,Urban regions,No,0.50885,64,113,0.41627,0.60144
2015,North Rhine-Westphalia,Urban regions,Yes,0.55276,1683,3070,0.53517,0.57035
2015,North Rhine-Westphalia,Urban regions,No,0.44724,1387,3070,0.42965,0.46483
2015,Hesse,Urban regions,Yes,0.42665,424,876,0.39388,0.45942
2015,Hesse,Urban regions,No,0.57335,452,876,0.54058,0.60612
2015,Hesse,Rural regions,Yes,0.55767,119,213,0.49081,0.62453
2015,Hesse,Rural regions,No,0.44233,94,213,0.37547,0.50919
2015,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.46540,315,673,0.42769,0.50311
2015,"Rhineland-Palatinate, Saarland",Urban regions,No,0.53460,358,673,0.49689,0.57231
2015,"Rhineland-Palatinate, Saarland",Rural regions,Yes,0.50598,115,238,0.44232,0.56963
2015,"Rhineland-Palatinate, Saarland",Rural regions,No,0.49402,123,238,0.43037,0.55768
2015,Baden-Wuerttemberg,Urban regions,Yes,0.50264,853,1586,0.47803,0.52726
2015,Baden-Wuerttemberg,Urban regions,No,0.49736,733,1586,0.47274,0.52197
2015,Baden-Wuerttemberg,Rural regions,Yes,0.70053,128,181,0.63362,0.76744
2015,Baden-Wuerttemberg,Rural regions,No,0.29947,53,181,0.23256,0.36638
2015,Bavaria,Urban regions,Yes,0.52901,628,1204,0.50080,0.55721
2015,Bavaria,Urban regions,No,0.47099,576,1204,0.44279,0.49920
2015,Bavaria,Rural regions,Yes,0.46715,657,1307,0.44009,0.49421
2015,Bavaria,Rural regions,No,0.53285,650,1307,0.50579,0.55991
2015,Berlin,Urban regions,Yes,0.53979,319,625,0.50068,0.57889
2015,Berlin,Urban regions,No,0.46021,306,625,0.42111,0.49932
2015,Brandenburg,Urban regions,Yes,0.74315,33,33,0.59178,0.89453
2015,Brandenburg,Rural regions,Yes,0.58680,340,551,0.54565,0.62796
2015,Brandenburg,Rural regions,No,0.41320,211,551,0.37204,0.45435
2015,Mecklenburg-Western Pomerania,Urban regions,Yes,0.73678,31,31,0.57920,0.89437
2015,Mecklenburg-Western Pomerania,Rural regions,Yes,0.70973,219,301,0.65836,0.76109
2015,Mecklenburg-Western Pomerania,Rural regions,No,0.29027,82,301,0.23891,0.34164
2015,Saxony,Urban regions,Yes,0.58647,306,483,0.54250,0.63044
2015,Saxony,Urban regions,No,0.41353,177,483,0.36956,0.45750
2015,Saxony,Rural regions,Yes,0.55343,237,404,0.50489,0.60197
2015,Saxony,Rural regions,No,0.44657,167,404,0.39803,0.49511
2015,Saxony-Anhalt,Urban regions,Yes,0.69725,82,130,0.61796,0.77653
2015,Saxony-Anhalt,Urban regions,No,0.30275,48,130,0.22347,0.38204
2015,Saxony-Anhalt,Rural regions,Yes,0.65226,256,404,0.60577,0.69876
2015,Saxony-Anhalt,Rural regions,No,0.34774,148,404,0.30124,0.39423
2015,Thuringa,Urban regions,Yes,0.62690,116,186,0.55721,0.69659
2015,Thuringa,Urban regions,No,0.37310,70,186,0.30341,0.44279
2015,Thuringa,Rural regions,Yes,0.57580,230,379,0.52598,0.62562
2015,Thuringa,Rural regions,No,0.42420,149,379,0.37438,0.47402
2016,Schleswig-Holstein,Urban regions,Yes,0.59711,82,138,0.51498,0.67924
2016,Schleswig-Holstein,Urban regions,No,0.40289,56,138,0.32076,0.48502
2016,Schleswig-Holstein,Rural regions,Yes,0.59508,210,361,0.54437,0.64578
2016,Schleswig-Holstein,Rural regions,No,0.40492,151,361,0.35422,0.45563
2016,Hamburg,Urban regions,Yes,0.42837,116,262,0.36833,0.48840
2016,Hamburg,Urban regions,No,0.57163,146,262,0.51160,0.63167
2016,Lower Saxony,Urban regions,Yes,0.61873,325,563,0.57857,0.65888
2016,Lower Saxony,Urban regions,No,0.38127,238,563,0.34112,0.42143
2016,Lower Saxony,Rural regions,Yes,0.68887,545,774,0.65624,0.72151
2016,Lower Saxony,Rural regions,No,0.31113,229,774,0.27849,0.34376
2016,Bremen,Urban regions,Yes,0.47409,54,103,0.37719,0.57100
2016,Bremen,Urban regions,No,0.52591,49,103,0.42900,0.62281
2016,North Rhine-Westphalia,Urban regions,Yes,0.58312,1719,2837,0.56497,0.60126
2016,North Rhine-Westphalia,Urban regions,No,0.41688,1118,2837,0.39874,0.43503
2016,Hesse,Urban regions,Yes,0.52578,409,792,0.49099,0.56058
2016,Hesse,Urban regions,No,0.47422,383,792,0.43942,0.50901
2016,Hesse,Rural regions,Yes,0.67900,112,179,0.61042,0.74759
2016,Hesse,Rural regions,No,0.32100,67,179,0.25241,0.38958
2016,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.50408,312,619,0.46466,0.54350
2016,"Rhineland-Palatinate, Saarland",Urban regions,No,0.49592,307,619,0.45650,0.53534
2016,"Rhineland-Palatinate, Saarland",Rural regions,Yes,0.53262,110,223,0.46699,0.59826
2016,"Rhineland-Palatinate, Saarland",Rural regions,No,0.46738,113,223,0.40174,0.53301
2016,Baden-Wuerttemberg,Urban regions,Yes,0.62839,914,1434,0.60337,0.65341
2016,Baden-Wuerttemberg,Urban regions,No,0.37161,520,1434,0.34659,0.39663
2016,Baden-Wuerttemberg,Rural regions,Yes,0.80354,134,172,0.74399,0.86309
2016,Baden-Wuerttemberg,Rural regions,No,0.19646,38,172,0.13691,0.25601
2016,Bavaria,Urban regions,Yes,0.56288,623,1083,0.53332,0.59244
2016,Bavaria,Urban regions,No,0.43712,460,1083,0.40756,0.46668
2016,Bavaria,Rural regions,Yes,0.48765,641,1192,0.45926,0.51604
2016,Bavaria,Rural regions,No,0.51235,551,1192,0.48396,0.54074
2016,Berlin,Urban regions,Yes,0.59519,349,605,0.55604,0.63433
2016,Berlin,Urban regions,No,0.40481,256,605,0.36567,0.44396
2016,Brandenburg,Urban regions,Yes,0.88227,37,37,0.77699,0.98755
2016,Brandenburg,Rural regions,Yes,0.64261,347,515,0.60118,0.68404
2016,Brandenburg,Rural regions,No,0.35739,168,515,0.31596,0.39882
2016,Mecklenburg-Western Pomerania,Urban regions,Yes,0.81710,34,34,0.68520,0.94900
2016,Mecklenburg-Western Pomerania,Rural regions,Yes,0.81048,229,283,0.76474,0.85623
2016,Mecklenburg-Western Pomerania,Rural regions,No,0.18952,54,283,0.14377,0.23526
2016,Saxony,Urban regions,Yes,0.58321,292,460,0.53811,0.62832
2016,Saxony,Urban regions,No,0.41679,168,460,0.37168,0.46189
2016,Saxony,Rural regions,Yes,0.61336,256,398,0.56545,0.66126
2016,Saxony,Rural regions,No,0.38664,142,398,0.33874,0.43455
2016,Saxony-Anhalt,Urban regions,Yes,0.70720,84,124,0.62678,0.78762
2016,Saxony-Anhalt,Urban regions,No,0.29280,40,124,0.21238,0.37322
2016,Saxony-Anhalt,Rural regions,Yes,0.66871,249,388,0.62182,0.71561
2016,Saxony-Anhalt,Rural regions,No,0.33129,139,388,0.28439,0.37818
2016,Thuringa,Urban regions,Yes,0.70775,121,179,0.64093,0.77456
2016,Thuringa,Urban regions,No,0.29225,58,179,0.22544,0.35907
2016,Thuringa,Rural regions,Yes,0.65755,235,364,0.60874,0.70637
2016,Thuringa,Rural regions,No,0.34245,129,364,0.29363,0.39126
2017,Schleswig-Holstein,Urban regions,Yes,0.64096,112,171,0.56885,0.71308
2017,Schleswig-Holstein,Urban regions,No,0.35904,59,171,0.28692,0.43115
2017,Schleswig-Holstein,Rural regions,Yes,0.58926,233,390,0.54037,0.63815
2017,Schleswig-Holstein,Rural regions,No,0.41074,157,390,0.36185,0.45963
2017,Hamburg,Urban regions,Yes,0.49022,157,296,0.43318,0.54727
2017,Hamburg,Urban regions,No,0.50978,139,296,0.45273,0.56682
2017,Lower Saxony,Urban regions,Yes,0.55192,387,659,0.51392,0.58992
2017,Lower Saxony,Urban regions,No,0.44808,272,659,0.41008,0.48608
2017,Lower Saxony,Rural regions,Yes,0.69312,634,874,0.66252,0.72371
2017,Lower Saxony,Rural regions,No,0.30688,240,874,0.27629,0.33748
2017,Bremen,Urban regions,Yes,0.58682,81,129,0.50151,0.67212
2017,Bremen,Urban regions,No,0.41318,48,129,0.32788,0.49849
2017,North Rhine-Westphalia,Urban regions,Yes,0.65093,2056,3104,0.63416,0.66770
2017,North Rhine-Westphalia,Urban regions,No,0.34907,1048,3104,0.33230,0.36584
2017,North Rhine-Westphalia,Rural regions,Yes,0.54133,33,33,0.36868,0.71398
2017,Hesse,Urban regions,Yes,0.52189,459,839,0.48807,0.55571
2017,Hesse,Urban regions,No,0.47811,380,839,0.44429,0.51193
2017,Hesse,Rural regions,Yes,0.64000,129,206,0.57429,0.70571
2017,Hesse,Rural regions,No,0.36000,77,206,0.29429,0.42571
2017,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.56019,366,654,0.52212,0.59826
2017,"Rhineland-Palatinate, Saarland",Urban regions,No,0.43981,288,654,0.40174,0.47788
2017,"Rhineland-Palatinate, Saarland",Rural regions,Yes,0.54004,114,218,0.47373,0.60636
2017,"Rhineland-Palatinate, Saarland",Rural regions,No,0.45996,104,218,0.39364,0.52627
2017,Baden-Wuerttemberg,Urban regions,Yes,0.58930,958,1528,0.56463,0.61398
2017,Baden-Wuerttemberg,Urban regions,No,0.41070,570,1528,0.38602,0.43537
2017,Baden-Wuerttemberg,Rural regions,Yes,0.73922,137,183,0.67544,0.80301
2017,Baden-Wuerttemberg,Rural regions,No,0.26078,46,183,0.19699,0.32456
2017,Bavaria,Urban regions,Yes,0.60493,732,1182,0.57705,0.63282
2017,Bavaria,Urban regions,No,0.39507,450,1182,0.36718,0.42295
2017,Bavaria,Rural regions,Yes,0.54385,745,1296,0.51672,0.57098
2017,Bavaria,Rural regions,No,0.45615,551,1296,0.42902,0.48328
2017,Berlin,Urban regions,Yes,0.61409,399,653,0.57672,0.65146
2017,Berlin,Urban regions,No,0.38591,254,653,0.34854,0.42328
2017,Brandenburg,Urban regions,Yes,0.82369,42,42,0.70704,0.94034
2017,Brandenburg,Rural regions,Yes,0.64524,368,564,0.60572,0.68477
2017,Brandenburg,Rural regions,No,0.35476,196,564,0.31523,0.39428
2017,Mecklenburg-Western Pomerania,Urban regions,Yes,0.65113,38,38,0.49756,0.80471
2017,Mecklenburg-Western Pomerania,Rural regions,Yes,0.80008,252,310,0.75548,0.84467
2017,Mecklenburg-Western Pomerania,Rural regions,No,0.19992,58,310,0.15533,0.24452
2017,Saxony,Urban regions,Yes,0.63107,351,525,0.58975,0.67238
2017,Saxony,Urban regions,No,0.36893,174,525,0.32762,0.41025
2017,Saxony,Rural regions,Yes,0.59176,277,454,0.54650,0.63702
2017,Saxony,Rural regions,No,0.40824,177,454,0.36298,0.45350
2017,Saxony-Anhalt,Urban regions,Yes,0.78672,82,117,0.71218,0.86127
2017,Saxony-Anhalt,Urban regions,No,0.21328,35,117,0.13873,0.28782
2017,Saxony-Anhalt,Rural regions,Yes,0.67792,301,449,0.63465,0.72119
2017,Saxony-Anhalt,Rural regions,No,0.32208,148,449,0.27881,0.36535
2017,Thuringa,Urban regions,Yes,0.69310,123,187,0.62682,0.75938
2017,Thuringa,Urban regions,No,0.30690,64,187,0.24062,0.37318
2017,Thuringa,Rural regions,Yes,0.61424,248,403,0.56665,0.66182
2017,Thuringa,Rural regions,No,0.38576,155,403,0.33818,0.43335
2018,Schleswig-Holstein,Urban regions,Yes,0.62643,118,194,0.55818,0.69468
2018,Schleswig-Holstein,Urban regions,No,0.37357,76,194,0.30532,0.44182
2018,Schleswig-Holstein,Rural regions,Yes,0.57307,208,360,0.52190,0.62424
2018,Schleswig-Holstein,Rural regions,No,0.42693,152,360,0.37576,0.47810
2018,Hamburg,Urban regions,Yes,0.51759,175,321,0.46284,0.57234
2018,Hamburg,Urban regions,No,0.48241,146,321,0.42766,0.53716
2018,Lower Saxony,Urban regions,Yes,0.62801,386,634,0.59035,0.66566
2018,Lower Saxony,Urban regions,No,0.37199,248,634,0.33434,0.40965
