year,hhtyp,hgeqpinsul,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2015,Single-person household,Yes,0.47293,1670,3505,0.45639,0.48946
2015,Single-person household,No,0.52707,1835,3505,0.51054,0.54361
2015,Couple without children,Yes,0.59849,2526,4266,0.58377,0.61320
2015,Couple without children,No,0.40151,1740,4266,0.38680,0.41623
2015,Single parent,Yes,0.47383,828,1648,0.44971,0.49794
2015,Single parent,No,0.52617,820,1648,0.50206,0.55029
2015,Couple with children,Yes,0.61334,3301,5537,0.60051,0.62617
2015,Couple with children,No,0.38666,2236,5537,0.37383,0.39949
2015,Multi-generational household,Yes,0.45909,60,136,0.37503,0.54315
2015,Multi-generational household,No,0.54091,76,136,0.45685,0.62497
2015,Other Combinations,Yes,0.47708,113,243,0.41415,0.54001
2015,Other Combinations,No,0.52292,130,243,0.45999,0.58585
2016,Single-person household,Yes,0.52363,1779,3344,0.50670,0.54056
2016,Single-person household,No,0.47637,1565,3344,0.45944,0.49330
2016,Couple without children,Yes,0.66688,2676,4070,0.65239,0.68136
2016,Couple without children,No,0.33312,1394,4070,0.31864,0.34761
2016,Single parent,Yes,0.49637,793,1506,0.47111,0.52163
2016,Single parent,No,0.50363,713,1506,0.47837,0.52889
2016,Couple with children,Yes,0.64882,3165,4967,0.63554,0.66209
2016,Couple with children,No,0.35118,1802,4967,0.33791,0.36446
2016,Multi-generational household,Yes,0.59462,58,107,0.50115,0.68809
2016,Multi-generational household,No,0.40538,49,107,0.31191,0.49885
2016,Other Combinations,Yes,0.49081,96,194,0.42028,0.56134
2016,Other Combinations,No,0.50919,98,194,0.43866,0.57972
2017,Single-person household,Yes,0.55428,2116,3779,0.53843,0.57013
2017,Single-person household,No,0.44572,1663,3779,0.42987,0.46157
2017,Couple without children,Yes,0.66079,3038,4589,0.64709,0.67449
2017,Couple without children,No,0.33921,1551,4589,0.32551,0.35291
2017,Single parent,Yes,0.52098,861,1527,0.49592,0.54605
2017,Single parent,No,0.47902,666,1527,0.45395,0.50408
2017,Couple with children,Yes,0.68518,3601,5296,0.67267,0.69769
2017,Couple with children,No,0.31482,1695,5296,0.30231,0.32733
2017,Multi-generational household,Yes,0.43271,53,113,0.34095,0.52447
