year,rentown,sampreg,hgeqpinsul,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2015,Owner,West,Yes,0.62244,3677,5496,0.60962,0.63526
2015,Owner,West,No,0.37756,1819,5496,0.36474,0.39038
2015,Owner,East,Yes,0.66610,803,1174,0.63912,0.69309
2015,Owner,East,No,0.33390,371,1174,0.30691,0.36088
2015,Tenant,West,Yes,0.42843,2805,6642,0.41653,0.44034
2015,Tenant,West,No,0.57157,3837,6642,0.55966,0.58347
2015,Tenant,East,Yes,0.59160,1213,2023,0.57018,0.61303
2015,Tenant,East,No,0.40840,810,2023,0.38697,0.42982
2016,Owner,West,Yes,0.67303,3624,5136,0.66020,0.68586
2016,Owner,West,No,0.32697,1512,5136,0.31414,0.33980
2016,Owner,East,Yes,0.68324,807,1155,0.65640,0.71008
2016,Owner,East,No,0.31676,348,1155,0.28992,0.34360
2016,Tenant,West,Yes,0.48555,2890,5990,0.47289,0.49820
2016,Tenant,West,No,0.51445,3100,5990,0.50180,0.52711
2016,Tenant,East,Yes,0.64916,1246,1906,0.62773,0.67059
2016,Tenant,East,No,0.35084,660,1906,0.32941,0.37227
2017,Owner,West,Yes,0.69121,4200,5745,0.67926,0.70315
2017,Owner,West,No,0.30879,1545,5745,0.29685,0.32074
2017,Owner,East,Yes,0.68244,907,1312,0.65724,0.70764
2017,Owner,East,No,0.31756,405,1312,0.29236,0.34276
2017,Tenant,West,Yes,0.51019,3337,6416,0.49796,0.52242
2017,Tenant,West,No,0.48981,3079,6416,0.47758,0.50204
2017,Tenant,East,Yes,0.65891,1370,2087,0.63856,0.67925
2017,Tenant,East,No,0.34109,717,2087,0.32075,0.36144
2018,Owner,West,Yes,0.71018,4052,5492,0.69818,0.72218
2018,Owner,West,No,0.28982,1440,5492,0.27782,0.30182
2018,Owner,East,Yes,0.69823,887,1254,0.67281,0.72364
2018,Owner,East,No,0.30177,367,1254,0.27636,0.32719
2018,Tenant,West,Yes,0.53783,3438,6429,0.52564,0.55002
2018,Tenant,West,No,0.46217,2991,6429,0.44998,0.47436
2018,Tenant,East,Yes,0.69068,1464,2154,0.67116,0.71021
2018,Tenant,East,No,0.30932,690,2154,0.28979,0.32884
2019,Owner,West,Yes,0.70545,3535,4816,0.69258,0.71833
2019,Owner,West,No,0.29455,1281,4816,0.28167,0.30742
2019,Owner,East,Yes,0.70338,793,1119,0.67660,0.73015
2019,Owner,East,No,0.29662,326,1119,0.26985,0.32340
2019,Tenant,West,Yes,0.53142,2655,4901,0.51745,0.54540
2019,Tenant,West,No,0.46858,2246,4901,0.45460,0.48255
2019,Tenant,East,Yes,0.69858,1189,1713,0.67684,0.72031
2019,Tenant,East,No,0.30142,524,1713,0.27969,0.32316
2020,Owner,West,Yes,0.72508,4244,5592,0.71338,0.73678
2020,Owner,West,No,0.27492,1348,5592,0.26322,0.28662
2020,Owner,East,Yes,0.70639,1000,1355,0.68213,0.73065
2020,Owner,East,No,0.29361,355,1355,0.26935,0.31787
2020,Tenant,West,Yes,0.56043,3672,7059,0.54885,0.57200
2020,Tenant,West,No,0.43957,3387,7059,0.42800,0.45115
2020,Tenant,East,Yes,0.70500,1413,2044,0.68522,0.72477
2020,Tenant,East,No,0.29500,631,2044,0.27523,0.31478
2021,Owner,West,Yes,0.72475,2866,3771,0.71049,0.73900
2021,Owner,West,No,0.27525,905,3771,0.26100,0.28951
2021,Owner,East,Yes,0.70391,644,871,0.67357,0.73424
2021,Owner,East,No,0.29609,227,871,0.26576,0.32643
2021,Tenant,West,Yes,0.54347,2105,3919,0.52787,0.55907
2021,Tenant,West,No,0.45653,1814,3919,0.44093,0.47213
2021,Tenant,East,Yes,0.71675,918,1286,0.69211,0.74139
2021,Tenant,East,No,0.28325,368,1286,0.25861,0.30789
2022,Owner,West,Yes,0.71536,4740,6252,0.70417,0.72655
2022,Owner,West,No,0.28464,1512,6252,0.27345,0.29583
2022,Owner,East,Yes,0.75465,1188,1540,0.73315,0.77615
2022,Owner,East,No,0.24535,352,1540,0.22385,0.26685
2022,Tenant,West,Yes,0.55149,4698,8287,0.54078,0.56220
2022,Tenant,West,No,0.44851,3589,8287,0.43780,0.45922
2022,Tenant,East,Yes,0.68781,1755,2562,0.66986,0.70575
2022,Tenant,East,No,0.31219,807,2562,0.29425,0.33014
