year,regtyp,rentown,hgeqpinsul,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2015,Urban regions,Owner,Yes,0.62535,2693,4016,0.61038,0.64032
2015,Urban regions,Owner,No,0.37465,1323,4016,0.35968,0.38962
2015,Urban regions,Tenant,Yes,0.44643,2699,6055,0.43391,0.45895
2015,Urban regions,Tenant,No,0.55357,3356,6055,0.54105,0.56609
2015,Rural regions,Owner,Yes,0.63399,1787,2654,0.61566,0.65232
2015,Rural regions,Owner,No,0.36601,867,2654,0.34768,0.38434
2015,Rural regions,Tenant,Yes,0.50850,1319,2610,0.48931,0.52768
2015,Rural regions,Tenant,No,0.49150,1291,2610,0.47232,0.51069
2016,Urban regions,Owner,Yes,0.67916,2670,3764,0.66424,0.69407
2016,Urban regions,Owner,No,0.32084,1094,3764,0.30593,0.33576
2016,Urban regions,Tenant,Yes,0.50147,2801,5523,0.48828,0.51465
2016,Urban regions,Tenant,No,0.49853,2722,5523,0.48535,0.51172
2016,Rural regions,Owner,Yes,0.66615,1761,2527,0.64776,0.68454
2016,Rural regions,Owner,No,0.33385,766,2527,0.31546,0.35224
2016,Rural regions,Tenant,Yes,0.56984,1335,2373,0.54991,0.58976
2016,Rural regions,Tenant,No,0.43016,1038,2373,0.41024,0.45009
2017,Urban regions,Owner,Yes,0.69375,3123,4255,0.67990,0.70760
2017,Urban regions,Owner,No,0.30625,1132,4255,0.29240,0.32010
2017,Urban regions,Tenant,Yes,0.53272,3220,5896,0.51999,0.54546
2017,Urban regions,Tenant,No,0.46728,2676,5896,0.45454,0.48001
2017,Rural regions,Owner,Yes,0.68289,1984,2802,0.66566,0.70012
2017,Rural regions,Owner,No,0.31711,818,2802,0.29988,0.33434
2017,Rural regions,Tenant,Yes,0.56438,1487,2607,0.54534,0.58341
2017,Rural regions,Tenant,No,0.43562,1120,2607,0.41659,0.45466
2018,Urban regions,Owner,Yes,0.71716,3028,4070,0.70333,0.73100
2018,Urban regions,Owner,No,0.28284,1042,4070,0.26900,0.29667
2018,Urban regions,Tenant,Yes,0.56230,3397,6004,0.54975,0.57485
2018,Urban regions,Tenant,No,0.43770,2607,6004,0.42515,0.45025
2018,Rural regions,Owner,Yes,0.69216,1911,2676,0.67467,0.70965
2018,Rural regions,Owner,No,0.30784,765,2676,0.29035,0.32533
2018,Rural regions,Tenant,Yes,0.58953,1505,2579,0.57054,0.60851
2018,Rural regions,Tenant,No,0.41047,1074,2579,0.39149,0.42946
2019,Urban regions,Owner,Yes,0.71224,2628,3550,0.69734,0.72713
2019,Urban regions,Owner,No,0.28776,922,3550,0.27287,0.30266
2019,Urban regions,Tenant,Yes,0.56170,2677,4634,0.54741,0.57598
2019,Urban regions,Tenant,No,0.43830,1957,4634,0.42402,0.45259
2019,Rural regions,Owner,Yes,0.69198,1700,2385,0.67345,0.71052
2019,Rural regions,Owner,No,0.30802,685,2385,0.28948,0.32655
2019,Rural regions,Tenant,Yes,0.58066,1167,1980,0.55892,0.60240
2019,Rural regions,Tenant,No,0.41934,813,1980,0.39760,0.44108
2020,Urban regions,Owner,Yes,0.73141,3269,4273,0.71811,0.74470
2020,Urban regions,Owner,No,0.26859,1004,4273,0.25530,0.28189
2020,Urban regions,Tenant,Yes,0.58603,3547,6545,0.57410,0.59796
2020,Urban regions,Tenant,No,0.41397,2998,6545,0.40204,0.42590
2020,Rural regions,Owner,Yes,0.70551,1975,2674,0.68823,0.72279
2020,Rural regions,Owner,No,0.29449,699,2674,0.27721,0.31177
2020,Rural regions,Tenant,Yes,0.60313,1538,2558,0.58417,0.62210
2020,Rural regions,Tenant,No,0.39687,1020,2558,0.37790,0.41583
2021,Urban regions,Owner,Yes,0.73033,2179,2839,0.71400,0.74666
2021,Urban regions,Owner,No,0.26967,660,2839,0.25334,0.28600
2021,Urban regions,Tenant,Yes,0.57299,2101,3699,0.55705,0.58893
2021,Urban regions,Tenant,No,0.42701,1598,3699,0.41107,0.44295
2021,Rural regions,Owner,Yes,0.70644,1331,1803,0.68542,0.72747
2021,Rural regions,Owner,No,0.29356,472,1803,0.27253,0.31458
2021,Rural regions,Tenant,Yes,0.59493,922,1506,0.57013,0.61973
2021,Rural regions,Tenant,No,0.40507,584,1506,0.38027,0.42987
2022,Urban regions,Owner,Yes,0.70915,3532,4655,0.69610,0.72219
2022,Urban regions,Owner,No,0.29085,1123,4655,0.27781,0.30390
2022,Urban regions,Tenant,Yes,0.57410,4682,8042,0.56329,0.58490
2022,Urban regions,Tenant,No,0.42590,3360,8042,0.41510,0.43671
2022,Rural regions,Owner,Yes,0.74180,2396,3137,0.72649,0.75712
2022,Rural regions,Owner,No,0.25820,741,3137,0.24288,0.27351
2022,Rural regions,Tenant,Yes,0.59358,1771,2807,0.57541,0.61176
2022,Rural regions,Tenant,No,0.40642,1036,2807,0.38824,0.42459
