year,bula_h,sampreg,hgeqpinsul,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2015,Schleswig-Holstein,West,Yes,0.57907,316,527,0.53687,0.62126
2015,Schleswig-Holstein,West,No,0.42093,211,527,0.37874,0.46313
2015,Hamburg,West,Yes,0.41677,115,274,0.35829,0.47526
2015,Hamburg,West,No,0.58323,159,274,0.52474,0.64171
2015,Lower Saxony,West,Yes,0.61346,903,1469,0.58855,0.63837
2015,Lower Saxony,West,No,0.38654,566,1469,0.36163,0.41145
2015,Bremen,West,Yes,0.49115,49,113,0.39856,0.58373
2015,Bremen,West,No,0.50885,64,113,0.41627,0.60144
2015,North Rhine-Westphalia,West,Yes,0.54976,1707,3121,0.53230,0.56722
2015,North Rhine-Westphalia,West,No,0.45024,1414,3121,0.43278,0.46770
2015,Hesse,West,Yes,0.45249,543,1089,0.42292,0.48207
2015,Hesse,West,No,0.54751,546,1089,0.51793,0.57708
2015,"Rhineland-Palatinate, Saarland",West,Yes,0.47566,430,911,0.44321,0.50810
2015,"Rhineland-Palatinate, Saarland",West,No,0.52434,481,911,0.49190,0.55679
2015,Baden-Wuerttemberg,West,Yes,0.52240,981,1767,0.49911,0.54570
2015,Baden-Wuerttemberg,West,No,0.47760,786,1767,0.45430,0.50089
2015,Bavaria,West,Yes,0.49867,1285,2511,0.47910,0.51823
2015,Bavaria,West,No,0.50133,1226,2511,0.48177,0.52090
2015,Berlin,West,Yes,0.45570,153,356,0.40389,0.50751
2015,Berlin,West,No,0.54430,203,356,0.49249,0.59611
2015,Berlin,East,Yes,0.65057,166,269,0.59349,0.70766
2015,Berlin,East,No,0.34943,103,269,0.29234,0.40651
2015,Brandenburg,East,Yes,0.59707,373,598,0.55773,0.63642
2015,Brandenburg,East,No,0.40293,225,598,0.36358,0.44227
2015,Mecklenburg-Western Pomerania,East,Yes,0.71265,250,344,0.66476,0.76055
2015,Mecklenburg-Western Pomerania,East,No,0.28735,94,344,0.23945,0.33524
2015,Saxony,East,Yes,0.57016,543,887,0.53756,0.60276
2015,Saxony,East,No,0.42984,344,887,0.39724,0.46244
2015,Saxony-Anhalt,East,Yes,0.66353,338,534,0.62341,0.70364
2015,Saxony-Anhalt,East,No,0.33647,196,534,0.29636,0.37659
2015,Thuringa,East,Yes,0.59090,346,565,0.55032,0.63147
2015,Thuringa,East,No,0.40910,219,565,0.36853,0.44968
2016,Schleswig-Holstein,West,Yes,0.59564,292,499,0.55254,0.63874
2016,Schleswig-Holstein,West,No,0.40436,207,499,0.36126,0.44746
2016,Hamburg,West,Yes,0.42837,116,262,0.36833,0.48840
2016,Hamburg,West,No,0.57163,146,262,0.51160,0.63167
2016,Lower Saxony,West,Yes,0.65929,870,1337,0.63388,0.68471
2016,Lower Saxony,West,No,0.34071,467,1337,0.31529,0.36612
2016,Bremen,West,Yes,0.47409,54,103,0.37719,0.57100
2016,Bremen,West,No,0.52591,49,103,0.42900,0.62281
2016,North Rhine-Westphalia,West,Yes,0.58222,1747,2888,0.56423,0.60021
2016,North Rhine-Westphalia,West,No,0.41778,1141,2888,0.39979,0.43577
2016,Hesse,West,Yes,0.55536,521,971,0.52409,0.58663
2016,Hesse,West,No,0.44464,450,971,0.41337,0.47591
2016,"Rhineland-Palatinate, Saarland",West,Yes,0.51094,422,842,0.47716,0.54473
2016,"Rhineland-Palatinate, Saarland",West,No,0.48906,420,842,0.45527,0.52284
2016,Baden-Wuerttemberg,West,Yes,0.64522,1048,1606,0.62181,0.66863
2016,Baden-Wuerttemberg,West,No,0.35478,558,1606,0.33137,0.37819
2016,Bavaria,West,Yes,0.52563,1264,2275,0.50511,0.54616
2016,Bavaria,West,No,0.47437,1011,2275,0.45384,0.49489
2016,Berlin,West,Yes,0.56286,180,344,0.51036,0.61535
2016,Berlin,West,No,0.43714,164,344,0.38465,0.48964
2016,Berlin,East,Yes,0.64011,169,261,0.58177,0.69845
2016,Berlin,East,No,0.35989,92,261,0.30155,0.41823
2016,Brandenburg,East,Yes,0.66036,384,560,0.62110,0.69962
2016,Brandenburg,East,No,0.33964,176,560,0.30038,0.37890
2016,Mecklenburg-Western Pomerania,East,Yes,0.81125,263,327,0.76877,0.85373
2016,Mecklenburg-Western Pomerania,East,No,0.18875,64,327,0.14627,0.23123
2016,Saxony,East,Yes,0.59835,548,858,0.56553,0.63117
2016,Saxony,East,No,0.40165,310,858,0.36883,0.43447
2016,Saxony-Anhalt,East,Yes,0.67757,333,512,0.63704,0.71809
2016,Saxony-Anhalt,East,No,0.32243,179,512,0.28191,0.36296
2016,Thuringa,East,Yes,0.67240,356,543,0.63289,0.71192
2016,Thuringa,East,No,0.32760,187,543,0.28808,0.36711
2017,Schleswig-Holstein,West,Yes,0.60625,345,561,0.56578,0.64672
2017,Schleswig-Holstein,West,No,0.39375,216,561,0.35328,0.43422
2017,Hamburg,West,Yes,0.49022,157,296,0.43318,0.54727
2017,Hamburg,West,No,0.50978,139,296,0.45273,0.56682
