year,migback,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
2001,No migration background,18241,1.25117,1.23114,1.27120,0.00000,1.00000,2.00000,0.0,5.00000,1.0,1.00000,1.00000
2001,Direct migration background,2915,1.41154,1.35217,1.47092,0.00000,1.00000,2.00000,0.0,5.00000,1.0,1.00000,1.00000
2001,Indirect migration background,764,1.01762,0.92121,1.11403,0.00000,1.00000,2.00000,0.0,5.00000,1.0,0.00000,1.00000
2002,No migration background,,,,,,,,,,,,
2002,Direct migration background,,,,,,,,,,,,
2002,Indirect migration background,,,,,,,,,,,,
2003,No migration background,18768,1.18031,1.16219,1.19842,0.00000,1.00000,2.00000,0.0,5.00000,1.0,1.00000,1.00000
2003,Direct migration background,2619,1.31615,1.25766,1.37464,0.00000,1.00000,2.00000,0.0,5.00000,1.0,1.00000,1.00000
2003,Indirect migration background,777,1.03896,0.92713,1.15079,0.00000,1.00000,2.00000,0.0,5.00000,1.0,0.00000,1.00000
2004,No migration background,,,,,,,,,,,,
2004,Direct migration background,,,,,,,,,,,,
2004,Indirect migration background,,,,,,,,,,,,
2005,No migration background,17503,1.17555,1.15662,1.19448,0.00000,1.00000,2.00000,0.0,5.00000,1.0,1.00000,1.00000
2005,Direct migration background,2367,1.31184,1.25416,1.36953,0.00000,1.00000,2.00000,0.0,5.00000,1.0,1.00000,1.00000
2005,Indirect migration background,826,1.09988,1.00831,1.19145,0.00000,1.00000,2.00000,0.0,5.00000,1.0,1.00000,1.00000
2006,No migration background,,,,,,,,,,,,
2006,Direct migration background,,,,,,,,,,,,
2006,Indirect migration background,,,,,,,,,,,,
2007,No migration background,17605,1.17227,1.15376,1.19079,0.00000,1.00000,2.00000,0.0,5.00000,1.0,1.00000,1.00000
2007,Direct migration background,2119,1.28223,1.22082,1.34363,0.00000,1.00000,2.00000,0.0,5.00000,1.0,1.00000,1.00000
2007,Indirect migration background,780,1.10588,1.01377,1.19799,0.00000,1.00000,2.00000,0.0,5.00000,1.0,1.00000,1.00000
2008,No migration background,,,,,,,,,,,,
2008,Direct migration background,,,,,,,,,,,,
2008,Indirect migration background,,,,,,,,,,,,
2009,No migration background,15645,1.14761,1.12767,1.16755,0.00000,1.00000,2.00000,0.0,5.00000,1.0,1.00000,1.00000
2009,Direct migration background,1658,1.25797,1.19043,1.32550,0.00000,1.00000,2.00000,0.0,5.00000,1.0,1.00000,1.00000
2009,Indirect migration background,709,1.05112,0.95611,1.14614,0.00000,1.00000,2.00000,0.0,5.00000,1.0,1.00000,1.00000
2010,No migration background,,,,,,,,,,,,
2010,Direct migration background,,,,,,,,,,,,
2010,Indirect migration background,,,,,,,,,,,,
2011,No migration background,23783,1.05920,1.04383,1.07458,0.00000,1.00000,2.00000,0.0,5.00000,1.0,1.00000,1.00000
2011,Direct migration background,3347,1.23663,1.18709,1.28617,0.00000,1.00000,2.00000,0.0,5.00000,1.0,1.00000,1.00000
2011,Indirect migration background,1238,0.89086,0.82650,0.95522,0.00000,1.00000,1.00000,0.0,2.50000,1.0,0.00000,1.00000
2012,No migration background,5527,1.32772,1.29247,1.36298,0.00000,1.00000,2.00000,0.0,5.00000,1.0,1.00000,1.00000
2012,Direct migration background,1194,1.45428,1.36496,1.54360,0.00000,1.00000,2.00000,0.0,5.00000,1.0,1.00000,1.00000
2012,Indirect migration background,422,1.32812,1.18278,1.47345,0.00000,1.00000,2.00000,0.0,5.00000,1.0,1.00000,1.00000
2013,No migration background,21696,1.06945,1.05393,1.08497,0.00000,1.00000,2.00000,0.0,5.00000,1.0,1.00000,1.00000
2013,Direct migration background,2855,1.18458,1.13371,1.23545,0.00000,1.00000,2.00000,0.0,5.00000,1.0,1.00000,1.00000
2013,Indirect migration background,1127,1.02961,0.96772,1.09150,0.00000,1.00000,2.00000,0.0,5.00000,1.0,1.00000,1.00000
2014,No migration background,,,,,,,,,,,,
2014,Direct migration background,,,,,,,,,,,,
2014,Indirect migration background,,,,,,,,,,,,
2015,No migration background,19021,1.06676,1.05047,1.08305,0.00000,1.00000,2.00000,0.0,5.00000,1.0,1.00000,1.00000
2015,Direct migration background,4471,1.19115,1.15177,1.23053,0.00000,1.00000,2.00000,0.0,5.00000,1.0,1.00000,1.00000
2015,Indirect migration background,1544,0.96267,0.90695,1.01840,0.00000,1.00000,1.00000,0.0,2.50000,1.0,1.00000,1.00000
2016,No migration background,,,,,,,,,,,,
2016,Direct migration background,,,,,,,,,,,,
2016,Indirect migration background,,,,,,,,,,,,
2017,No migration background,20082,1.11339,1.09735,1.12944,0.00000,1.00000,2.00000,0.0,5.00000,1.0,1.00000,1.00000
2017,Direct migration background,4739,1.29260,1.25378,1.33141,0.00000,1.00000,2.00000,0.0,5.00000,1.0,1.00000,1.00000
2017,Indirect migration background,1598,0.94083,0.88819,0.99348,0.00000,1.00000,1.00000,0.0,2.50000,1.0,1.00000,1.00000
2018,No migration background,,,,,,,,,,,,
2018,Direct migration background,,,,,,,,,,,,
2018,Indirect migration background,,,,,,,,,,,,
2019,No migration background,20119,1.07203,1.05677,1.08728,0.00000,1.00000,2.00000,0.0,5.00000,1.0,1.00000,1.00000
2019,Direct migration background,4030,1.23627,1.19666,1.27587,0.00000,1.00000,2.00000,0.0,5.00000,1.0,1.00000,1.00000
2019,Indirect migration background,1573,0.95802,0.90483,1.01122,0.00000,1.00000,1.00000,0.0,2.50000,1.0,1.00000,1.00000
2020,No migration background,,,,,,,,,,,,
2020,Direct migration background,,,,,,,,,,,,
2020,Indirect migration background,,,,,,,,,,,,
2021,No migration background,12926,1.06411,1.04555,1.08268,0.00000,1.00000,2.00000,0.0,5.00000,1.0,1.00000,1.00000
2021,Direct migration background,5105,1.18533,1.14882,1.22184,0.00000,1.00000,2.00000,0.0,5.00000,1.0,1.00000,1.00000
2021,Indirect migration background,919,0.87965,0.81613,0.94317,0.00000,1.00000,1.00000,0.0,2.50000,1.0,1.00000,1.00000
2022,No migration background,,,,,,,,,,,,
2022,Direct migration background,,,,,,,,,,,,
2022,Indirect migration background,,,,,,,,,,,,
