year,regtyp,pli0095_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1985,Urban regions,At least once per week,0.1039043039363549,1021,10903,0.10380670978665664,0.10400189808605316
1985,Urban regions,At least once per month,0.24331307019982654,2235,10903,0.2431758333767714,0.24345030702288167
1985,Urban regions,Seldom,0.44523047860900067,3746,10903,0.44507152201072436,0.445389435207277
1985,Urban regions,Never,0.2075521472548178,1559,10903,0.20742243566507487,0.20768185884456072
1985,Rural regions,At least once per week,0.08690963192551206,231,10903,0.08675228376509164,0.08706698008593247
1985,Rural regions,At least once per month,0.23554478300378284,597,10903,0.23530776376280096,0.23578180224476472
1985,Rural regions,Seldom,0.4649619363370344,1089,10903,0.46468334226304503,0.4652405304110238
1985,Rural regions,Never,0.21258364873367067,425,10903,0.21235512149251948,0.21281217597482185
1986,Urban regions,At least once per week,0.08196538984122385,748,10509,0.08187799989582939,0.08205277978661832
1986,Urban regions,At least once per month,0.21039582421542355,1930,10509,0.21026597481084514,0.21052567362000196
1986,Urban regions,Seldom,0.4773488336670646,3905,10509,0.47718970787399934,0.47750795946012986
1986,Urban regions,Never,0.2302899522762879,1686,10509,0.2301558247981331,0.2304240797544427
1986,Rural regions,At least once per week,0.07143837285790536,164,10509,0.0712937715064991,0.07158297420931162
1986,Rural regions,At least once per month,0.19766344832934202,503,10509,0.19743986332055025,0.1978870333381338
1986,Rural regions,Seldom,0.4970209751890032,1124,10509,0.49674026155636664,0.4973016888216397
1986,Rural regions,Never,0.23387720362374947,449,10509,0.2336395500511543,0.23411485719634464
1988,Urban regions,At least once per week,0.07342630823825883,704,9900,0.07334364793074581,0.07350896854577184
1988,Urban regions,At least once per month,0.20698855489112405,1734,9900,0.2068601610826146,0.2071169486996335
1988,Urban regions,Seldom,0.4762258455661249,3649,9900,0.4760675715215718,0.476384119610678
1988,Urban regions,Never,0.24335929130449216,1747,9900,0.24322330348652718,0.24349527912245714
1988,Rural regions,At least once per week,0.07193072953071589,160,9900,0.07178382672288185,0.07207763233854993
1988,Rural regions,At least once per month,0.21387220609584884,490,9900,0.2136390716648412,0.21410534052685648
