year,age_gr,pgisced97,pli0095_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,17-29 y.,Pre-primary Level,At least once per month,0.22322,46,150,0.15635,0.29008
1985,17-29 y.,Pre-primary Level,Seldom,0.56761,104,150,0.48806,0.64715
1985,17-29 y.,Primary Level,At least once per month,0.20287,39,111,0.12772,0.27803
1985,17-29 y.,Primary Level,Seldom,0.49103,72,111,0.39760,0.58445
1985,17-29 y.,Lower Secondary Level,At least once per week,0.09302,119,948,0.07452,0.11152
1985,17-29 y.,Lower Secondary Level,At least once per month,0.28427,278,948,0.25554,0.31299
1985,17-29 y.,Lower Secondary Level,Seldom,0.48236,418,948,0.45053,0.51419
1985,17-29 y.,Lower Secondary Level,Never,0.14035,133,948,0.11823,0.16247
1985,17-29 y.,Upper Secondary Level,At least once per week,0.10415,172,1417,0.08824,0.12006
1985,17-29 y.,Upper Secondary Level,At least once per month,0.33566,479,1417,0.31106,0.36025
1985,17-29 y.,Upper Secondary Level,Seldom,0.47604,639,1417,0.45003,0.50206
1985,17-29 y.,Upper Secondary Level,Never,0.08415,127,1417,0.06969,0.09861
1985,17-29 y.,Post-secondary Non-tertiary Level,At least once per month,0.37915,37,77,0.27007,0.48823
1985,17-29 y.,Post-secondary Non-tertiary Level,Seldom,0.34733,40,77,0.24028,0.45437
1985,17-29 y.,First Stage of Tertiary Education,Seldom,0.52758,61,61,0.40126,0.65391
1985,17-29 y.,Second Stage of Tertiary Education,At least once per month,0.30681,35,89,0.21045,0.40317
1985,17-29 y.,Second Stage of Tertiary Education,Seldom,0.44996,54,89,0.34602,0.55390
1985,30-45 y.,Primary Level,At least once per week,0.17833,52,317,0.13612,0.22053
1985,30-45 y.,Primary Level,At least once per month,0.25229,88,317,0.20441,0.30018
1985,30-45 y.,Primary Level,Seldom,0.34303,109,317,0.29069,0.39537
1985,30-45 y.,Primary Level,Never,0.22635,68,317,0.18021,0.27249
1985,30-45 y.,Lower Secondary Level,At least once per week,0.11295,91,674,0.08903,0.13686
1985,30-45 y.,Lower Secondary Level,At least once per month,0.25090,197,674,0.21814,0.28365
1985,30-45 y.,Lower Secondary Level,Seldom,0.49416,285,674,0.45639,0.53194
1985,30-45 y.,Lower Secondary Level,Never,0.14200,101,674,0.11562,0.16837
1985,30-45 y.,Upper Secondary Level,At least once per week,0.08253,170,1751,0.06964,0.09543
1985,30-45 y.,Upper Secondary Level,At least once per month,0.30124,519,1751,0.27975,0.32274
1985,30-45 y.,Upper Secondary Level,Seldom,0.50705,869,1751,0.48362,0.53047
1985,30-45 y.,Upper Secondary Level,Never,0.10918,193,1751,0.09456,0.12379
1985,30-45 y.,Post-secondary Non-tertiary Level,At least once per month,0.35398,31,65,0.23682,0.47114
1985,30-45 y.,Post-secondary Non-tertiary Level,Seldom,0.43120,34,65,0.30987,0.55254
