year,quintil_oecd,pli0095_h,proportion,n,proportion_lower_confidence,proportion_upper_confidence
1985,1st Quintile,Seldom,0.4148395297108357,14443,0.4068041774130995,0.42287488200857193
1985,1st Quintile,At least once per month,0.26453765490943754,14443,0.257343971240654,0.27173133857822107
1985,1st Quintile,Never,0.1892278360343184,14443,0.18283977154134212,0.19561590052729466
1985,1st Quintile,At least once per week,0.13139497934540834,14443,0.1258852797708266,0.13690467891999006
1985,2nd Quintile,Seldom,0.47473604826546,14443,0.46659196379975293,0.4828801327311671
1985,2nd Quintile,At least once per month,0.26659125188536953,14443,0.25937978928193833,0.2738027144888007
1985,2nd Quintile,Never,0.15723981900452488,14443,0.15130290665476,0.16317673135428976
1985,2nd Quintile,At least once per week,0.10143288084464555,14443,0.0965091760424171,0.106356585646874
1985,3rd Quintile,Seldom,0.5137221269296741,14443,0.5055706978206173,0.521873556038731
1985,3rd Quintile,At least once per month,0.2478559176672384,14443,0.24081421742983372,0.2548976179046431
1985,3rd Quintile,Never,0.16380789022298456,14443,0.15777191001873733,0.16984387042723179
1985,3rd Quintile,At least once per week,0.07461406518010291,14443,0.07032858822590388,0.07889954213430195
1985,4th Quintile,Seldom,0.49606299212598426,14443,0.48790874430019193,0.5042172399517766
1985,4th Quintile,Never,0.2073490813648294,14443,0.2007372859467999,0.2139608767828589
1985,4th Quintile,At least once per month,0.1942257217847769,14443,0.18777382460509426,0.20067761896445954
1985,4th Quintile,At least once per week,0.10236220472440945,14443,0.09741855437650399,0.10730585507231491
1985,5th Quintile,Seldom,0.4217687074829932,14443,0.4137146386191167,0.4298227763468697
1985,5th Quintile,Never,0.3877551020408163,14443,0.3798087333093728,0.3957014707722598
1985,5th Quintile,At least once per month,0.14965986394557823,14443,0.14384182829769554,0.15547789959346092
1985,5th Quintile,At least once per week,0.04081632653061224,14443,0.03758935441619749,0.04404329864502699
1986,1st Quintile,Seldom,0.45178382197103495,13742,0.44346288254303584,0.46010476139903406
1986,1st Quintile,At least once per month,0.23472271282232426,13742,0.22763643672838363,0.2418089889162649
1986,1st Quintile,Never,0.21299894030377958,13742,0.20615340398068902,0.21984447662687015
1986,1st Quintile,At least once per week,0.10049452490286118,13742,0.09546757907074524,0.10552147073497711
1986,2nd Quintile,Seldom,0.49246771879483503,13742,0.4841087670448978,0.5008266705447723
1986,2nd Quintile,At least once per month,0.24461979913916787,13742,0.2374325996300867,0.25180699864824907
1986,2nd Quintile,Never,0.19368723098995697,13742,0.18707978893524269,0.20029467304467125
1986,2nd Quintile,At least once per week,0.06922525107604018,13742,0.06498115051730347,0.07346935163477689
1986,3rd Quintile,Seldom,0.5456810631229236,13742,0.5373561260334866,0.5540060002123607
1986,3rd Quintile,At least once per month,0.21262458471760798,13742,0.20578344021946254,0.2194657292157534
1986,3rd Quintile,Never,0.17857142857142858,13742,0.17216786112587995,0.1849749960169772
1986,3rd Quintile,At least once per week,0.06312292358803986,13742,0.059056936845104324,0.0671889103309754
1986,4th Quintile,Seldom,0.5442764578833693,13742,0.5359493995643304,0.5526035162024082
1986,4th Quintile,Never,0.19654427645788336,13742,0.18990008292207652,0.2031884699936902
1986,4th Quintile,At least once per month,0.17494600431965443,13742,0.16859380233530896,0.1812982063039999
1986,4th Quintile,At least once per week,0.08423326133909287,13742,0.0795895486675429,0.08887697401064283
1986,5th Quintile,Seldom,0.46923076923076923,13742,0.46088671323683195,0.4775748252247065
1986,5th Quintile,Never,0.3230769230769231,13742,0.3152578777953063,0.3308959683585399
1986,5th Quintile,At least once per month,0.13076923076923078,13742,0.1251321867088105,0.13640627482965106
1986,5th Quintile,At least once per week,0.07692307692307693,13742,0.0724677623847916,0.08137839146136225
1988,1st Quintile,Seldom,0.437854339293502,12817,0.429265150682891,0.44644352790411296
1988,1st Quintile,At least once per month,0.2317924116877453,12817,0.2244868807769888,0.2390979425985018
1988,1st Quintile,Never,0.23048408198866113,12817,0.22319299715089166,0.2377751668264306
1988,1st Quintile,At least once per week,0.09986916703009158,12817,0.09467840149845336,0.1050599325617298
1988,2nd Quintile,Seldom,0.4851313969571231,12817,0.4764789135530619,0.4937838803611843
1988,2nd Quintile,At least once per month,0.2306362378976487,12817,0.22334346792737003,0.23792900786792737
1988,2nd Quintile,Never,0.19640387275242047,12817,0.1895259574997435,0.20328178800509744
1988,2nd Quintile,At least once per week,0.08782849239280774,12817,0.08292823554222578,0.0927287492433897
1988,3rd Quintile,Seldom,0.5161290322580645,12817,0.5074772255895625,0.5247808389265665
1988,3rd Quintile,At least once per month,0.21809256661991586,12817,0.21094330842456152,0.2252418248152702
1988,3rd Quintile,Never,0.2061711079943899,12817,0.19916720322704143,0.21317501276173836
1988,3rd Quintile,At least once per week,0.05960729312762973,12817,0.05550839423744368,0.06370619201781579
1988,4th Quintile,Seldom,0.5616438356164384,12817,0.5530535631977314,0.5702341080351454
1988,4th Quintile,Never,0.20034246575342465,12817,0.1934129736652597,0.2072719578415896
1988,4th Quintile,At least once per month,0.18493150684931506,12817,0.1782100194904479,0.19165299420818221
