"pli0095_h","year","bildungsniveau","regtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"Min 1x pro Woche","1985","(noch) kein Abschluss","Staedtischer Raum","144","","",""
"Min 1x pro Woche","1985","(noch) kein Abschluss","Laendlicher Raum","13","","",""
"Min 1x pro Woche","1985","Hauptschule","Staedtischer Raum","568","0.102890890731173","0.0943147752171252","0.11146700624522"
"Min 1x pro Woche","1985","Hauptschule","Laendlicher Raum","148","","",""
"Min 1x pro Woche","1985","Realschule","Staedtischer Raum","125","","",""
"Min 1x pro Woche","1985","Realschule","Laendlicher Raum","40","0.0963933090355177","0.0676146487850973","0.125171969285938"
"Min 1x pro Woche","1985","(Fach-)Abitur","Staedtischer Raum","101","","",""
"Min 1x pro Woche","1985","(Fach-)Abitur","Laendlicher Raum","15","","",""
"Min 1x pro Woche","1985","AkademikerIn","Staedtischer Raum","61","0.0918797636353744","0.0692338579764027","0.114525669294346"
"Min 1x pro Woche","1985","AkademikerIn","Laendlicher Raum","11","","",""
"Min 1x pro Monat","1985","(noch) kein Abschluss","Staedtischer Raum","256","","",""
"Min 1x pro Monat","1985","(noch) kein Abschluss","Laendlicher Raum","35","0.214018629145526","0.146560260542351","0.2814769977487"
"Min 1x pro Monat","1985","Hauptschule","Staedtischer Raum","1230","","",""
"Min 1x pro Monat","1985","Hauptschule","Laendlicher Raum","409","0.242219548157226","0.220904882421889","0.263534213892564"
"Min 1x pro Monat","1985","Realschule","Staedtischer Raum","373","0.257026747389047","0.234037269521922","0.280016225256171"
"Min 1x pro Monat","1985","Realschule","Laendlicher Raum","103","","",""
"Min 1x pro Monat","1985","(Fach-)Abitur","Staedtischer Raum","202","","",""
"Min 1x pro Monat","1985","(Fach-)Abitur","Laendlicher Raum","26","","",""
"Min 1x pro Monat","1985","AkademikerIn","Staedtischer Raum","148","","",""
"Min 1x pro Monat","1985","AkademikerIn","Laendlicher Raum","21","","",""
"Seltener","1985","(noch) kein Abschluss","Staedtischer Raum","356","0.466039401367423","0.434064573948711","0.498014228786135"
"Seltener","1985","(noch) kein Abschluss","Laendlicher Raum","56","0.390278167003138","0.310044448503733","0.470511885502544"
"Seltener","1985","Hauptschule","Staedtischer Raum","2061","","",""
"Seltener","1985","Hauptschule","Laendlicher Raum","706","0.453841484943922","0.429072187818301","0.478610782069542"
"Seltener","1985","Realschule","Staedtischer Raum","681","0.479691443400925","0.453409055071097","0.505973831730754"
"Seltener","1985","Realschule","Laendlicher Raum","205","","",""
"Seltener","1985","(Fach-)Abitur","Staedtischer Raum","276","","",""
"Seltener","1985","(Fach-)Abitur","Laendlicher Raum","48","0.434533753414278","0.341900514344597","0.52716699248396"
"Seltener","1985","AkademikerIn","Staedtischer Raum","326","0.502686690742406","0.463487976960572","0.541885404524241"
"Seltener","1985","AkademikerIn","Laendlicher Raum","67","0.564908766199048","0.475834155281805","0.653983377116291"
"Nie","1985","(noch) kein Abschluss","Staedtischer Raum","179","","",""
"Nie","1985","(noch) kein Abschluss","Laendlicher Raum","38","0.325442833530195","0.248378991794116","0.402506675266275"
"Nie","1985","Hauptschule","Staedtischer Raum","962","0.236385699324266","0.224392718161858","0.248378680486675"
"Nie","1985","Hauptschule","Laendlicher Raum","289","","",""
"Nie","1985","Realschule","Staedtischer Raum","209","","",""
"Nie","1985","Realschule","Laendlicher Raum","56","0.159933126990554","0.124190740029156","0.195675513951953"
"Nie","1985","(Fach-)Abitur","Staedtischer Raum","88","0.146341471232007","0.119518247360226","0.173164695103789"
"Nie","1985","(Fach-)Abitur","Laendlicher Raum","21","","",""
"Nie","1985","AkademikerIn","Staedtischer Raum","90","0.16124180847847","0.132410437125634","0.190073179831305"
"Nie","1985","AkademikerIn","Laendlicher Raum","20","","",""
"Min 1x pro Woche","1986","(noch) kein Abschluss","Staedtischer Raum","113","","",""
"Min 1x pro Woche","1986","(noch) kein Abschluss","Laendlicher Raum","10","","",""
"Min 1x pro Woche","1986","Hauptschule","Staedtischer Raum","419","0.085173855655309","0.0770922882443534","0.0932554230662647"
"Min 1x pro Woche","1986","Hauptschule","Laendlicher Raum","105","","",""
"Min 1x pro Woche","1986","Realschule","Staedtischer Raum","82","0.0633807096117801","0.0505024599666529","0.0762589592569073"
"Min 1x pro Woche","1986","Realschule","Laendlicher Raum","31","0.0960259838572811","0.0667476979948663","0.125304269719696"
"Min 1x pro Woche","1986","(Fach-)Abitur","Staedtischer Raum","70","0.101405286901699","0.0787000816360064","0.124110492167391"
