"pli0095_h","year","alter_gr","sex","n","percent","lower_confidence","upper_confidence"
"Min 1x pro Woche","1984","16-34 Jahre alt","maennlich","","","",""
"Min 1x pro Woche","1984","16-34 Jahre alt","weiblich","","","",""
"Min 1x pro Woche","1984","35-65 Jahre alt","maennlich","","","",""
"Min 1x pro Woche","1984","35-65 Jahre alt","weiblich","","","",""
"Min 1x pro Woche","1984","66 und älter","maennlich","","","",""
"Min 1x pro Woche","1984","66 und älter","weiblich","","","",""
"Min 1x pro Monat","1984","16-34 Jahre alt","maennlich","","","",""
"Min 1x pro Monat","1984","16-34 Jahre alt","weiblich","","","",""
"Min 1x pro Monat","1984","35-65 Jahre alt","maennlich","","","",""
"Min 1x pro Monat","1984","35-65 Jahre alt","weiblich","","","",""
"Min 1x pro Monat","1984","66 und älter","maennlich","","","",""
"Min 1x pro Monat","1984","66 und älter","weiblich","","","",""
"Seltener","1984","16-34 Jahre alt","maennlich","","","",""
"Seltener","1984","16-34 Jahre alt","weiblich","","","",""
"Seltener","1984","35-65 Jahre alt","maennlich","","","",""
"Seltener","1984","35-65 Jahre alt","weiblich","","","",""
"Seltener","1984","66 und älter","maennlich","","","",""
"Seltener","1984","66 und älter","weiblich","","","",""
"Nie","1984","16-34 Jahre alt","maennlich","","","",""
"Nie","1984","16-34 Jahre alt","weiblich","","","",""
"Nie","1984","35-65 Jahre alt","maennlich","","","",""
"Nie","1984","35-65 Jahre alt","weiblich","","","",""
"Nie","1984","66 und älter","maennlich","","","",""
"Nie","1984","66 und älter","weiblich","","","",""
"Nie, sehr selten (1984)","1984","16-34 Jahre alt","maennlich","393","0.166442855236451","0.151065862720644","0.181819847752257"
"Nie, sehr selten (1984)","1984","16-34 Jahre alt","weiblich","504","0.200744244925446","0.18448346425225","0.217005025598641"
"Nie, sehr selten (1984)","1984","35-65 Jahre alt","maennlich","800","0.254796535678381","0.23968478335118","0.269908288005582"
"Nie, sehr selten (1984)","1984","35-65 Jahre alt","weiblich","918","0.294927261055733","0.278859241307413","0.310995280804053"
"Nie, sehr selten (1984)","1984","66 und älter","maennlich","255","0.517487988461361","0.473644811181115","0.561331165741608"
"Nie, sehr selten (1984)","1984","66 und älter","weiblich","434","0.575425437413424","0.540191700518689","0.610659174308159"
"Gelegentlich (1984)","1984","16-34 Jahre alt","maennlich","1500","0.689788498350376","0.670691810140023","0.70888518656073"
"Gelegentlich (1984)","1984","16-34 Jahre alt","weiblich","1538","0.68917170077146","0.670382818369041","0.70796058317388"
"Gelegentlich (1984)","1984","35-65 Jahre alt","maennlich","1967","0.628877199984616","0.612123050808706","0.645631349160525"
"Gelegentlich (1984)","1984","35-65 Jahre alt","weiblich","1835","0.60327612691991","0.586037996041458","0.620514257798361"
"Gelegentlich (1984)","1984","66 und älter","maennlich","211","0.414712986922238","0.371485888999137","0.457940084845338"
"Gelegentlich (1984)","1984","66 und älter","weiblich","249","0.32681639840647","0.29338104813852","0.360251748674421"
"Haeufig,regelmaessig (1984)","1984","16-34 Jahre alt","maennlich","361","0.143768646413173","0.129284303752284","0.158252989074061"
"Haeufig,regelmaessig (1984)","1984","16-34 Jahre alt","weiblich","289","0.110084054303094","0.0973779137091285","0.122790194897059"
"Haeufig,regelmaessig (1984)","1984","35-65 Jahre alt","maennlich","427","0.116326264337003","0.105207270244833","0.127445258429174"
"Haeufig,regelmaessig (1984)","1984","35-65 Jahre alt","weiblich","341","0.101796612024357","0.0911418944371944","0.11245132961152"
