"pli0095_h","year","alter_gr","bula_h","n","percent","lower_confidence","upper_confidence"
"Min 1x pro Woche","1984","16-34 Jahre alt","Schleswig-Holstein","","","",""
"Min 1x pro Woche","1984","16-34 Jahre alt","Hamburg","","","",""
"Min 1x pro Woche","1984","16-34 Jahre alt","Niedersachsen","","","",""
"Min 1x pro Woche","1984","16-34 Jahre alt","Bremen","","","",""
"Min 1x pro Woche","1984","16-34 Jahre alt","Nordrhein-Westfalen","","","",""
"Min 1x pro Woche","1984","16-34 Jahre alt","Hessen","","","",""
"Min 1x pro Woche","1984","16-34 Jahre alt","Rheinland-Pfalz,Saarland","","","",""
"Min 1x pro Woche","1984","16-34 Jahre alt","Baden-Wuerttemberg","","","",""
"Min 1x pro Woche","1984","16-34 Jahre alt","Bayern","","","",""
"Min 1x pro Woche","1984","16-34 Jahre alt","Saarland","","","",""
"Min 1x pro Woche","1984","16-34 Jahre alt","Berlin","","","",""
"Min 1x pro Woche","1984","16-34 Jahre alt","Brandenburg","","","",""
"Min 1x pro Woche","1984","16-34 Jahre alt","Mecklenburg-Vorpommern","","","",""
"Min 1x pro Woche","1984","16-34 Jahre alt","Sachsen","","","",""
"Min 1x pro Woche","1984","16-34 Jahre alt","Sachsen-Anhalt","","","",""
"Min 1x pro Woche","1984","16-34 Jahre alt","Thueringen","","","",""
"Min 1x pro Woche","1984","35-65 Jahre alt","Schleswig-Holstein","","","",""
"Min 1x pro Woche","1984","35-65 Jahre alt","Hamburg","","","",""
"Min 1x pro Woche","1984","35-65 Jahre alt","Niedersachsen","","","",""
"Min 1x pro Woche","1984","35-65 Jahre alt","Bremen","","","",""
"Min 1x pro Woche","1984","35-65 Jahre alt","Nordrhein-Westfalen","","","",""
"Min 1x pro Woche","1984","35-65 Jahre alt","Hessen","","","",""
"Min 1x pro Woche","1984","35-65 Jahre alt","Rheinland-Pfalz,Saarland","","","",""
"Min 1x pro Woche","1984","35-65 Jahre alt","Baden-Wuerttemberg","","","",""
"Min 1x pro Woche","1984","35-65 Jahre alt","Bayern","","","",""
"Min 1x pro Woche","1984","35-65 Jahre alt","Saarland","","","",""
"Min 1x pro Woche","1984","35-65 Jahre alt","Berlin","","","",""
"Min 1x pro Woche","1984","35-65 Jahre alt","Brandenburg","","","",""
"Min 1x pro Woche","1984","35-65 Jahre alt","Mecklenburg-Vorpommern","","","",""
"Min 1x pro Woche","1984","35-65 Jahre alt","Sachsen","","","",""
"Min 1x pro Woche","1984","35-65 Jahre alt","Sachsen-Anhalt","","","",""
"Min 1x pro Woche","1984","35-65 Jahre alt","Thueringen","","","",""
"Min 1x pro Woche","1984","66 und älter","Schleswig-Holstein","","","",""
"Min 1x pro Woche","1984","66 und älter","Hamburg","","","",""
"Min 1x pro Woche","1984","66 und älter","Niedersachsen","","","",""
"Min 1x pro Woche","1984","66 und älter","Bremen","","","",""
"Min 1x pro Woche","1984","66 und älter","Nordrhein-Westfalen","","","",""
"Min 1x pro Woche","1984","66 und älter","Hessen","","","",""
"Min 1x pro Woche","1984","66 und älter","Rheinland-Pfalz,Saarland","","","",""
"Min 1x pro Woche","1984","66 und älter","Baden-Wuerttemberg","","","",""
"Min 1x pro Woche","1984","66 und älter","Bayern","","","",""
"Min 1x pro Woche","1984","66 und älter","Saarland","","","",""
"Min 1x pro Woche","1984","66 und älter","Berlin","","","",""
"Min 1x pro Woche","1984","66 und älter","Brandenburg","","","",""
"Min 1x pro Woche","1984","66 und älter","Mecklenburg-Vorpommern","","","",""
"Min 1x pro Woche","1984","66 und älter","Sachsen","","","",""
"Min 1x pro Woche","1984","66 und älter","Sachsen-Anhalt","","","",""
