year,pgisced97,sampreg,pli0095_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,No answer / don't know,West,Seldom,0.44030,44,44,0.29192,0.58868
1985,Pre-primary Level,West,At least once per month,0.22322,46,150,0.15635,0.29008
1985,Pre-primary Level,West,Seldom,0.56761,104,150,0.48806,0.64715
1985,Primary Level,West,At least once per week,0.14820,133,826,0.12395,0.17244
1985,Primary Level,West,At least once per month,0.23408,222,826,0.20518,0.26297
1985,Primary Level,West,Seldom,0.38629,292,826,0.35306,0.41951
1985,Primary Level,West,Never,0.23144,179,826,0.20266,0.26022
1985,Lower Secondary Level,West,At least once per week,0.10443,365,3024,0.09353,0.11533
1985,Lower Secondary Level,West,At least once per month,0.21011,744,3024,0.19559,0.22463
1985,Lower Secondary Level,West,Seldom,0.41445,1246,3024,0.39689,0.43201
1985,Lower Secondary Level,West,Never,0.27101,669,3024,0.25517,0.28686
1985,Upper Secondary Level,West,At least once per week,0.09640,554,5128,0.08833,0.10448
1985,Upper Secondary Level,West,At least once per month,0.25757,1386,5128,0.24560,0.26954
1985,Upper Secondary Level,West,Seldom,0.46162,2366,5128,0.44797,0.47527
1985,Upper Secondary Level,West,Never,0.18441,822,5128,0.17379,0.19502
1985,Post-secondary Non-tertiary Level,West,At least once per week,0.16387,45,269,0.11955,0.20818
1985,Post-secondary Non-tertiary Level,West,At least once per month,0.29693,84,269,0.24223,0.35163
1985,Post-secondary Non-tertiary Level,West,Seldom,0.39331,103,269,0.33483,0.45180
1985,Post-secondary Non-tertiary Level,West,Never,0.14589,37,269,0.10363,0.18816
1985,First Stage of Tertiary Education,West,At least once per week,0.08281,53,613,0.06097,0.10464
1985,First Stage of Tertiary Education,West,At least once per month,0.25009,157,613,0.21578,0.28440
1985,First Stage of Tertiary Education,West,Seldom,0.45123,287,613,0.41181,0.49066
1985,First Stage of Tertiary Education,West,Never,0.21587,116,613,0.18327,0.24847
1985,Second Stage of Tertiary Education,West,At least once per week,0.09283,72,744,0.07196,0.11369
1985,Second Stage of Tertiary Education,West,At least once per month,0.22811,169,744,0.19794,0.25828
1985,Second Stage of Tertiary Education,West,Seldom,0.51367,393,744,0.47773,0.54961
1985,Second Stage of Tertiary Education,West,Never,0.16540,110,744,0.13868,0.19212
1986,No answer / don't know,West,Seldom,0.43153,45,45,0.28518,0.57788
1986,Pre-primary Level,West,At least once per month,0.22661,44,142,0.15751,0.29572
1986,Pre-primary Level,West,Seldom,0.52189,98,142,0.43944,0.60435
1986,Primary Level,West,At least once per week,0.08811,98,774,0.06812,0.10809
1986,Primary Level,West,At least once per month,0.19777,186,774,0.16969,0.22585
1986,Primary Level,West,Seldom,0.39347,284,774,0.35903,0.42791
1986,Primary Level,West,Never,0.32065,206,774,0.28775,0.35355
1986,Lower Secondary Level,West,At least once per week,0.09129,264,2884,0.08077,0.10180
1986,Lower Secondary Level,West,At least once per month,0.17637,621,2884,0.16246,0.19028
1986,Lower Secondary Level,West,Seldom,0.43222,1282,2884,0.41414,0.45030
1986,Lower Secondary Level,West,Never,0.30012,717,2884,0.28339,0.31685
1986,Upper Secondary Level,West,At least once per week,0.07066,383,4964,0.06353,0.07779
1986,Upper Secondary Level,West,At least once per month,0.21704,1201,4964,0.20557,0.22851
1986,Upper Secondary Level,West,Seldom,0.51150,2522,4964,0.49759,0.52540
1986,Upper Secondary Level,West,Never,0.20080,858,4964,0.18966,0.21195
1986,Post-secondary Non-tertiary Level,West,At least once per week,0.13521,40,271,0.09442,0.17599
1986,Post-secondary Non-tertiary Level,West,At least once per month,0.28147,77,271,0.22783,0.33511
1986,Post-secondary Non-tertiary Level,West,Seldom,0.41026,110,271,0.35159,0.46894
1986,Post-secondary Non-tertiary Level,West,Never,0.17306,44,271,0.12793,0.21818
1986,First Stage of Tertiary Education,West,At least once per week,0.07694,42,573,0.05510,0.09877
1986,First Stage of Tertiary Education,West,At least once per month,0.23839,129,573,0.20347,0.27331
1986,First Stage of Tertiary Education,West,Seldom,0.48084,300,573,0.43989,0.52178
1986,First Stage of Tertiary Education,West,Never,0.20384,102,573,0.17082,0.23685
1986,Second Stage of Tertiary Education,West,At least once per week,0.07883,64,746,0.05948,0.09818
1986,Second Stage of Tertiary Education,West,At least once per month,0.19489,146,746,0.16645,0.22333
1986,Second Stage of Tertiary Education,West,Seldom,0.50719,388,746,0.47129,0.54309
