year,sampreg,sex,pli0095_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,West,male,At least once per week,0.07763,618,5358,0.07046,0.08479
1985,West,male,At least once per month,0.22214,1559,5358,0.21101,0.23327
1985,West,male,Seldom,0.37740,2361,5358,0.36442,0.39039
1985,West,male,Never,0.14063,820,5358,0.13132,0.14994
1985,West,female,At least once per week,0.08721,634,5545,0.07979,0.09464
1985,West,female,At least once per month,0.17998,1273,5545,0.16987,0.19009
1985,West,female,Seldom,0.36922,2474,5545,0.35652,0.38193
1985,West,female,Never,0.20262,1164,5545,0.19204,0.21320
1986,West,male,At least once per week,0.05660,429,5192,0.05031,0.06288
1986,West,male,At least once per month,0.19850,1371,5192,0.18765,0.20935
1986,West,male,Seldom,0.41211,2497,5192,0.39872,0.42550
1986,West,male,Never,0.15491,895,5192,0.14507,0.16476
1986,West,female,At least once per week,0.07452,483,5317,0.06746,0.08158
1986,West,female,At least once per month,0.14803,1062,5317,0.13849,0.15758
1986,West,female,Seldom,0.38980,2532,5317,0.37669,0.40291
1986,West,female,Never,0.22593,1240,5317,0.21469,0.23717
1988,West,male,At least once per week,0.05457,412,4896,0.04820,0.06093
1988,West,male,At least once per month,0.20321,1264,4896,0.19194,0.21449
1988,West,male,Seldom,0.40020,2320,4896,0.38647,0.41392
1988,West,male,Never,0.16010,900,4896,0.14983,0.17038
1988,West,female,At least once per week,0.06596,452,5004,0.05908,0.07283
1988,West,female,At least once per month,0.14420,960,5004,0.13447,0.15394
1988,West,female,Seldom,0.39783,2357,5004,0.38426,0.41139
1988,West,female,Never,0.22825,1235,5004,0.21662,0.23988
1990,East,male,At least once per week,0.14361,411,2090,0.12857,0.15865
1990,East,male,At least once per month,0.25597,711,2090,0.23725,0.27468
1990,East,male,Seldom,0.30678,857,2090,0.28701,0.32656
1990,East,male,Never,0.05406,111,2090,0.04437,0.06376
1990,East,female,At least once per week,0.12006,352,2287,0.10673,0.13338
1990,East,female,At least once per month,0.18320,562,2287,0.16735,0.19906
1990,East,female,Seldom,0.35802,1097,2287,0.33836,0.37767
1990,East,female,Never,0.12124,276,2287,0.10786,0.13462
1992,West,male,At least once per week,0.06666,433,4532,0.05940,0.07393
1992,West,male,At least once per month,0.22882,1382,4532,0.21659,0.24105
1992,West,male,Seldom,0.39220,2114,4532,0.37798,0.40641
1992,West,male,Never,0.11885,603,4532,0.10943,0.12827
1992,West,female,At least once per week,0.08310,518,4698,0.07521,0.09100
1992,West,female,At least once per month,0.19227,1196,4698,0.18100,0.20354
1992,West,female,Seldom,0.37855,2162,4698,0.36468,0.39243
1992,West,female,Never,0.16513,822,4698,0.15451,0.17575
1992,East,male,At least once per week,0.06719,153,1881,0.05588,0.07851
1992,East,male,At least once per month,0.25166,602,1881,0.23205,0.27128
1992,East,male,Seldom,0.40342,976,1881,0.38124,0.42559
1992,East,male,Never,0.07865,150,1881,0.06649,0.09082
1992,East,female,At least once per week,0.07355,171,2070,0.06230,0.08480
1992,East,female,At least once per month,0.18443,481,2070,0.16772,0.20114
1992,East,female,Seldom,0.42886,1180,2070,0.40753,0.45018
1992,East,female,Never,0.12898,238,2070,0.11454,0.14343
1994,West,male,At least once per week,0.07010,424,4394,0.06255,0.07765
1994,West,male,At least once per month,0.23380,1383,4394,0.22129,0.24632
1994,West,male,Seldom,0.40344,2107,4394,0.38893,0.41795
1994,West,male,Never,0.09743,480,4394,0.08866,0.10620
1994,West,female,At least once per week,0.07603,465,4640,0.06841,0.08366
1994,West,female,At least once per month,0.18707,1141,4640,0.17584,0.19829
1994,West,female,Seldom,0.40054,2263,4640,0.38644,0.41464
1994,West,female,Never,0.15987,771,4640,0.14932,0.17042
1994,East,male,At least once per week,0.07954,169,1786,0.06698,0.09209
1994,East,male,At least once per month,0.25868,564,1786,0.23837,0.27900
1994,East,male,Seldom,0.39603,924,1786,0.37334,0.41872
1994,East,male,Never,0.06805,129,1786,0.05636,0.07973
1994,East,female,At least once per week,0.07291,168,1969,0.06142,0.08439
1994,East,female,At least once per month,0.17403,439,1969,0.15728,0.19078
1994,East,female,Seldom,0.42651,1097,1969,0.40466,0.44836
1994,East,female,Never,0.14988,265,1969,0.13411,0.16565
1996,West,male,At least once per week,0.09055,560,4519,0.08218,0.09892
1996,West,male,At least once per month,0.25792,1513,4519,0.24517,0.27068
1996,West,male,Seldom,0.37091,2019,4519,0.35683,0.38500
1996,West,male,Never,0.08607,427,4519,0.07789,0.09425
1996,West,female,At least once per week,0.10347,608,4803,0.09485,0.11208
1996,West,female,At least once per month,0.22059,1422,4803,0.20886,0.23231
1996,West,female,Seldom,0.37046,2130,4803,0.35681,0.38412
1996,West,female,Never,0.13086,643,4803,0.12132,0.14040
