year,bula_h,regtyp,pli0095_h,proportion,n,proportion_lower_confidence,proportion_upper_confidence
1985,Schleswig-Holstein,Urban regions,Seldom,0.5783132530120482,14443,0.5702593960123935,0.5863671100117028
1985,Schleswig-Holstein,Urban regions,At least once per month,0.1746987951807229,14443,0.16850611630255438,0.18089147405889142
1985,Schleswig-Holstein,Urban regions,Never,0.1566265060240964,14443,0.15069902776805055,0.16255398428014223
1985,Schleswig-Holstein,Urban regions,At least once per week,0.09036144578313253,14443,0.08568567319174748,0.09503721837451758
1985,Schleswig-Holstein,Rural regions,Seldom,0.5243243243243243,14443,0.5161794790124311,0.5324691696362175
1985,Schleswig-Holstein,Rural regions,At least once per month,0.21081081081081082,14443,0.2041586250432412,0.21746299657838045
1985,Schleswig-Holstein,Rural regions,Never,0.16756756756756758,14443,0.16147645192767335,0.1736586832074618
1985,Schleswig-Holstein,Rural regions,At least once per week,0.0972972972972973,14443,0.09246392637018157,0.10213066822441304
1985,Hamburg,Urban regions,Seldom,0.41263940520446096,14443,0.40461033752741965,0.4206684728815023
1985,Hamburg,Urban regions,At least once per month,0.2899628252788104,14443,0.2825627000236474,0.2973629505339734
1985,Hamburg,Urban regions,Never,0.21561338289962825,14443,0.20890635195368834,0.22232041384556817
1985,Hamburg,Urban regions,At least once per week,0.08178438661710037,14443,0.07731513400369572,0.08625363923050502
1985,Hamburg,Rural regions,At least once per month,0.5,14443,0.4918454993802645,0.5081545006197354
1985,Hamburg,Rural regions,Seldom,0.3333333333333333,14443,0.32564519641946016,0.34102147024720647
1985,Hamburg,Rural regions,At least once per week,0.16666666666666666,14443,0.1605886607639024,0.1727446725694309
1985,Lower Saxony,Urban regions,Seldom,0.5170340681362725,14443,0.5088843011017048,0.5251838351708402
1985,Lower Saxony,Urban regions,At least once per month,0.23847695390781562,14443,0.23152683717281616,0.24542707064281508
1985,Lower Saxony,Urban regions,Never,0.16032064128256512,14443,0.15433681709260544,0.1663044654725248
1985,Lower Saxony,Urban regions,At least once per week,0.0841683366733467,14443,0.07964030386057606,0.08869636948611732
1985,Lower Saxony,Rural regions,Seldom,0.4965986394557823,14443,0.4884443275212003,0.5047529513903644
1985,Lower Saxony,Rural regions,At least once per month,0.23639455782312926,14443,0.22946539749414654,0.24332371815211198
1985,Lower Saxony,Rural regions,Never,0.17687074829931973,14443,0.1706478974745579,0.18309359912408155
1985,Lower Saxony,Rural regions,At least once per week,0.09013605442176871,14443,0.08546553840814433,0.09480657043539309
1985,Bremen,Urban regions,Seldom,0.45217391304347826,14443,0.4440568022861101,0.4602910238008464
1985,Bremen,Urban regions,At least once per month,0.24347826086956523,14443,0.23647874234331395,0.2504777793958165
