year,sampreg,pli0095_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,West,At least once per week,0.08264,1252,10903,0.07747,0.08781
1985,West,At least once per month,0.20009,2832,10903,0.19258,0.20760
1985,West,Seldom,0.37313,4835,10903,0.36405,0.38220
1985,West,Never,0.17305,1984,10903,0.16595,0.18016
1986,West,At least once per week,0.06596,912,10509,0.06121,0.07070
1986,West,At least once per month,0.17215,2433,10509,0.16493,0.17937
1986,West,Seldom,0.40046,5029,10509,0.39109,0.40983
1986,West,Never,0.19199,2135,10509,0.18446,0.19953
1988,West,At least once per week,0.06047,864,9900,0.05577,0.06517
1988,West,At least once per month,0.17263,2224,9900,0.16518,0.18007
1988,West,Seldom,0.39897,4677,9900,0.38932,0.40862
1988,West,Never,0.19542,2135,9900,0.18761,0.20323
1990,East,At least once per week,0.13139,763,4377,0.12138,0.14140
1990,East,At least once per month,0.21822,1273,4377,0.20599,0.23046
1990,East,Seldom,0.33336,1954,4377,0.31939,0.34733
1990,East,Never,0.08891,387,4377,0.08048,0.09734
1992,West,At least once per week,0.07511,951,9230,0.06973,0.08049
1992,West,At least once per month,0.21004,2578,9230,0.20173,0.21835
1992,West,Seldom,0.38519,4276,9230,0.37526,0.39512
1992,West,Never,0.14263,1425,9230,0.13549,0.14976
1992,East,At least once per week,0.07048,324,3951,0.06250,0.07846
1992,East,At least once per month,0.21690,1083,3951,0.20405,0.22975
1992,East,Seldom,0.41657,2156,3951,0.40120,0.43195
1992,East,Never,0.10468,388,3951,0.09513,0.11423
1994,West,At least once per week,0.07315,889,9034,0.06778,0.07852
1994,West,At least once per month,0.20981,2524,9034,0.20141,0.21821
1994,West,Seldom,0.40195,4370,9034,0.39184,0.41206
1994,West,Never,0.12949,1251,9034,0.12256,0.13641
1994,East,At least once per week,0.07615,337,3755,0.06766,0.08463
1994,East,At least once per month,0.21543,1003,3755,0.20228,0.22858
1994,East,Seldom,0.41160,2021,3755,0.39586,0.42735
1994,East,Never,0.10985,394,3755,0.09985,0.11986
1996,West,At least once per week,0.09716,1168,9322,0.09115,0.10317
1996,West,At least once per month,0.23882,2935,9322,0.23016,0.24747
1996,West,Seldom,0.37068,4149,9322,0.36088,0.38049
1996,West,Never,0.10899,1070,9322,0.10266,0.11531
1996,East,At least once per week,0.09718,411,3671,0.08760,0.10677
1996,East,At least once per month,0.26385,1221,3671,0.24959,0.27811
1996,East,Seldom,0.38942,1795,3671,0.37364,0.40520
1996,East,Never,0.07448,244,3671,0.06599,0.08298
1997,West,At least once per week,0.09119,1088,9120,0.08528,0.09710
1997,West,At least once per month,0.22570,2717,9120,0.21712,0.23428
1997,West,Seldom,0.37361,4182,9120,0.36368,0.38354
1997,West,Never,0.11985,1133,9120,0.11318,0.12652
1997,East,At least once per week,0.10181,417,3609,0.09194,0.11168
1997,East,At least once per month,0.25915,1130,3609,0.24485,0.27345
1997,East,Seldom,0.38357,1762,3609,0.36771,0.39944
1997,East,Never,0.08429,300,3609,0.07522,0.09335
1999,West,At least once per week,0.08643,1090,9832,0.08088,0.09199
1999,West,At least once per month,0.21591,2828,9832,0.20777,0.22404
1999,West,Seldom,0.39467,4675,9832,0.38501,0.40433
1999,West,Never,0.11978,1239,9832,0.11336,0.12620
1999,East,At least once per week,0.08697,364,3764,0.07797,0.09598
1999,East,At least once per month,0.24350,1164,3764,0.22979,0.25721
1999,East,Seldom,0.42842,1959,3764,0.41261,0.44423
1999,East,Never,0.08115,277,3764,0.07242,0.08987
2001,West,At least once per week,0.09801,2028,16354,0.09345,0.10257
2001,West,At least once per month,0.23491,4895,16354,0.22841,0.24141
2001,West,Seldom,0.35532,7193,16354,0.34798,0.36265
2001,West,Never,0.12563,2238,16354,0.12055,0.13071
2001,East,At least once per week,0.11585,680,5407,0.10732,0.12438
2001,East,At least once per month,0.27274,1815,5407,0.26087,0.28462
2001,East,Seldom,0.37443,2449,5407,0.36153,0.38733
2001,East,Never,0.08784,463,5407,0.08029,0.09538
2005,West,At least once per week,0.09971,1873,15570,0.09500,0.10441
2005,West,At least once per month,0.25624,4862,15570,0.24938,0.26310
2005,West,Seldom,0.36516,7056,15570,0.35759,0.37272
2005,West,Never,0.10702,1779,15570,0.10216,0.11188
2005,East,At least once per week,0.10880,556,5010,0.10018,0.11743
2005,East,At least once per month,0.27077,1614,5010,0.25846,0.28307
2005,East,Seldom,0.40266,2430,5010,0.38908,0.41625
2005,East,Never,0.08510,410,5010,0.07738,0.09283
2007,West,At least once per week,0.09928,1982,15413,0.09456,0.10400
2007,West,At least once per month,0.25408,4775,15413,0.24721,0.26095
2007,West,Seldom,0.35555,6776,15413,0.34799,0.36310
2007,West,Never,0.11101,1880,15413,0.10606,0.11597
2007,East,At least once per week,0.10357,584,4975,0.09510,0.11204
2007,East,At least once per month,0.29484,1673,4975,0.28217,0.30751
2007,East,Seldom,0.37473,2228,4975,0.36128,0.38819
2007,East,Never,0.09421,490,4975,0.08609,0.10233
2009,West,At least once per week,0.08757,1409,13390,0.08278,0.09236
2009,West,At least once per month,0.25101,4077,13390,0.24366,0.25835
