year,pli0095_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,At least once per week,0.09970,1252,10903,0.09407,0.10532
1985,At least once per month,0.24139,2832,10903,0.23335,0.24942
1985,Seldom,0.45014,4835,10903,0.44080,0.45948
1985,Never,0.20877,1984,10903,0.20114,0.21640
1986,At least once per week,0.07941,912,10509,0.07424,0.08458
1986,At least once per month,0.20727,2433,10509,0.19952,0.21502
1986,Seldom,0.48215,5029,10509,0.47260,0.49171
1986,Never,0.23116,2135,10509,0.22310,0.23922
1988,At least once per week,0.07308,864,9900,0.06795,0.07820
1988,At least once per month,0.20862,2224,9900,0.20061,0.21662
1988,Seldom,0.48214,4677,9900,0.47230,0.49199
1988,Never,0.23616,2135,9900,0.22780,0.24453
1992,At least once per week,0.09133,1275,13181,0.08641,0.09625
1992,At least once per month,0.26037,3661,13181,0.25288,0.26786
1992,Seldom,0.48220,6432,13181,0.47367,0.49074
1992,Never,0.16610,1813,13181,0.15974,0.17245
1994,At least once per week,0.09058,1226,12789,0.08561,0.09556
1994,At least once per month,0.25909,3527,12789,0.25149,0.26668
1994,Seldom,0.49608,6391,12789,0.48742,0.50475
1994,Never,0.15425,1645,12789,0.14799,0.16051
1996,At least once per week,0.11887,1579,12993,0.11330,0.12443
1996,At least once per month,0.29797,4156,12993,0.29010,0.30583
1996,Seldom,0.45783,5944,12993,0.44926,0.46639
1996,Never,0.12534,1314,12993,0.11964,0.13103
1997,At least once per week,0.11450,1505,12729,0.10897,0.12003
1997,At least once per month,0.28505,3847,12729,0.27721,0.29290
1997,Seldom,0.46138,5944,12729,0.45272,0.47004
1997,Never,0.13906,1433,12729,0.13305,0.14507
1999,At least once per week,0.10539,1454,13596,0.10022,0.11055
1999,At least once per month,0.26917,3992,13596,0.26172,0.27663
1999,Seldom,0.48828,6634,13596,0.47987,0.49668
1999,Never,0.13717,1516,13596,0.13138,0.14295
2001,At least once per week,0.12341,2708,21761,0.11904,0.12778
2001,At least once per month,0.29469,6710,21761,0.28864,0.30075
2001,Seldom,0.43724,9642,21761,0.43065,0.44383
2001,Never,0.14466,2701,21761,0.13999,0.14933
2005,At least once per week,0.12134,2429,20580,0.11688,0.12581
2005,At least once per month,0.30994,6476,20580,0.30362,0.31626
2005,Seldom,0.44530,9486,20580,0.43851,0.45209
2005,Never,0.12342,2189,20580,0.11892,0.12791
2007,At least once per week,0.12077,2566,20388,0.11630,0.12524
2007,At least once per month,0.31557,6448,20388,0.30919,0.32195
2007,Seldom,0.43333,9004,20388,0.42653,0.44013
2007,Never,0.13032,2370,20388,0.12570,0.13495
2009,At least once per week,0.10681,1905,17907,0.10229,0.11133
2009,At least once per month,0.30924,5540,17907,0.30247,0.31601
2009,Seldom,0.46166,8457,17907,0.45436,0.46896
2009,Never,0.12229,2005,17907,0.11749,0.12709
2011,At least once per week,0.12422,3772,28262,0.12037,0.12806
2011,At least once per month,0.30491,9096,28262,0.29954,0.31027
2011,Seldom,0.44983,12341,28262,0.44403,0.45563
2011,Never,0.12104,3053,28262,0.11724,0.12485
2015,At least once per week,0.11694,3525,26716,0.11309,0.12080
2015,At least once per month,0.31768,9027,26716,0.31209,0.32326
2015,Seldom,0.45993,11779,26716,0.45396,0.46591
2015,Never,0.10544,2385,26716,0.10176,0.10913
2017,At least once per week,0.13693,3839,26493,0.13279,0.14107
2017,At least once per month,0.33398,9230,26493,0.32830,0.33966
2017,Seldom,0.42337,11120,26493,0.41742,0.42932
2017,Never,0.10572,2304,26493,0.10202,0.10943
