year,pgisced97,quintil_oecd,pli0095_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Primary Level,1st Quintile,At least once per week,0.18496,61,309,0.14160,0.22833
1985,Primary Level,1st Quintile,At least once per month,0.21583,79,309,0.16989,0.26178
1985,Primary Level,1st Quintile,Seldom,0.40806,103,309,0.35317,0.46294
1985,Primary Level,1st Quintile,Never,0.19115,66,309,0.14723,0.23506
1985,Primary Level,2nd Quintile,At least once per month,0.24179,47,159,0.17503,0.30855
1985,Primary Level,2nd Quintile,Seldom,0.46340,74,159,0.38564,0.54115
1985,Primary Level,2nd Quintile,Never,0.22140,38,159,0.15666,0.28614
1985,Primary Level,3rd Quintile,At least once per month,0.19228,39,128,0.12374,0.26082
1985,Primary Level,3rd Quintile,Seldom,0.32008,50,128,0.23895,0.40122
1985,Primary Level,3rd Quintile,Never,0.30978,39,128,0.22935,0.39020
1985,Primary Level,4th Quintile,At least once per month,0.32608,39,84,0.22523,0.42693
1985,Primary Level,4th Quintile,Seldom,0.35016,45,84,0.24754,0.45279
1985,Lower Secondary Level,1st Quintile,At least once per week,0.10606,118,837,0.08519,0.12694
1985,Lower Secondary Level,1st Quintile,At least once per month,0.19533,195,837,0.16846,0.22221
1985,Lower Secondary Level,1st Quintile,Seldom,0.37391,323,837,0.34111,0.40671
1985,Lower Secondary Level,1st Quintile,Never,0.32469,201,837,0.29295,0.35644
1985,Lower Secondary Level,2nd Quintile,At least once per week,0.13107,100,708,0.10619,0.15594
1985,Lower Secondary Level,2nd Quintile,At least once per month,0.22509,185,708,0.19430,0.25587
1985,Lower Secondary Level,2nd Quintile,Seldom,0.38372,273,708,0.34787,0.41957
1985,Lower Secondary Level,2nd Quintile,Never,0.26013,150,708,0.22779,0.29246
1985,Lower Secondary Level,3rd Quintile,At least once per week,0.10114,76,657,0.07807,0.12422
1985,Lower Secondary Level,3rd Quintile,At least once per month,0.21502,164,657,0.18358,0.24646
1985,Lower Secondary Level,3rd Quintile,Seldom,0.42559,273,657,0.38775,0.46342
1985,Lower Secondary Level,3rd Quintile,Never,0.25825,144,657,0.22476,0.29175
1985,Lower Secondary Level,4th Quintile,At least once per week,0.09115,42,484,0.06548,0.11682
1985,Lower Secondary Level,4th Quintile,At least once per month,0.22332,129,484,0.18618,0.26046
1985,Lower Secondary Level,4th Quintile,Seldom,0.44064,211,484,0.39636,0.48491
1985,Lower Secondary Level,4th Quintile,Never,0.24489,102,484,0.20654,0.28324
1985,Lower Secondary Level,5th Quintile,At least once per month,0.18710,71,309,0.14354,0.23065
1985,Lower Secondary Level,5th Quintile,Seldom,0.51346,166,309,0.45764,0.56928
1985,Lower Secondary Level,5th Quintile,Never,0.22879,72,309,0.18188,0.27571
1985,Upper Secondary Level,1st Quintile,At least once per week,0.10509,112,835,0.08427,0.12590
1985,Upper Secondary Level,1st Quintile,At least once per month,0.25859,234,835,0.22887,0.28831
1985,Upper Secondary Level,1st Quintile,Seldom,0.39615,331,835,0.36296,0.42935
1985,Upper Secondary Level,1st Quintile,Never,0.24017,158,835,0.21118,0.26916
1985,Upper Secondary Level,2nd Quintile,At least once per week,0.09758,106,1009,0.07927,0.11590
1985,Upper Secondary Level,2nd Quintile,At least once per month,0.26578,289,1009,0.23851,0.29305
1985,Upper Secondary Level,2nd Quintile,Seldom,0.43523,444,1009,0.40462,0.46584
1985,Upper Secondary Level,2nd Quintile,Never,0.20141,170,1009,0.17665,0.22617
1985,Upper Secondary Level,3rd Quintile,At least once per week,0.10752,124,1051,0.08878,0.12626
1985,Upper Secondary Level,3rd Quintile,At least once per month,0.26131,285,1051,0.23473,0.28788
1985,Upper Secondary Level,3rd Quintile,Seldom,0.48046,496,1051,0.45024,0.51068
1985,Upper Secondary Level,3rd Quintile,Never,0.15071,146,1051,0.12907,0.17236
1985,Upper Secondary Level,4th Quintile,At least once per week,0.09983,126,1150,0.08250,0.11717
1985,Upper Secondary Level,4th Quintile,At least once per month,0.27621,321,1150,0.25036,0.30206
1985,Upper Secondary Level,4th Quintile,Seldom,0.46345,542,1150,0.43462,0.49228
1985,Upper Secondary Level,4th Quintile,Never,0.16051,161,1150,0.13928,0.18173
1985,Upper Secondary Level,5th Quintile,At least once per week,0.07564,86,1077,0.05984,0.09144
1985,Upper Secondary Level,5th Quintile,At least once per month,0.22672,256,1077,0.20170,0.25174
1985,Upper Secondary Level,5th Quintile,Seldom,0.51169,550,1077,0.48182,0.54156
1985,Upper Secondary Level,5th Quintile,Never,0.18594,185,1077,0.16270,0.20919
1985,First Stage of Tertiary Education,2nd Quintile,Seldom,0.38744,31,31,0.21311,0.56177
1985,First Stage of Tertiary Education,3rd Quintile,Seldom,0.45159,54,54,0.31761,0.58557
1985,First Stage of Tertiary Education,4th Quintile,At least once per month,0.31018,48,120,0.22707,0.39329
1985,First Stage of Tertiary Education,4th Quintile,Seldom,0.46996,72,120,0.38028,0.55963
1985,First Stage of Tertiary Education,5th Quintile,At least once per month,0.22418,52,195,0.16550,0.28287
1985,First Stage of Tertiary Education,5th Quintile,Seldom,0.47662,102,195,0.40633,0.54690
1985,First Stage of Tertiary Education,5th Quintile,Never,0.22274,41,195,0.16419,0.28129
1985,Second Stage of Tertiary Education,3rd Quintile,Seldom,0.53350,54,54,0.39919,0.66781
1985,Second Stage of Tertiary Education,4th Quintile,At least once per month,0.24746,43,144,0.17673,0.31819
1985,Second Stage of Tertiary Education,4th Quintile,Seldom,0.57764,101,144,0.49668,0.65860
1985,Second Stage of Tertiary Education,5th Quintile,At least once per month,0.21674,76,332,0.17235,0.26113
1985,Second Stage of Tertiary Education,5th Quintile,Seldom,0.50970,193,332,0.45585,0.56356
1985,Second Stage of Tertiary Education,5th Quintile,Never,0.19541,63,332,0.15269,0.23813
1986,Primary Level,1st Quintile,At least once per week,0.09618,36,264,0.06055,0.13182
1986,Primary Level,1st Quintile,At least once per month,0.17392,67,264,0.12811,0.21973
1986,Primary Level,1st Quintile,Seldom,0.40674,88,264,0.34737,0.46611
1986,Primary Level,1st Quintile,Never,0.32316,73,264,0.26664,0.37968
1986,Primary Level,2nd Quintile,At least once per month,0.21881,44,165,0.15554,0.28209
1986,Primary Level,2nd Quintile,Seldom,0.39464,74,165,0.31983,0.46944
1986,Primary Level,2nd Quintile,Never,0.27971,47,165,0.21102,0.34841
1986,Primary Level,3rd Quintile,Seldom,0.40139,55,92,0.30068,0.50211
1986,Primary Level,3rd Quintile,Never,0.34561,37,92,0.24790,0.44332
1986,Primary Level,4th Quintile,At least once per month,0.22655,31,118,0.15070,0.30240
1986,Primary Level,4th Quintile,Seldom,0.41449,55,118,0.32522,0.50376
1986,Primary Level,4th Quintile,Never,0.29346,32,118,0.21095,0.37597
1986,Lower Secondary Level,1st Quintile,At least once per week,0.12266,88,762,0.09935,0.14597
1986,Lower Secondary Level,1st Quintile,At least once per month,0.14942,164,762,0.12409,0.17475
1986,Lower Secondary Level,1st Quintile,Seldom,0.37730,311,762,0.34286,0.41174
