year,age_gr,bula_h,pli0095_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1985,46-65 y.,Bavaria,At least once per week,0.12255,73,9828,0.12217,0.12293
1985,46-65 y.,Bavaria,At least once per month,0.18815,109,9828,0.18770,0.18860
1985,46-65 y.,Bavaria,Seldom,0.44935,242,9828,0.44878,0.44992
1985,46-65 y.,Bavaria,Never,0.23995,131,9828,0.23946,0.24044
1985,46-65 y.,Berlin,Seldom,1.00000,45,9828,1.00000,1.00000
1985,66 and older,Lower Saxony,Never,1.00000,60,9828,1.00000,1.00000
1985,66 and older,North Rhine-Westphalia,Seldom,0.34295,70,9828,0.34221,0.34368
1985,66 and older,North Rhine-Westphalia,Never,0.65705,126,9828,0.65632,0.65779
1985,66 and older,Hesse,Never,1.00000,49,9828,1.00000,1.00000
1985,66 and older,"Rhineland-Palatinate, Saarland",Never,1.00000,37,9828,1.00000,1.00000
1985,66 and older,Baden-Wuerttemberg,Seldom,0.33992,47,9828,0.33899,0.34085
1985,66 and older,Baden-Wuerttemberg,Never,0.66008,92,9828,0.65915,0.66101
1985,66 and older,Bavaria,Seldom,0.38790,71,9828,0.38710,0.38869
1985,66 and older,Bavaria,Never,0.61210,108,9828,0.61131,0.61290
1986,17-29 y.,Schleswig-Holstein,Seldom,1.00000,50,9650,1.00000,1.00000
1986,17-29 y.,Hamburg,Seldom,1.00000,33,9650,1.00000,1.00000
1986,17-29 y.,Lower Saxony,At least once per month,0.23782,74,9650,0.23713,0.23852
1986,17-29 y.,Lower Saxony,Seldom,0.64963,187,9650,0.64885,0.65040
1986,17-29 y.,Lower Saxony,Never,0.11255,41,9650,0.11203,0.11307
1986,17-29 y.,North Rhine-Westphalia,At least once per week,0.09795,79,9650,0.09763,0.09826
1986,17-29 y.,North Rhine-Westphalia,At least once per month,0.28301,242,9650,0.28253,0.28349
1986,17-29 y.,North Rhine-Westphalia,Seldom,0.50193,404,9650,0.50140,0.50246
1986,17-29 y.,North Rhine-Westphalia,Never,0.11712,100,9650,0.11677,0.11746
1986,17-29 y.,Hesse,At least once per week,0.09287,37,9650,0.09233,0.09341
1986,17-29 y.,Hesse,At least once per month,0.30676,96,9650,0.30591,0.30762
1986,17-29 y.,Hesse,Seldom,0.46383,140,9650,0.46291,0.46476
1986,17-29 y.,Hesse,Never,0.13653,37,9650,0.13590,0.13717
1986,17-29 y.,"Rhineland-Palatinate, Saarland",At least once per month,0.27662,65,9650,0.27572,0.27752
1986,17-29 y.,"Rhineland-Palatinate, Saarland",Seldom,0.58820,122,9650,0.58721,0.58919
1986,17-29 y.,"Rhineland-Palatinate, Saarland",Never,0.13518,31,9650,0.13449,0.13586
1986,17-29 y.,Baden-Wuerttemberg,At least once per week,0.10637,71,9650,0.10595,0.10679
1986,17-29 y.,Baden-Wuerttemberg,At least once per month,0.29432,181,9650,0.29370,0.29493
1986,17-29 y.,Baden-Wuerttemberg,Seldom,0.46079,250,9650,0.46011,0.46146
1986,17-29 y.,Baden-Wuerttemberg,Never,0.13852,110,9650,0.13805,0.13899
1986,17-29 y.,Bavaria,At least once per week,0.07995,48,9650,0.07960,0.08030
1986,17-29 y.,Bavaria,At least once per month,0.32484,170,9650,0.32423,0.32544
1986,17-29 y.,Bavaria,Seldom,0.42290,192,9650,0.42226,0.42354
1986,17-29 y.,Bavaria,Never,0.17231,77,9650,0.17182,0.17279
1986,17-29 y.,Berlin,At least once per month,0.40573,31,9650,0.40383,0.40764
1986,17-29 y.,Berlin,Seldom,0.59427,40,9650,0.59236,0.59617
1986,30-45 y.,Schleswig-Holstein,Seldom,1.00000,75,9650,1.00000,1.00000
1986,30-45 y.,Hamburg,At least once per month,0.34241,34,9650,0.34073,0.34409
1986,30-45 y.,Hamburg,Seldom,0.65759,44,9650,0.65591,0.65927
1986,30-45 y.,Lower Saxony,At least once per month,0.20700,67,9650,0.20632,0.20768
