year,regtyp,sampreg,pli0095_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Urban regions,West,At least once per week,0.10343,1021,8587,0.09699,0.10987
1985,Urban regions,West,At least once per month,0.24271,2237,8587,0.23364,0.25178
1985,Urban regions,West,Seldom,0.44620,3763,8587,0.43568,0.45671
1985,Urban regions,West,Never,0.20766,1566,8587,0.19908,0.21624
1985,Rural regions,West,At least once per week,0.08812,231,2316,0.07657,0.09966
1985,Rural regions,West,At least once per month,0.23727,595,2316,0.21994,0.25460
1985,Rural regions,West,Seldom,0.46239,1072,2316,0.44208,0.48270
1985,Rural regions,West,Never,0.21222,418,2316,0.19557,0.22888
1986,Urban regions,West,At least once per week,0.08160,748,8293,0.07571,0.08750
1986,Urban regions,West,At least once per month,0.21087,1937,8293,0.20209,0.21965
1986,Urban regions,West,Seldom,0.47656,3912,8293,0.46581,0.48731
1986,Urban regions,West,Never,0.23096,1696,8293,0.22189,0.24004
1986,Rural regions,West,At least once per week,0.07246,164,2216,0.06167,0.08326
1986,Rural regions,West,At least once per month,0.19587,496,2216,0.17934,0.21240
1986,Rural regions,West,Seldom,0.49988,1117,2216,0.47905,0.52070
1986,Rural regions,West,Never,0.23179,439,2216,0.21421,0.24936
1988,Urban regions,West,At least once per week,0.07323,705,7851,0.06747,0.07900
1988,Urban regions,West,At least once per month,0.20765,1741,7851,0.19867,0.21662
1988,Urban regions,West,Seldom,0.47632,3657,7851,0.46527,0.48737
1988,Urban regions,West,Never,0.24280,1748,7851,0.23332,0.25229
1988,Rural regions,West,At least once per week,0.07256,159,2049,0.06133,0.08380
1988,Rural regions,West,At least once per month,0.21179,483,2049,0.19410,0.22949
1988,Rural regions,West,Seldom,0.50116,1020,2049,0.47950,0.52281
1988,Rural regions,West,Never,0.21449,387,2049,0.19671,0.23227
1990,No answer / don't know,East,Seldom,0.43841,38,38,0.27853,0.59829
1990,Urban regions,East,At least once per week,0.16510,244,1443,0.14594,0.18427
1990,Urban regions,East,At least once per month,0.29176,419,1443,0.26830,0.31522
1990,Urban regions,East,Seldom,0.43072,659,1443,0.40516,0.45628
1990,Urban regions,East,Never,0.11241,121,1443,0.09611,0.12871
1990,Rural regions,East,At least once per week,0.17134,500,2848,0.15750,0.18518
1990,Rural regions,East,At least once per month,0.27924,832,2848,0.26276,0.29572
1990,Rural regions,East,Seldom,0.43232,1257,2848,0.41412,0.45052
1990,Rural regions,East,Never,0.11710,259,2848,0.10529,0.12891
1992,No answer / don't know,East,Seldom,0.47642,57,57,0.34561,0.60723
1992,Urban regions,West,At least once per week,0.09420,765,7267,0.08748,0.10091
1992,Urban regions,West,At least once per month,0.25636,2038,7267,0.24632,0.26640
1992,Urban regions,West,Seldom,0.47805,3346,7267,0.46656,0.48953
1992,Urban regions,West,Never,0.17139,1118,7267,0.16273,0.18006
1992,Urban regions,East,At least once per week,0.09990,115,1311,0.08366,0.11614
1992,Urban regions,East,At least once per month,0.27401,365,1311,0.24986,0.29816
1992,Urban regions,East,Seldom,0.49212,695,1311,0.46505,0.51919
1992,Urban regions,East,Never,0.13397,136,1311,0.11553,0.15242
1992,Rural regions,West,At least once per week,0.08696,186,1950,0.07445,0.09947
1992,Rural regions,West,At least once per month,0.26481,537,1950,0.24522,0.28439
1992,Rural regions,West,Seldom,0.45862,920,1950,0.43649,0.48074
1992,Rural regions,West,Never,0.18962,307,1950,0.17222,0.20703
1992,Rural regions,East,At least once per week,0.07983,201,2535,0.06928,0.09038
1992,Rural regions,East,At least once per month,0.26328,689,2535,0.24613,0.28043
1992,Rural regions,East,Seldom,0.52985,1404,2535,0.51042,0.54929
1992,Rural regions,East,Never,0.12704,241,2535,0.11407,0.14000
1994,Urban regions,West,At least once per week,0.08889,700,7126,0.08228,0.09550
1994,Urban regions,West,At least once per month,0.25388,1943,7126,0.24378,0.26399
1994,Urban regions,West,Seldom,0.49930,3479,7126,0.48769,0.51091
1994,Urban regions,West,Never,0.15792,1004,7126,0.14946,0.16639
1994,Urban regions,East,At least once per week,0.09466,117,1301,0.07874,0.11057
