,Unnamed: 0,year,bula_h,sampreg,pli0095_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1985,Schleswig-Holstein,West,At least once per week,0.08549,33,10795,0.06878,0.09932
1,1,1985,Schleswig-Holstein,West,At least once per month,0.18395,68,10795,0.16188,0.20359
2,2,1985,Schleswig-Holstein,West,Seldom,0.5337,193,10795,0.50467,0.56038
3,3,1985,Schleswig-Holstein,West,Never,0.19685,57,10795,0.17615,0.21579
4,4,1985,Hamburg,West,At least once per month,0.25948,81,10795,0.21913,0.2998
5,5,1985,Hamburg,West,Seldom,0.49629,113,10795,0.46014,0.53285
6,6,1985,Hamburg,West,Never,0.24423,58,10795,0.21241,0.27811
7,7,1985,Lower Saxony,West,At least once per week,0.0859,95,10795,0.07737,0.09393
8,8,1985,Lower Saxony,West,At least once per month,0.23087,258,10795,0.21916,0.24389
9,9,1985,Lower Saxony,West,Seldom,0.49527,550,10795,0.48063,0.51242
10,10,1985,Lower Saxony,West,Never,0.18796,184,10795,0.17553,0.20156
11,11,1985,Bremen,West,Seldom,1.0,52,10795,0.86404,1.10995
12,12,1985,North Rhine-Westphalia,West,At least once per week,0.09959,323,10795,0.09252,0.10752
13,13,1985,North Rhine-Westphalia,West,At least once per month,0.24897,786,10795,0.23847,0.2577
14,14,1985,North Rhine-Westphalia,West,Seldom,0.45124,1328,10795,0.43902,0.46429
15,15,1985,North Rhine-Westphalia,West,Never,0.20021,496,10795,0.19051,0.20927
16,16,1985,Hesse,West,At least once per week,0.12034,162,10795,0.10512,0.13618
17,17,1985,Hesse,West,At least once per month,0.27584,320,10795,0.25681,0.2957
18,18,1985,Hesse,West,Seldom,0.41795,461,10795,0.39483,0.44038
19,19,1985,Hesse,West,Never,0.18586,173,10795,0.17085,0.20511
20,20,1985,"Rhineland-Palatinate, Saarland",West,At least once per week,0.09742,87,10795,0.08389,0.10904
21,21,1985,"Rhineland-Palatinate, Saarland",West,At least once per month,0.29016,231,10795,0.27433,0.30588
22,22,1985,"Rhineland-Palatinate, Saarland",West,Seldom,0.40573,296,10795,0.39068,0.42264
23,23,1985,"Rhineland-Palatinate, Saarland",West,Never,0.20669,141,10795,0.19317,0.21999
24,24,1985,Baden-Wuerttemberg,West,At least once per week,0.11067,283,10795,0.09721,0.12023
25,25,1985,Baden-Wuerttemberg,West,At least once per month,0.24341,512,10795,0.22947,0.25632
26,26,1985,Baden-Wuerttemberg,West,Seldom,0.44519,856,10795,0.43023,0.46105
27,27,1985,Baden-Wuerttemberg,West,Never,0.20073,377,10795,0.18689,0.21764
