"pli0095_h","year","alter_gr","sampreg","n","percent","lower_confidence","upper_confidence"
"Min 1x pro Woche","1984","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"Min 1x pro Woche","1984","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Min 1x pro Woche","1984","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"Min 1x pro Woche","1984","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Min 1x pro Woche","1984","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"Min 1x pro Woche","1984","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Min 1x pro Monat","1984","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"Min 1x pro Monat","1984","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Min 1x pro Monat","1984","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"Min 1x pro Monat","1984","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Min 1x pro Monat","1984","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"Min 1x pro Monat","1984","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Seltener","1984","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"Seltener","1984","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Seltener","1984","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"Seltener","1984","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Seltener","1984","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"Seltener","1984","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Nie","1984","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"Nie","1984","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Nie","1984","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"Nie","1984","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Nie","1984","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"Nie","1984","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Nie, sehr selten (1984)","1984","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","897","0.183545777038317","0.172340656332397","0.194750897744236"
"Nie, sehr selten (1984)","1984","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Nie, sehr selten (1984)","1984","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","1718","0.275362225695084","0.264321325326992","0.286403126063176"
"Nie, sehr selten (1984)","1984","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Nie, sehr selten (1984)","1984","66 und älter","Westdeutschland, alte Bundeslaender","689","0.554638897767178","0.52714175733108","0.582136038203276"
"Nie, sehr selten (1984)","1984","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Gelegentlich (1984)","1984","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","3038","0.689480958601829","0.676087779460983","0.702874137742675"
"Gelegentlich (1984)","1984","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Gelegentlich (1984)","1984","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","3802","0.615757483662696","0.603734856403285","0.627780110922107"
"Gelegentlich (1984)","1984","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Gelegentlich (1984)","1984","66 und älter","Westdeutschland, alte Bundeslaender","460","0.358351544585662","0.331822021365365","0.384881067805959"
"Gelegentlich (1984)","1984","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Haeufig,regelmaessig (1984)","1984","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","650","0.126973264359854","0.117336120646624","0.136610408073085"
"Haeufig,regelmaessig (1984)","1984","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Haeufig,regelmaessig (1984)","1984","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","768","0.10888029064222","0.101181287712438","0.116579293572001"
"Haeufig,regelmaessig (1984)","1984","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Haeufig,regelmaessig (1984)","1984","66 und älter","Westdeutschland, alte Bundeslaender","106","0.0870095576471597","0.0714160856735656","0.102603029620754"
"Haeufig,regelmaessig (1984)","1984","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Min 1x pro Woche","1985","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","507","0.103263018097231","0.0940025345482235","0.112523501646239"
"Min 1x pro Woche","1985","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Min 1x pro Woche","1985","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","657","0.0999558124959253","0.0921821803546892","0.107729444637161"
"Min 1x pro Woche","1985","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Min 1x pro Woche","1985","66 und älter","Westdeutschland, alte Bundeslaender","98","0.0921659253579524","0.0750642885692737","0.109267562146631"
"Min 1x pro Woche","1985","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Min 1x pro Monat","1985","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","1294","0.312538211727637","0.298432189614438","0.326644233840836"
"Min 1x pro Monat","1985","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Min 1x pro Monat","1985","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","1420","0.234953251617525","0.223965147663298","0.245941355571752"
"Min 1x pro Monat","1985","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Min 1x pro Monat","1985","66 und älter","Westdeutschland, alte Bundeslaender","134","0.120681301104326","0.101421917163823","0.139940685044829"
"Min 1x pro Monat","1985","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Seltener","1985","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","1878","0.478639122661185","0.463437076971887","0.493841168350483"
"Seltener","1985","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Seltener","1985","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","2663","0.492921283596754","0.479963983442296","0.505878583751212"
"Seltener","1985","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Seltener","1985","66 und älter","Westdeutschland, alte Bundeslaender","311","0.271865172244921","0.245560558162184","0.298169786327657"
"Seltener","1985","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Nie","1985","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","469","0.105559647513946","0.0962087483262721","0.114910546701621"
"Nie","1985","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Nie","1985","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","979","0.172169652289796","0.162385188832626","0.181954115746966"
"Nie","1985","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Nie","1985","66 und älter","Westdeutschland, alte Bundeslaender","556","0.5152876012928","0.485740413282338","0.544834789303262"
"Nie","1985","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Nie, sehr selten (1984)","1985","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"Nie, sehr selten (1984)","1985","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Nie, sehr selten (1984)","1985","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
