year,regtyp,sampreg,hlf0188,proportion,n,proportion_lower_confidence,proportion_upper_confidence
2001,Urban regions,West,Yes,0.6557014308895117,11680,0.6470844461351934,0.66431841564383
2001,Urban regions,West,No,0.3442985691104883,11680,0.33568158435617,0.35291555386480655
2001,Urban regions,East,Yes,0.6603575184016824,11680,0.6517686644860223,0.6689463723173426
2001,Urban regions,East,No,0.33964248159831756,11680,0.3310536276826574,0.3482313355139777
2001,Rural regions,West,Yes,0.5722801788375559,11680,0.5633075709228924,0.5812527867522194
2001,Rural regions,West,No,0.4277198211624441,11680,0.41874721324778064,0.4366924290771076
2001,Rural regions,East,Yes,0.5566790846194785,11680,0.5476696774904474,0.5656884917485095
2001,Rural regions,East,No,0.44332091538052154,11680,0.43431150825149045,0.45233032250955263
2003,Urban regions,West,Yes,0.6663322344847356,11804,0.6578258695806224,0.6748385993888487
2003,Urban regions,West,No,0.33366776551526445,11804,0.3251614006111513,0.3421741304193776
2003,Urban regions,East,Yes,0.6206896551724138,11804,0.6119362694121693,0.6294430409326583
2003,Urban regions,East,No,0.3793103448275862,11804,0.3705569590673416,0.3880637305878308
2003,Rural regions,West,Yes,0.5646703573225968,11804,0.5557260217218953,0.5736146929232984
2003,Rural regions,West,No,0.4353296426774031,11804,0.4263853070767015,0.44427397827810466
2003,Rural regions,East,Yes,0.5406724511930586,11804,0.5316822411491436,0.5496626612369736
2003,Rural regions,East,No,0.45932754880694143,11804,0.4503373387630265,0.46831775885085636
2005,Urban regions,West,Yes,0.635532530854792,11199,0.6266186930518465,0.6444463686577375
2005,Urban regions,West,No,0.364467469145208,11199,0.3555536313422625,0.3733813069481535
2005,Urban regions,East,Yes,0.5795090715048026,11199,0.570366362781254,0.5886517802283512
2005,Urban regions,East,No,0.4204909284951974,11199,0.41134821977164876,0.4296336372187461
2005,Rural regions,West,Yes,0.5426765015806112,11199,0.533449752379898,0.5519032507813244
2005,Rural regions,West,No,0.45732349841938885,11199,0.4480967492186756,0.4665502476201021
2005,Rural regions,East,No,0.5002865329512894,11199,0.4910259914568383,0.5095470744457407
2005,Rural regions,East,Yes,0.4997134670487106,11199,0.49045292555425946,0.5089740085431618
2007,Urban regions,West,Yes,0.6158840404650461,11453,0.6069761043838644,0.6247919765462278
2007,Urban regions,West,No,0.3841159595349539,11453,0.37520802345377224,0.3930238956161356
2007,Urban regions,East,Yes,0.5738575982996812,11453,0.5648007752266295,0.5829144213727329
2007,Urban regions,East,No,0.4261424017003188,11453,0.4170855786272672,0.4351992247733704
2007,Rural regions,West,Yes,0.5259803921568628,11453,0.5168354835068485,0.535125300806877
2007,Rural regions,West,No,0.47401960784313724,11453,0.4648746991931229,0.48316451649315156
2007,Rural regions,East,No,0.5093818984547461,11453,0.5002262316644481,0.5185375652450441
2007,Rural regions,East,Yes,0.49061810154525387,11453,0.4814624347549558,0.4997737683355519
2011,Urban regions,West,Yes,0.6228546281355435,16603,0.615482200360143,0.630227055910944
2011,Urban regions,West,No,0.3771453718644565,16603,0.36977294408905603,0.384517799639857
2011,Urban regions,East,Yes,0.6297747306562194,16603,0.6224297876244885,0.6371196736879502
2011,Urban regions,East,No,0.3702252693437806,16603,0.36288032631204975,0.3775702123755114
2011,Rural regions,West,Yes,0.5234241908006815,16603,0.5158269537155754,0.5310214278857875
2011,Rural regions,West,No,0.4765758091993186,16603,0.46897857211421257,0.4841730462844246
2011,Rural regions,East,No,0.5010729613733905,16603,0.4934673909541694,0.5086785317926117
2011,Rural regions,East,Yes,0.4989270386266094,16603,0.4913214682073883,0.5065326090458305
2013,Urban regions,West,Yes,0.6165042704198244,17870,0.6093750489579947,0.6236334918816541
2013,Urban regions,West,No,0.38349572958017564,17870,0.37636650811834593,0.39062495104200534
2013,Urban regions,East,Yes,0.6410009624639076,17870,0.6339674902185707,0.6480344347092445
2013,Urban regions,East,No,0.3589990375360924,17870,0.35196556529075557,0.36603250978142926
2013,Rural regions,West,Yes,0.5503847563209967,17870,0.5430910628553322,0.5576784497866613
2013,Rural regions,West,No,0.4496152436790033,17870,0.4423215502133388,0.4569089371446678
2013,Rural regions,East,Yes,0.5411700975081257,17870,0.5338639817702164,0.548476213246035
2013,Rural regions,East,No,0.45882990249187433,17870,0.4515237867539651,0.46613601822978357
2015,Urban regions,West,Yes,0.6327936994093196,15764,0.625268656277067,0.6403187425415723
2015,Urban regions,West,No,0.3672063005906804,15764,0.3596812574584277,0.37473134372293304
2015,Urban regions,East,Yes,0.6395348837209303,15764,0.6320396255128493,0.6470301419290112
2015,Urban regions,East,No,0.36046511627906974,15764,0.3529698580709888,0.3679603744871507
2015,Rural regions,West,Yes,0.5543150271575136,15764,0.5465558587152279,0.5620741955997992
2015,Rural regions,West,No,0.4456849728424864,15764,0.43792580440020085,0.453444141284772
2015,Rural regions,East,Yes,0.527764365041043,15764,0.5199710493720481,0.5355576807100378
2015,Rural regions,East,No,0.47223563495895704,15764,0.46444231928996216,0.4800289506279519
2016,Urban regions,West,Yes,0.6511175898931001,16419,0.643827179593789,0.6584080001924112
2016,Urban regions,West,No,0.3488824101068999,16419,0.3415919998075888,0.356172820406211
2016,Urban regions,East,Yes,0.6368515205724508,16419,0.6294954831496745,0.644207557995227
2016,Urban regions,East,No,0.3631484794275492,16419,0.3557924420047729,0.3705045168503255
2016,Rural regions,West,Yes,0.560080780881858,16419,0.5524881109110551,0.5676734508526609
2016,Rural regions,West,No,0.439919219118142,16419,0.4323265491473391,0.44751188908894496
2016,Rural regions,East,Yes,0.5441025641025641,16419,0.5364842884801033,0.5517208397250248
2016,Rural regions,East,No,0.4558974358974359,16419,0.44827916027497516,0.4635157115198967
2017,Urban regions,West,Yes,0.6174549772412429,18279,0.6104092831891038,0.6245006712933819
2017,Urban regions,West,No,0.3825450227587572,18279,0.3754993287066182,0.3895907168108962
2017,Urban regions,East,Yes,0.6198224852071006,18279,0.6127851744030567,0.6268597960111445
2017,Urban regions,East,No,0.3801775147928994,18279,0.37314020398885556,0.38721482559694326
2017,Rural regions,West,Yes,0.5534678087869577,18279,0.5462608435921169,0.5606747739817984
2017,Rural regions,West,No,0.4465321912130423,18279,0.43932522601820156,0.453739156407883
2017,Rural regions,East,Yes,0.55,18279,0.5427878050646612,0.5572121949353389
2017,Rural regions,East,No,0.45,18279,0.44278780506466114,0.4572121949353389
2018,Urban regions,West,Yes,0.5988355445261048,17878,0.5916507953185026,0.6060202937337069
2018,Urban regions,West,No,0.4011644554738952,17878,0.3939797062662931,0.40834920468149727
2018,Urban regions,East,Yes,0.615547703180212,17878,0.6084167318173136,0.6226786745431104
2018,Urban regions,East,No,0.384452296819788,17878,0.3773213254568896,0.39158326818268635
2018,Rural regions,West,Yes,0.5680044593088072,17878,0.5607431972714937,0.5752657213461206
2018,Rural regions,West,No,0.4319955406911929,17878,0.42473427865387947,0.4392568027285063
2018,Rural regions,East,Yes,0.5487701441899915,17878,0.5414757243469532,0.5560645640330297
2018,Rural regions,East,No,0.45122985581000846,17878,0.44393543596697027,0.45852427565304665
2019,Urban regions,West,Yes,0.7518296739853626,18428,0.7455930203314818,0.7580663276392434
2019,Urban regions,West,No,0.2481703260146374,18428,0.24193367236075655,0.2544069796685182
2019,Urban regions,East,Yes,0.7456692913385827,18428,0.7393816248275175,0.751956957849648
2019,Urban regions,East,No,0.2543307086614173,18428,0.2480430421503521,0.26061837517248254
2019,Rural regions,West,Yes,0.6838046272493573,18428,0.6770909456257482,0.6905183088729664
2019,Rural regions,West,No,0.3161953727506427,18428,0.30948169112703366,0.3229090543742517
2019,Rural regions,East,Yes,0.6632607729897824,18428,0.6564372920738251,0.6700842539057397
2019,Rural regions,East,No,0.3367392270102177,18428,0.3299157460942604,0.343562707926175
2021,Urban regions,West,Yes,0.6411103767349636,12568,0.6327240874512513,0.649496666018676
2021,Urban regions,West,No,0.3588896232650364,12568,0.35050333398132405,0.3672759125487487
2021,Urban regions,East,Yes,0.6861598440545809,12568,0.6780466868720849,0.6942730012370768
2021,Urban regions,East,No,0.3138401559454191,12568,0.30572699876292314,0.32195331312791503
2021,Rural regions,West,Yes,0.5844481605351171,12568,0.5758321030484788,0.5930642180217554
2021,Rural regions,West,No,0.41555183946488294,12568,0.4069357819782447,0.4241678969515212
2021,Rural regions,East,Yes,0.6065679330328396,12568,0.5980271520296583,0.615108714036021
2021,Rural regions,East,No,0.3934320669671603,12568,0.3848912859639789,0.4019728479703417
