year,regtyp,pet_dog,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,Urban regions,Yes,0.10234,431,4408,0.09340,0.11129
1996,Urban regions,No,0.89766,3977,4408,0.88871,0.90660
1996,Rural regions,Yes,0.14958,373,2223,0.13475,0.16441
1996,Rural regions,No,0.85042,1850,2223,0.83559,0.86525
2001,Urban regions,Yes,0.10237,871,7783,0.09564,0.10911
2001,Urban regions,No,0.89763,6912,7783,0.89089,0.90436
2001,Rural regions,Yes,0.16406,751,3897,0.15243,0.17569
2001,Rural regions,No,0.83594,3146,3897,0.82431,0.84757
2006,Urban regions,Yes,0.09800,918,8168,0.09156,0.10445
2006,Urban regions,No,0.90200,7250,8168,0.89555,0.90844
2006,Rural regions,Yes,0.16483,747,4097,0.15346,0.17619
2006,Rural regions,No,0.83517,3350,4097,0.82381,0.84654
2011,Urban regions,Yes,0.09994,867,7873,0.09331,0.10656
2011,Urban regions,No,0.90006,7006,7873,0.89344,0.90669
2011,Rural regions,Yes,0.15716,704,4211,0.14616,0.16815
2011,Rural regions,No,0.84284,3507,4211,0.83185,0.85384
2016,Urban regions,Yes,0.10494,1095,9377,0.09873,0.11114
2016,Urban regions,No,0.89506,8282,9377,0.88886,0.90127
2016,Rural regions,Yes,0.15566,861,4925,0.14553,0.16578
2016,Rural regions,No,0.84434,4064,4925,0.83422,0.85447
2021,Urban regions,Yes,0.11045,938,7409,0.10331,0.11759
2021,Urban regions,No,0.88955,6471,7409,0.88241,0.89669
2021,Rural regions,Yes,0.14659,673,3646,0.13510,0.15807
2021,Rural regions,No,0.85341,2973,3646,0.84193,0.86490
