year,rentown,pet_dog,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,Owner,Yes,0.18336,492,2395,0.16786,0.19886
1996,Owner,No,0.81664,1903,2395,0.80114,0.83214
1996,Tenant,Yes,0.07157,312,4236,0.06381,0.07933
1996,Tenant,No,0.92843,3924,4236,0.92067,0.93619
2001,Owner,Yes,0.17225,1019,5267,0.16205,0.18245
2001,Owner,No,0.82775,4248,5267,0.81755,0.83795
2001,Tenant,Yes,0.08378,603,6413,0.07700,0.09056
2001,Tenant,No,0.91622,5810,6413,0.90944,0.92300
2006,Owner,Yes,0.16373,1075,6003,0.15437,0.17310
2006,Owner,No,0.83627,4928,6003,0.82690,0.84563
2006,Tenant,Yes,0.08664,589,6260,0.07967,0.09361
2006,Tenant,No,0.91336,5671,6260,0.90639,0.92033
2011,Owner,Yes,0.15416,980,5944,0.14498,0.16334
2011,Owner,No,0.84584,4964,5944,0.83666,0.85502
2011,Tenant,Yes,0.08668,591,6140,0.07964,0.09372
2011,Tenant,No,0.91332,5549,6140,0.90628,0.92036
2016,Owner,Yes,0.15475,1090,6302,0.14582,0.16368
2016,Owner,No,0.84525,5212,6302,0.83632,0.85418
2016,Tenant,Yes,0.09198,866,7999,0.08564,0.09831
2016,Tenant,No,0.90802,7133,7999,0.90169,0.91436
2021,Owner,Yes,0.15402,950,5080,0.14409,0.16394
2021,Owner,No,0.84598,4130,5080,0.83606,0.85591
2021,Tenant,Yes,0.09281,659,5971,0.08545,0.10017
2021,Tenant,No,0.90719,5312,5971,0.89983,0.91455
