year,sampreg,pet_dog,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,West,Yes,0.11011,502,4793,0.10125,0.11897
1996,West,No,0.88989,4291,4793,0.88103,0.89875
1996,East,Yes,0.14488,302,1838,0.12878,0.16097
1996,East,No,0.85512,1536,1838,0.83903,0.87122
2001,West,Yes,0.11125,1076,8837,0.10469,0.11781
2001,West,No,0.88875,7761,8837,0.88219,0.89531
2001,East,Yes,0.16391,546,2843,0.15030,0.17752
2001,East,No,0.83609,2297,2843,0.82248,0.84970
2006,West,Yes,0.11150,1174,9337,0.10512,0.11789
2006,West,No,0.88850,8163,9337,0.88211,0.89488
2006,East,Yes,0.15060,491,2928,0.13764,0.16355
2006,East,No,0.84940,2437,2928,0.83645,0.86236
2011,West,Yes,0.11250,1140,9192,0.10604,0.11896
2011,West,No,0.88750,8052,9192,0.88104,0.89396
2011,East,Yes,0.14228,431,2892,0.12955,0.15501
2011,East,No,0.85772,2461,2892,0.84499,0.87045
2016,West,Yes,0.11903,1496,11228,0.11304,0.12502
2016,West,No,0.88097,9732,11228,0.87498,0.88696
2016,East,Yes,0.12990,460,3074,0.11801,0.14178
2016,East,No,0.87010,2614,3074,0.85822,0.88199
2021,West,Yes,0.12157,1258,8665,0.11469,0.12845
2021,West,No,0.87843,7407,8665,0.87155,0.88531
2021,East,Yes,0.12282,353,2391,0.10966,0.13598
2021,East,No,0.87718,2038,2391,0.86402,0.89034
