year,bula_h,quintil_oecd_hh,pet_dog,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,Schleswig-Holstein,1st Quintile,No,0.98365,32,32,0.93900,1.02829
1996,Lower Saxony,1st Quintile,No,0.88316,90,90,0.81642,0.94990
1996,Lower Saxony,2nd Quintile,No,0.86102,79,79,0.78425,0.93779
1996,Lower Saxony,3rd Quintile,No,0.84147,104,104,0.77093,0.91200
1996,Lower Saxony,4th Quintile,No,0.91792,104,104,0.86491,0.97093
1996,Lower Saxony,5th Quintile,No,0.79869,77,77,0.70854,0.88885
1996,North Rhine-Westphalia,1st Quintile,No,0.95366,271,271,0.92859,0.97874
1996,North Rhine-Westphalia,2nd Quintile,No,0.91398,249,249,0.87908,0.94887
1996,North Rhine-Westphalia,3rd Quintile,No,0.90098,205,205,0.85999,0.94197
1996,North Rhine-Westphalia,4th Quintile,No,0.90564,231,231,0.86786,0.94342
1996,North Rhine-Westphalia,5th Quintile,Yes,0.12365,31,253,0.08301,0.16430
1996,North Rhine-Westphalia,5th Quintile,No,0.87635,222,253,0.83570,0.91699
1996,Hesse,1st Quintile,No,0.92908,102,102,0.87902,0.97914
1996,Hesse,2nd Quintile,No,0.93693,71,71,0.87998,0.99388
1996,Hesse,3rd Quintile,No,0.92062,81,81,0.86138,0.97986
1996,Hesse,4th Quintile,No,0.82170,74,74,0.73389,0.90951
1996,Hesse,5th Quintile,No,0.89429,91,91,0.83076,0.95781
1996,"Rhineland-Palatinate, Saarland",1st Quintile,No,0.84455,63,63,0.75435,0.93474
1996,"Rhineland-Palatinate, Saarland",2nd Quintile,No,0.89335,55,55,0.81102,0.97568
1996,"Rhineland-Palatinate, Saarland",3rd Quintile,No,0.91808,61,61,0.84869,0.98747
1996,"Rhineland-Palatinate, Saarland",4th Quintile,No,0.84456,69,69,0.75844,0.93068
1996,"Rhineland-Palatinate, Saarland",5th Quintile,No,0.82734,51,51,0.72258,0.93211
1996,Baden-Wuerttemberg,1st Quintile,No,0.95634,150,150,0.92353,0.98915
1996,Baden-Wuerttemberg,2nd Quintile,No,0.95949,161,161,0.92894,0.99004
1996,Baden-Wuerttemberg,3rd Quintile,No,0.90220,155,155,0.85528,0.94912
1996,Baden-Wuerttemberg,4th Quintile,No,0.88613,166,166,0.83766,0.93460
1996,Baden-Wuerttemberg,5th Quintile,Yes,0.21381,33,162,0.15048,0.27715
1996,Baden-Wuerttemberg,5th Quintile,No,0.78619,129,162,0.72285,0.84952
1996,Bavaria,1st Quintile,No,0.84881,135,135,0.78815,0.90947
1996,Bavaria,2nd Quintile,No,0.88801,129,129,0.83338,0.94265
1996,Bavaria,3rd Quintile,No,0.86874,163,163,0.81674,0.92074
1996,Bavaria,4th Quintile,No,0.88304,163,163,0.83355,0.93253
1996,Bavaria,5th Quintile,No,0.89418,176,176,0.84860,0.93975
1996,Berlin,1st Quintile,No,0.88551,56,56,0.80135,0.96966
1996,Berlin,2nd Quintile,No,0.84192,45,45,0.73412,0.94972
1996,Berlin,3rd Quintile,No,0.90560,57,57,0.82901,0.98218
1996,Berlin,4th Quintile,No,0.94146,64,64,0.88349,0.99943
1996,Berlin,5th Quintile,No,0.96725,61,61,0.92222,1.01229
1996,Brandenburg,1st Quintile,No,0.87703,56,56,0.79024,0.96382
1996,Brandenburg,2nd Quintile,No,0.82527,70,70,0.73567,0.91487
1996,Brandenburg,3rd Quintile,No,0.79473,49,49,0.68046,0.90899
1996,Brandenburg,4th Quintile,No,0.65920,37,37,0.50437,0.81403
1996,Mecklenburg-Western Pomerania,1st Quintile,No,0.87870,45,45,0.78223,0.97517
1996,Mecklenburg-Western Pomerania,2nd Quintile,No,0.74666,35,35,0.60046,0.89285
1996,Mecklenburg-Western Pomerania,3rd Quintile,No,0.83849,40,40,0.72299,0.95398
1996,Saxony,1st Quintile,No,0.92561,123,123,0.87904,0.97217
1996,Saxony,2nd Quintile,No,0.88356,134,134,0.82905,0.93808
1996,Saxony,3rd Quintile,No,0.87452,116,116,0.81397,0.93506
1996,Saxony,4th Quintile,No,0.93421,75,75,0.87773,0.99070
1996,Saxony,5th Quintile,No,0.91071,38,38,0.81882,1.00259
1996,Saxony-Anhalt,1st Quintile,No,0.87898,62,62,0.79713,0.96083
1996,Saxony-Anhalt,2nd Quintile,No,0.80521,69,69,0.71108,0.89934
1996,Saxony-Anhalt,3rd Quintile,No,0.72166,61,61,0.60825,0.83507
1996,Saxony-Anhalt,4th Quintile,No,0.77542,43,43,0.64921,0.90163
1996,Thuringa,1st Quintile,No,0.79040,63,63,0.68908,0.89171
1996,Thuringa,2nd Quintile,No,0.90235,87,87,0.83961,0.96508
1996,Thuringa,3rd Quintile,No,0.81933,70,70,0.72854,0.91011
1996,Thuringa,4th Quintile,No,0.88209,37,37,0.77673,0.98744
2001,Schleswig-Holstein,1st Quintile,No,0.84302,47,47,0.73789,0.94815
2001,Schleswig-Holstein,2nd Quintile,No,0.90858,62,62,0.83625,0.98091
2001,Schleswig-Holstein,3rd Quintile,No,0.82694,55,55,0.72603,0.92784
2001,Schleswig-Holstein,4th Quintile,No,0.87120,67,67,0.79039,0.95202
2001,Schleswig-Holstein,5th Quintile,No,0.85681,77,77,0.77806,0.93556
2001,Hamburg,2nd Quintile,No,0.94059,32,32,0.85737,1.02380
2001,Hamburg,5th Quintile,No,0.96533,47,47,0.91246,1.01820
2001,Lower Saxony,1st Quintile,No,0.85935,143,143,0.80217,0.91653
2001,Lower Saxony,2nd Quintile,No,0.87054,150,150,0.81664,0.92445
2001,Lower Saxony,3rd Quintile,No,0.89004,184,184,0.84471,0.93536
2001,Lower Saxony,4th Quintile,Yes,0.18225,37,212,0.13016,0.23434
2001,Lower Saxony,4th Quintile,No,0.81775,175,212,0.76566,0.86984
2001,Lower Saxony,5th Quintile,No,0.85496,163,163,0.80073,0.90919
2001,North Rhine-Westphalia,1st Quintile,Yes,0.06790,36,462,0.04494,0.09087
2001,North Rhine-Westphalia,1st Quintile,No,0.93210,426,462,0.90913,0.95506
2001,North Rhine-Westphalia,2nd Quintile,Yes,0.11483,52,464,0.08579,0.14387
2001,North Rhine-Westphalia,2nd Quintile,No,0.88517,412,464,0.85613,0.91421
2001,North Rhine-Westphalia,3rd Quintile,Yes,0.14810,79,500,0.11694,0.17927
2001,North Rhine-Westphalia,3rd Quintile,No,0.85190,421,500,0.82073,0.88306
2001,North Rhine-Westphalia,4th Quintile,Yes,0.12563,74,515,0.09697,0.15428
2001,North Rhine-Westphalia,4th Quintile,No,0.87437,441,515,0.84572,0.90303
2001,North Rhine-Westphalia,5th Quintile,Yes,0.12142,71,543,0.09392,0.14891
2001,North Rhine-Westphalia,5th Quintile,No,0.87858,472,543,0.85109,0.90608
2001,Hesse,1st Quintile,No,0.95601,124,124,0.91977,0.99225
2001,Hesse,2nd Quintile,No,0.91110,135,135,0.86292,0.95929
2001,Hesse,3rd Quintile,No,0.88793,134,134,0.83431,0.94154
2001,Hesse,4th Quintile,No,0.89443,138,138,0.84298,0.94589
2001,Hesse,5th Quintile,No,0.87814,159,159,0.82713,0.92915
2001,"Rhineland-Palatinate, Saarland",1st Quintile,No,0.84270,116,116,0.77616,0.90925
2001,"Rhineland-Palatinate, Saarland",2nd Quintile,No,0.88058,135,135,0.82567,0.93549
2001,"Rhineland-Palatinate, Saarland",3rd Quintile,No,0.87503,117,117,0.81486,0.93521
2001,"Rhineland-Palatinate, Saarland",4th Quintile,No,0.86020,146,146,0.80375,0.91664
2001,"Rhineland-Palatinate, Saarland",5th Quintile,No,0.82926,100,100,0.75514,0.90338
2001,Baden-Wuerttemberg,1st Quintile,No,0.93861,206,206,0.90575,0.97147
2001,Baden-Wuerttemberg,2nd Quintile,Yes,0.15543,34,252,0.11061,0.20025
2001,Baden-Wuerttemberg,2nd Quintile,No,0.84457,218,252,0.79975,0.88939
2001,Baden-Wuerttemberg,3rd Quintile,No,0.92933,258,258,0.89800,0.96066
2001,Baden-Wuerttemberg,4th Quintile,No,0.91680,275,275,0.88410,0.94950
2001,Baden-Wuerttemberg,5th Quintile,Yes,0.11831,36,300,0.08170,0.15492
2001,Baden-Wuerttemberg,5th Quintile,No,0.88169,264,300,0.84508,0.91830
2001,Bavaria,1st Quintile,No,0.90204,218,218,0.86249,0.94159
2001,Bavaria,2nd Quintile,Yes,0.10917,39,310,0.07440,0.14394
2001,Bavaria,2nd Quintile,No,0.89083,271,310,0.85606,0.92560
2001,Bavaria,3rd Quintile,Yes,0.09883,38,316,0.06588,0.13179
2001,Bavaria,3rd Quintile,No,0.90117,278,316,0.86821,0.93412
2001,Bavaria,4th Quintile,Yes,0.12350,47,369,0.08989,0.15712
2001,Bavaria,4th Quintile,No,0.87650,322,369,0.84288,0.91011
2001,Bavaria,5th Quintile,Yes,0.09664,39,374,0.06665,0.12662
2001,Bavaria,5th Quintile,No,0.90336,335,374,0.87338,0.93335
2001,Berlin,1st Quintile,No,0.88417,113,113,0.82491,0.94344
2001,Berlin,2nd Quintile,No,0.92369,77,77,0.86400,0.98338
2001,Berlin,3rd Quintile,No,0.96064,81,81,0.91804,1.00325
2001,Berlin,4th Quintile,No,0.91144,92,92,0.85307,0.96981
2001,Berlin,5th Quintile,No,0.93118,79,79,0.87500,0.98736
2001,Brandenburg,1st Quintile,No,0.84226,93,93,0.76778,0.91674
2001,Brandenburg,2nd Quintile,No,0.82316,104,104,0.74947,0.89684
2001,Brandenburg,3rd Quintile,Yes,0.24170,31,119,0.16446,0.31895
2001,Brandenburg,3rd Quintile,No,0.75830,88,119,0.68105,0.83554
2001,Brandenburg,4th Quintile,No,0.72763,60,60,0.61403,0.84122
2001,Brandenburg,5th Quintile,No,0.74935,40,40,0.61333,0.88537
