,Unnamed: 0,year,sex,plh0185,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2007,male,Very seldom,0.47245,4840,20421,0.46257,0.48356
1,1,2007,male,Seldom,0.32158,3070,20421,0.31192,0.33138
2,2,2007,male,Sometimes,0.1515,1355,20421,0.142,0.15926
3,3,2007,male,Often,0.04394,364,20421,0.03989,0.04756
4,4,2007,male,Very often,0.01054,100,20421,0.0088,0.01223
5,5,2007,female,Very seldom,0.32718,3573,20421,0.31914,0.33495
6,6,2007,female,Seldom,0.30913,3394,20421,0.29982,0.31708
7,7,2007,female,Sometimes,0.24028,2519,20421,0.23217,0.24733
8,8,2007,female,Often,0.09729,954,20421,0.09165,0.10221
9,9,2007,female,Very often,0.02612,252,20421,0.02354,0.02892
10,10,2008,male,Very seldom,0.47102,4475,19237,0.45914,0.48311
11,11,2008,male,Seldom,0.33898,3116,19237,0.33042,0.35128
12,12,2008,male,Sometimes,0.13592,1151,19237,0.1291,0.14241
13,13,2008,male,Often,0.04308,336,19237,0.04009,0.04757
14,14,2008,male,Very often,0.01101,90,19237,0.0093,0.01302
15,15,2008,female,Very seldom,0.32802,3284,19237,0.31864,0.3376
16,16,2008,female,Seldom,0.33692,3563,19237,0.32728,0.34674
17,17,2008,female,Sometimes,0.22191,2175,19237,0.21412,0.22912
18,18,2008,female,Often,0.09,831,19237,0.08537,0.09588
19,19,2008,female,Very often,0.02316,216,19237,0.02068,0.02538
20,20,2009,male,Very seldom,0.46935,4224,17896,0.45601,0.48241
21,21,2009,male,Seldom,0.33756,2840,17896,0.32753,0.34819
22,22,2009,male,Sometimes,0.14492,1106,17896,0.13633,0.1535
23,23,2009,male,Often,0.03817,293,17896,0.03429,0.04213
24,24,2009,male,Very often,0.01001,79,17896,0.00755,0.01232
25,25,2009,female,Very seldom,0.31098,2937,17896,0.29993,0.31943
26,26,2009,female,Seldom,0.3389,3254,17896,0.32846,0.34972
27,27,2009,female,Sometimes,0.23598,2140,17896,0.2265,0.2468
28,28,2009,female,Often,0.09058,812,17896,0.08376,0.09671
29,29,2009,female,Very often,0.02357,211,17896,0.02057,0.02635
30,30,2010,male,Very seldom,0.44441,3752,16577,0.42753,0.46094
31,31,2010,male,Seldom,0.36432,2808,16577,0.35014,0.37621
32,32,2010,male,Sometimes,0.14104,1005,16577,0.13237,0.15098
33,33,2010,male,Often,0.04262,272,16577,0.03836,0.04697
34,34,2010,male,Very often,0.00762,58,16577,0.00563,0.00991
35,35,2010,female,Very seldom,0.29729,2695,16577,0.28539,0.30802
36,36,2010,female,Seldom,0.35311,3121,16577,0.33975,0.36504
37,37,2010,female,Sometimes,0.24246,1998,16577,0.23129,0.25389
38,38,2010,female,Often,0.08958,722,16577,0.08337,0.096
39,39,2010,female,Very often,0.01755,146,16577,0.01555,0.02027
40,40,2011,male,Very seldom,0.46055,4713,20615,0.44974,0.47068
41,41,2011,male,Seldom,0.33982,3263,20615,0.3282,0.35141
42,42,2011,male,Sometimes,0.15327,1360,20615,0.14489,0.161
43,43,2011,male,Often,0.03818,329,20615,0.03412,0.04216
44,44,2011,male,Very often,0.00818,66,20615,0.0061,0.01031
45,45,2011,female,Very seldom,0.29519,3302,20615,0.28477,0.30442
46,46,2011,female,Seldom,0.34024,3750,20615,0.32909,0.35114
47,47,2011,female,Sometimes,0.24557,2658,20615,0.23691,0.25415
48,48,2011,female,Often,0.09509,927,20615,0.0893,0.1011
49,49,2011,female,Very often,0.02391,247,20615,0.02062,0.02703
50,50,2012,male,Very seldom,0.47887,4780,20425,0.46683,0.49145
51,51,2012,male,Seldom,0.34222,3277,20425,0.33023,0.35358
52,52,2012,male,Sometimes,0.13302,1178,20425,0.12616,0.14098
53,53,2012,male,Often,0.03918,335,20425,0.03514,0.0441
54,54,2012,male,Very often,0.00671,57,20425,0.00516,0.0086
55,55,2012,female,Very seldom,0.33507,3688,20425,0.32567,0.34581
56,56,2012,female,Seldom,0.35062,3794,20425,0.34029,0.362
57,57,2012,female,Sometimes,0.21752,2299,20425,0.20963,0.2251
58,58,2012,female,Often,0.07726,818,20425,0.07271,0.08196
59,59,2012,female,Very often,0.01953,199,20425,0.01652,0.02324
60,60,2013,male,Very seldom,0.48668,5815,25587,0.4728,0.49872
61,61,2013,male,Seldom,0.34016,3968,25587,0.32974,0.35238
62,62,2013,male,Sometimes,0.12772,1314,25587,0.12025,0.1353
63,63,2013,male,Often,0.03813,396,25587,0.03444,0.04223
64,64,2013,male,Very often,0.00731,76,25587,0.00546,0.00922
65,65,2013,female,Very seldom,0.33252,4742,25587,0.32201,0.34358
66,66,2013,female,Seldom,0.34698,5091,25587,0.33535,0.35915
67,67,2013,female,Sometimes,0.21736,2817,25587,0.20933,0.22604
68,68,2013,female,Often,0.08296,1073,25587,0.07719,0.08788
69,69,2013,female,Very often,0.02018,295,25587,0.01776,0.02329
70,70,2014,male,Very seldom,0.49754,6417,26997,0.48451,0.51096
71,71,2014,male,Seldom,0.33104,4058,26997,0.3193,0.3441
72,72,2014,male,Sometimes,0.12642,1412,26997,0.11734,0.13388
73,73,2014,male,Often,0.03894,410,26997,0.03546,0.04236
74,74,2014,male,Very often,0.00606,89,26997,0.0049,0.00751
75,75,2014,female,Very seldom,0.33323,4999,26997,0.32422,0.34348
76,76,2014,female,Seldom,0.35147,5194,26997,0.34099,0.36359
77,77,2014,female,Sometimes,0.20723,2969,26997,0.19828,0.21438
78,78,2014,female,Often,0.08506,1112,26997,0.08027,0.08955
79,79,2014,female,Very often,0.02302,337,26997,0.02073,0.02567
80,80,2015,male,Very seldom,0.48908,5781,24957,0.47619,0.50304
81,81,2015,male,Seldom,0.33695,3840,24957,0.32642,0.34827
82,82,2015,male,Sometimes,0.13002,1322,24957,0.1224,0.13843
83,83,2015,male,Often,0.03744,387,24957,0.03396,0.04098
84,84,2015,male,Very often,0.00652,86,24957,0.00521,0.0081
85,85,2015,female,Very seldom,0.32795,4501,24957,0.31834,0.33825
86,86,2015,female,Seldom,0.35442,4906,24957,0.34361,0.36656
