"plh0185","year","age_gr","bildungsniveau","n","percent","lower_confidence_percent","upper_confidence_percent"
"Sehr selten","2007","17-29","(noch) kein Abschluss","172","0.491780418764256","0.440280668982287","0.543280168546224"
"Sehr selten","2007","17-29","Hauptschule","233","0.394842248736107","0.354607372467988","0.435077125004225"
"Sehr selten","2007","17-29","Realschule","364","0.37548530572146","0.344627124408345","0.406343487034575"
"Sehr selten","2007","17-29","(Fach-)Abitur","323","0.330520333194451","0.299650559162831","0.361390107226072"
"Sehr selten","2007","17-29","AkademikerIn","81","0.384619310764945","0.320622389981596","0.448616231548294"
"Sehr selten","2007","30-45","(noch) kein Abschluss","17","","",""
"Sehr selten","2007","30-45","Hauptschule","614","0.423672259535765","0.398114625472846","0.449229893598684"
"Sehr selten","2007","30-45","Realschule","811","0.400243035743344","0.378743643522226","0.421742427964462"
"Sehr selten","2007","30-45","(Fach-)Abitur","343","0.404794801710756","0.370865815145033","0.43872378827648"
"Sehr selten","2007","30-45","AkademikerIn","570","0.40790143278634","0.381944358418827","0.433858507153854"
"Sehr selten","2007","46-65","(noch) kein Abschluss","25","","",""
"Sehr selten","2007","46-65","Hauptschule","1047","0.388750288129728","0.370045372778874","0.407455203480581"
"Sehr selten","2007","46-65","Realschule","731","0.37109890406195","0.349336403481957","0.392861404641943"
"Sehr selten","2007","46-65","(Fach-)Abitur","169","0.33937322884928","0.296197072478014","0.382549385220546"
"Sehr selten","2007","46-65","AkademikerIn","863","0.410252515116879","0.388526308379733","0.431978721854026"
"Sehr selten","2007","66","(noch) kein Abschluss","","","",""
"Sehr selten","2007","66","Hauptschule","","","",""
"Sehr selten","2007","66","Realschule","","","",""
"Sehr selten","2007","66","(Fach-)Abitur","","","",""
"Sehr selten","2007","66","AkademikerIn","","","",""
"Selten","2007","17-29","(noch) kein Abschluss","110","0.303434639952322","0.256075116742761","0.350794163161882"
"Selten","2007","17-29","Hauptschule","198","0.35664263026046","0.317215122242146","0.396070138278774"
"Selten","2007","17-29","Realschule","341","0.351477953757812","0.321054119977019","0.381901787538604"
"Selten","2007","17-29","(Fach-)Abitur","278","0.335754286114052","0.304762912410515","0.366745659817589"
"Selten","2007","17-29","AkademikerIn","74","0.291819294948529","0.232019368385066","0.351619221511992"
"Selten","2007","30-45","(noch) kein Abschluss","11","","",""
"Selten","2007","30-45","Hauptschule","447","0.29800010903464","0.27434376623225","0.32165645183703"
"Selten","2007","30-45","Realschule","696","0.337486587772081","0.316737345702653","0.358235829841508"
"Selten","2007","30-45","(Fach-)Abitur","252","0.326774701237287","0.294353844012779","0.359195558461795"
"Selten","2007","30-45","AkademikerIn","492","0.356982480295551","0.331676918972862","0.38228804161824"
"Selten","2007","46-65","(noch) kein Abschluss","23","","",""
"Selten","2007","46-65","Hauptschule","780","0.293722175913679","0.276245163083179","0.311199188744178"
"Selten","2007","46-65","Realschule","604","0.325372525162884","0.304267045097039","0.346478005228728"
"Selten","2007","46-65","(Fach-)Abitur","159","0.342807093537923","0.299525978901425","0.386088208174421"
"Selten","2007","46-65","AkademikerIn","635","0.318683086696906","0.29810147759606","0.339264695797751"
"Selten","2007","66","(noch) kein Abschluss","","","",""
"Selten","2007","66","Hauptschule","","","",""
"Selten","2007","66","Realschule","","","",""
"Selten","2007","66","(Fach-)Abitur","","","",""
"Selten","2007","66","AkademikerIn","","","",""
"Manchmal","2007","17-29","(noch) kein Abschluss","60","0.168668856549112","0.130094536335516","0.207243176762707"
"Manchmal","2007","17-29","Hauptschule","103","0.196814676504988","0.164088657069986","0.22954069593999"
