year,bula_h,sampreg,plh0185,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2007,Schleswig-Holstein,West,Very seldom,0.44263,308,580,0.40218,0.48309
2007,Schleswig-Holstein,West,Seldom,0.30209,174,580,0.26469,0.33949
2007,Schleswig-Holstein,West,Sometimes,0.19568,98,580,0.16337,0.22800
2007,Hamburg,West,Very seldom,0.38508,123,271,0.32704,0.44313
2007,Hamburg,West,Seldom,0.36137,99,271,0.30407,0.41868
2007,Hamburg,West,Sometimes,0.18354,49,271,0.13736,0.22971
2007,Lower Saxony,West,Very seldom,0.41426,766,1794,0.39146,0.43706
2007,Lower Saxony,West,Seldom,0.33200,593,1794,0.31020,0.35379
2007,Lower Saxony,West,Sometimes,0.16090,310,1794,0.14389,0.17790
2007,Lower Saxony,West,Often,0.07906,125,1794,0.06657,0.09155
2007,Bremen,West,Very seldom,0.36491,59,141,0.28516,0.44465
2007,Bremen,West,Seldom,0.31700,46,141,0.23992,0.39408
2007,Bremen,West,Sometimes,0.27901,36,141,0.20472,0.35331
2007,North Rhine-Westphalia,West,Very seldom,0.43173,1850,4184,0.41672,0.44674
2007,North Rhine-Westphalia,West,Seldom,0.30940,1292,4184,0.29539,0.32341
2007,North Rhine-Westphalia,West,Sometimes,0.17074,710,4184,0.15934,0.18215
2007,North Rhine-Westphalia,West,Often,0.06902,267,4184,0.06134,0.07670
2007,North Rhine-Westphalia,West,Very often,0.01911,65,4184,0.01496,0.02326
2007,Hesse,West,Very seldom,0.39252,587,1370,0.36665,0.41839
2007,Hesse,West,Seldom,0.30479,428,1370,0.28040,0.32917
2007,Hesse,West,Sometimes,0.21010,256,1370,0.18852,0.23168
2007,Hesse,West,Often,0.07673,99,1370,0.06263,0.09083
2007,"Rhineland-Palatinate, Saarland",West,Very seldom,0.46291,553,1171,0.43434,0.49148
2007,"Rhineland-Palatinate, Saarland",West,Seldom,0.26008,312,1171,0.23495,0.28522
2007,"Rhineland-Palatinate, Saarland",West,Sometimes,0.18608,197,1171,0.16378,0.20839
2007,"Rhineland-Palatinate, Saarland",West,Often,0.06238,72,1171,0.04852,0.07623
2007,"Rhineland-Palatinate, Saarland",West,Very often,0.02854,37,1171,0.01900,0.03809
2007,Baden-Wuerttemberg,West,Very seldom,0.38044,1008,2472,0.36130,0.39958
2007,Baden-Wuerttemberg,West,Seldom,0.32362,813,2472,0.30517,0.34207
2007,Baden-Wuerttemberg,West,Sometimes,0.20863,446,2472,0.19261,0.22466
2007,Baden-Wuerttemberg,West,Often,0.06819,156,2472,0.05825,0.07812
2007,Baden-Wuerttemberg,West,Very often,0.01912,49,2472,0.01372,0.02452
2007,Bavaria,West,Very seldom,0.37109,1147,2940,0.35363,0.38856
2007,Bavaria,West,Seldom,0.31868,936,2940,0.30183,0.33552
2007,Bavaria,West,Sometimes,0.21683,615,2940,0.20194,0.23173
2007,Bavaria,West,Often,0.07710,195,2940,0.06745,0.08674
2007,Bavaria,West,Very often,0.01630,47,2940,0.01172,0.02088
2007,Berlin,West,Very seldom,0.35580,153,397,0.30864,0.40295
2007,Berlin,West,Seldom,0.31036,129,397,0.26479,0.35593
2007,Berlin,West,Sometimes,0.22047,75,397,0.17964,0.26130
2007,Berlin,West,Often,0.08934,40,397,0.06125,0.11743
2007,Berlin,East,Very seldom,0.36880,128,307,0.31474,0.42286
2007,Berlin,East,Seldom,0.29239,110,307,0.24142,0.34335
2007,Berlin,East,Sometimes,0.21874,69,307,0.17242,0.26506
2007,Brandenburg,East,Very seldom,0.37701,336,844,0.34430,0.40973
2007,Brandenburg,East,Seldom,0.33736,276,844,0.30544,0.36928
2007,Brandenburg,East,Sometimes,0.19506,177,844,0.16831,0.22181
2007,Brandenburg,East,Often,0.07692,55,844,0.05894,0.09491
2007,Mecklenburg-Western Pomerania,East,Very seldom,0.42912,221,481,0.38484,0.47340
2007,Mecklenburg-Western Pomerania,East,Seldom,0.28901,151,481,0.24846,0.32957
2007,Mecklenburg-Western Pomerania,East,Sometimes,0.23537,109,481,0.19742,0.27333
2007,Saxony,East,Very seldom,0.32464,518,1486,0.30082,0.34845
2007,Saxony,East,Seldom,0.34645,536,1486,0.32225,0.37066
2007,Saxony,East,Sometimes,0.21233,323,1486,0.19152,0.23313
2007,Saxony,East,Often,0.10099,109,1486,0.08566,0.11631
2007,Saxony-Anhalt,East,Very seldom,0.36675,318,850,0.33433,0.39917
2007,Saxony-Anhalt,East,Seldom,0.33344,287,850,0.30172,0.36515
2007,Saxony-Anhalt,East,Sometimes,0.21256,192,850,0.18504,0.24008
2007,Saxony-Anhalt,East,Often,0.06503,53,850,0.04844,0.08162
2007,Thuringa,East,Very seldom,0.38213,338,893,0.35025,0.41402
2007,Thuringa,East,Seldom,0.30855,282,893,0.27824,0.33887
2007,Thuringa,East,Sometimes,0.22070,212,893,0.19348,0.24791
2007,Thuringa,East,Often,0.07538,61,893,0.05806,0.09271
2008,Schleswig-Holstein,West,Very seldom,0.47382,275,518,0.43078,0.51687
2008,Schleswig-Holstein,West,Seldom,0.29678,154,518,0.25740,0.33616
