"plh0185","year","bildungsniveau","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"Manchmal","2007","(Fach-)Abitur","maennlich","146","","",""
"Manchmal","2007","(Fach-)Abitur","weiblich","316","0.240576049624294","0.217394373069189","0.263757726179398"
"Manchmal","2007","(noch) kein Abschluss","maennlich","30","0.140036481633177","0.0964044371343502","0.183668526132003"
"Manchmal","2007","(noch) kein Abschluss","weiblich","71","0.248450891366867","0.200348551142271","0.296553231591463"
"Manchmal","2007","AkademikerIn","maennlich","326","0.138699191710952","0.124879905929399","0.152518477492506"
"Manchmal","2007","AkademikerIn","weiblich","457","0.240459218826051","0.221620948668903","0.259297488983198"
"Manchmal","2007","Hauptschule","maennlich","511","0.157899331925271","0.145887240964411","0.169911422886131"
"Manchmal","2007","Hauptschule","weiblich","924","0.250968781468529","0.237101129595739","0.264836433341319"
"Manchmal","2007","Realschule","maennlich","306","0.144013352201387","0.129557189974795","0.158469514427979"
"Manchmal","2007","Realschule","weiblich","708","0.226791007519433","0.212090204675364","0.241491810363502"
"Oft","2007","(Fach-)Abitur","maennlich","36","0.0345612316049665","0.0234861504265127","0.0456363127834202"
"Oft","2007","(Fach-)Abitur","weiblich","149","","",""
"Oft","2007","(noch) kein Abschluss","maennlich","8","0.0358285208967556","0.0124597142992803","0.0591973274942308"
"Oft","2007","(noch) kein Abschluss","weiblich","35","0.120067935168167","0.0838848714481813","0.156250998888152"
"Oft","2007","AkademikerIn","maennlich","75","0.0465855808994196","0.038159263360265","0.0550118984385743"
"Oft","2007","AkademikerIn","weiblich","132","","",""
"Oft","2007","Hauptschule","maennlich","153","","",""
"Oft","2007","Hauptschule","weiblich","375","0.102195979947467","0.0925076080914926","0.111884351803441"
"Oft","2007","Realschule","maennlich","81","0.0406908232915925","0.0325560458391774","0.0488256007440076"
"Oft","2007","Realschule","weiblich","240","","",""
"Sehr oft","2007","(Fach-)Abitur","maennlich","12","","",""
"Sehr oft","2007","(Fach-)Abitur","weiblich","29","","",""
"Sehr oft","2007","(noch) kein Abschluss","maennlich","5","0.0136627668221635","-0.000933002676946884","0.0282585363212739"
"Sehr oft","2007","(noch) kein Abschluss","weiblich","10","","",""
"Sehr oft","2007","AkademikerIn","maennlich","20","","",""
"Sehr oft","2007","AkademikerIn","weiblich","24","","",""
"Sehr oft","2007","Hauptschule","maennlich","37","0.00918486019472073","0.00604233294602105","0.0123273874434204"
"Sehr oft","2007","Hauptschule","weiblich","104","","",""
"Sehr oft","2007","Realschule","maennlich","26","","",""
"Sehr oft","2007","Realschule","weiblich","72","0.0256468040230734","0.0200972954902372","0.0311963125559095"
"Sehr selten","2007","(Fach-)Abitur","maennlich","533","0.467079462989175","0.436830077230656","0.497328848747694"
"Sehr selten","2007","(Fach-)Abitur","weiblich","398","0.296154828754125","0.271393469607522","0.320916187900727"
"Sehr selten","2007","(noch) kein Abschluss","maennlich","137","","",""
"Sehr selten","2007","(noch) kein Abschluss","weiblich","99","0.309337841526672","0.257884142680633","0.36079154037271"
"Sehr selten","2007","AkademikerIn","maennlich","1209","","",""
"Sehr selten","2007","AkademikerIn","weiblich","712","0.358536799351156","0.337397163670682","0.37967643503163"
"Sehr selten","2007","Hauptschule","maennlich","1750","","",""
"Sehr selten","2007","Hauptschule","weiblich","1232","","",""
"Sehr selten","2007","Realschule","maennlich","1092","","",""
"Sehr selten","2007","Realschule","weiblich","1064","","",""
"Selten","2007","(Fach-)Abitur","maennlich","318","0.323890144374267","0.295517654761725","0.352262633986809"
"Selten","2007","(Fach-)Abitur","weiblich","414","0.322141345258558","0.29679768668288","0.347485003834235"
"Selten","2007","(noch) kein Abschluss","maennlich","63","0.261790078363619","0.20651727592536","0.317062880801879"
"Selten","2007","(noch) kein Abschluss","weiblich","95","0.27733488734206","0.227499476689948","0.327170297994172"
"Selten","2007","AkademikerIn","maennlich","773","0.333664791266203","0.314812125098227","0.352517457434179"
"Selten","2007","AkademikerIn","weiblich","652","0.308444704555987","0.288086153229097","0.328803255882876"
"Selten","2007","Hauptschule","maennlich","1089","","",""
"Selten","2007","Hauptschule","weiblich","1120","","",""
"Selten","2007","Realschule","maennlich","761","0.339378328561595","0.319882728828805","0.358873928294386"
"Selten","2007","Realschule","weiblich","1033","","",""
"Manchmal","2008","(Fach-)Abitur","maennlich","120","","",""
"Manchmal","2008","(Fach-)Abitur","weiblich","261","","",""
"Manchmal","2008","(noch) kein Abschluss","maennlich","17","","",""
"Manchmal","2008","(noch) kein Abschluss","weiblich","54","0.224336608733385","0.176490856404394","0.272182361062375"
"Manchmal","2008","AkademikerIn","maennlich","264","","",""
"Manchmal","2008","AkademikerIn","weiblich","367","0.220092761494887","0.201424155912381","0.238761367077393"
"Manchmal","2008","Hauptschule","maennlich","467","0.147265022476057","0.135135764717783","0.159394280234331"
"Manchmal","2008","Hauptschule","weiblich","851","0.241639568842578","0.227463693653201","0.255815444031955"
"Manchmal","2008","Realschule","maennlich","252","","",""
"Manchmal","2008","Realschule","weiblich","604","0.204084499616413","0.189528436393075","0.218640562839752"
"Oft","2008","(Fach-)Abitur","maennlich","41","0.0487448983169534","0.0351375457077225","0.0623522509261844"
"Oft","2008","(Fach-)Abitur","weiblich","101","","",""
"Oft","2008","(noch) kein Abschluss","maennlich","4","0.0189975793119714","0.0021089111334356","0.0358862474905072"
"Oft","2008","(noch) kein Abschluss","weiblich","26","","",""
"Oft","2008","AkademikerIn","maennlich","70","0.0342041191703746","0.0267583927551632","0.0416498455855859"
"Oft","2008","AkademikerIn","weiblich","118","","",""
"Oft","2008","Hauptschule","maennlich","139","","",""
"Oft","2008","Hauptschule","weiblich","352","0.104077508836377","0.0939654011412852","0.114189616531468"
"Oft","2008","Realschule","maennlich","76","0.0440828960761537","0.0354058073881175","0.05275998476419"
"Oft","2008","Realschule","weiblich","218","","",""
"Sehr oft","2008","(Fach-)Abitur","maennlich","7","0.00945294786543061","0.003338155125396","0.0155677406054652"
"Sehr oft","2008","(Fach-)Abitur","weiblich","28","","",""
"Sehr oft","2008","(noch) kein Abschluss","maennlich","3","","",""
"Sehr oft","2008","(noch) kein Abschluss","weiblich","11","","",""
"Sehr oft","2008","AkademikerIn","maennlich","13","","",""
"Sehr oft","2008","AkademikerIn","weiblich","28","","",""
"Sehr oft","2008","Hauptschule","maennlich","39","0.0122426878620119","0.00847876341034279","0.0160066123136809"
"Sehr oft","2008","Hauptschule","weiblich","85","0.0250945453844705","0.0199149129862618","0.0302741777826791"
"Sehr oft","2008","Realschule","maennlich","26","","",""
"Sehr oft","2008","Realschule","weiblich","56","0.0248421696210174","0.0192208580295211","0.0304634812125137"
"Sehr selten","2008","(Fach-)Abitur","maennlich","477","0.452432671895651","0.420980090259935","0.483885253531366"
"Sehr selten","2008","(Fach-)Abitur","weiblich","383","0.329400853687434","0.302842011666482","0.355959695708385"
"Sehr selten","2008","(noch) kein Abschluss","maennlich","149","","",""
"Sehr selten","2008","(noch) kein Abschluss","weiblich","89","0.276934165949047","0.225608587197965","0.328259744700129"
"Sehr selten","2008","AkademikerIn","maennlich","1163","","",""
"Sehr selten","2008","AkademikerIn","weiblich","685","0.365637267373288","0.343936175635117","0.38733835911146"
"Sehr selten","2008","Hauptschule","maennlich","1555","","",""
"Sehr selten","2008","Hauptschule","weiblich","1084","","",""
"Sehr selten","2008","Realschule","maennlich","1004","","",""
"Sehr selten","2008","Realschule","weiblich","960","0.327740296004368","0.310787595006957","0.34469299700178"
"Selten","2008","(Fach-)Abitur","maennlich","317","0.333106464042987","0.303322648114762","0.362890279971211"
"Selten","2008","(Fach-)Abitur","weiblich","430","0.342762518653971","0.315941633816268","0.369583403491673"
"Selten","2008","(noch) kein Abschluss","maennlich","78","0.267614371548532","0.212845240161731","0.322383502935332"
"Selten","2008","(noch) kein Abschluss","weiblich","112","","",""
"Selten","2008","AkademikerIn","maennlich","779","0.345101234684098","0.325625872767197","0.364576596600998"
"Selten","2008","AkademikerIn","weiblich","694","0.338830271936554","0.317503009765819","0.36015753410729"
"Selten","2008","Hauptschule","maennlich","1079","","",""
"Selten","2008","Hauptschule","weiblich","1131","","",""
"Selten","2008","Realschule","maennlich","792","0.372952145157796","0.352510974736358","0.393393315579233"
"Selten","2008","Realschule","weiblich","1107","","",""
"Manchmal","2009","(Fach-)Abitur","maennlich","140","","",""
