,Unnamed: 0,year,bula_h,pgisced97,plh0185,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2007,Schleswig-Holstein,Upper Secondary Level,Very seldom,0.49354,171,17288,0.43744,0.5547
1,1,2007,Schleswig-Holstein,Upper Secondary Level,Seldom,0.31845,102,17288,0.27368,0.35793
2,2,2007,Schleswig-Holstein,Upper Secondary Level,Sometimes,0.18802,47,17288,0.14976,0.2224
3,3,2007,Schleswig-Holstein,Second Stage of Tertiary Education,Very seldom,1.0,58,17288,0.75686,1.21536
4,4,2007,Hamburg,Upper Secondary Level,Very seldom,0.51784,55,17288,0.42266,0.61261
5,5,2007,Hamburg,Upper Secondary Level,Seldom,0.48216,38,17288,0.38676,0.59051
6,6,2007,Hamburg,Second Stage of Tertiary Education,Very seldom,1.0,31,17288,0.62749,1.45054
7,7,2007,Lower Saxony,Lower Secondary Level,Very seldom,0.43126,84,17288,0.34266,0.50773
8,8,2007,Lower Saxony,Lower Secondary Level,Seldom,0.38605,73,17288,0.33521,0.4413
9,9,2007,Lower Saxony,Lower Secondary Level,Sometimes,0.1827,43,17288,0.14485,0.22081
10,10,2007,Lower Saxony,Upper Secondary Level,Very seldom,0.40547,394,17288,0.37491,0.43744
11,11,2007,Lower Saxony,Upper Secondary Level,Seldom,0.34168,314,17288,0.31907,0.36991
12,12,2007,Lower Saxony,Upper Secondary Level,Sometimes,0.16528,166,17288,0.14737,0.18813
13,13,2007,Lower Saxony,Upper Secondary Level,Often,0.08757,78,17288,0.07552,0.10042
14,14,2007,Lower Saxony,Post-secondary Non-tertiary Level,Very seldom,0.5977,50,17288,0.47901,0.70964
15,15,2007,Lower Saxony,Post-secondary Non-tertiary Level,Seldom,0.4023,42,17288,0.29815,0.50829
16,16,2007,Lower Saxony,First Stage of Tertiary Education,Very seldom,0.51527,52,17288,0.43176,0.61767
17,17,2007,Lower Saxony,First Stage of Tertiary Education,Seldom,0.48473,40,17288,0.36323,0.61784
18,18,2007,Lower Saxony,Second Stage of Tertiary Education,Very seldom,0.53788,151,17288,0.46403,0.6176
19,19,2007,Lower Saxony,Second Stage of Tertiary Education,Seldom,0.31243,97,17288,0.26064,0.37559
20,20,2007,Lower Saxony,Second Stage of Tertiary Education,Sometimes,0.14969,52,17288,0.11706,0.18793
21,21,2007,North Rhine-Westphalia,Pre-primary Level,Very seldom,1.0,35,17288,0.72348,1.3534
22,22,2007,North Rhine-Westphalia,Lower Secondary Level,Very seldom,0.42185,209,17288,0.38953,0.45566
23,23,2007,North Rhine-Westphalia,Lower Secondary Level,Seldom,0.30717,158,17288,0.27034,0.33617
24,24,2007,North Rhine-Westphalia,Lower Secondary Level,Sometimes,0.17282,81,17288,0.15098,0.19676
25,25,2007,North Rhine-Westphalia,Lower Secondary Level,Often,0.09816,46,17288,0.07931,0.11777
