year,plh0185,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2007,Very seldom,0.39775,8413,20421,0.39104,0.40446
2007,Seldom,0.31519,6464,20421,0.30882,0.32157
2007,Sometimes,0.19714,3874,20421,0.19168,0.20259
2007,Often,0.07138,1318,20421,0.06785,0.07491
2007,Very often,0.01854,352,20421,0.01669,0.02039
2008,Very seldom,0.39749,7759,19237,0.39058,0.40441
2008,Seldom,0.33792,6679,19237,0.33124,0.34461
2008,Sometimes,0.18011,3326,19237,0.17468,0.18554
2008,Often,0.06722,1167,19237,0.06368,0.07076
2008,Very often,0.01725,306,19237,0.01541,0.01909
2009,Very seldom,0.38819,7161,17896,0.38105,0.39533
2009,Seldom,0.33826,6094,17896,0.33133,0.34519
2009,Sometimes,0.19157,3246,17896,0.18581,0.19734
2009,Often,0.06503,1105,17896,0.06142,0.06864
2009,Very often,0.01695,290,17896,0.01506,0.01884
2010,Very seldom,0.36984,6447,16577,0.36249,0.37719
2010,Seldom,0.35849,5929,16577,0.35119,0.36579
2010,Sometimes,0.19259,3003,16577,0.18659,0.19860
2010,Often,0.06643,994,16577,0.06264,0.07022
2010,Very often,0.01265,204,16577,0.01095,0.01435
2011,Very seldom,0.37623,8015,20615,0.36962,0.38285
2011,Seldom,0.34010,7013,20615,0.33363,0.34656
2011,Sometimes,0.20025,4018,20615,0.19478,0.20571
2011,Often,0.06723,1256,20615,0.06381,0.07065
2011,Very often,0.01620,313,20615,0.01447,0.01792
2012,Very seldom,0.40555,8468,20425,0.39882,0.41229
2012,Seldom,0.34667,7071,20425,0.34014,0.35320
2012,Sometimes,0.17595,3477,20425,0.17073,0.18117
2012,Often,0.05858,1153,20425,0.05536,0.06180
2012,Very often,0.01325,256,20425,0.01168,0.01481
2013,Very seldom,0.40659,10557,25587,0.40057,0.41261
2013,Seldom,0.34392,9059,25587,0.33810,0.34974
2013,Sometimes,0.17425,4131,25587,0.16960,0.17889
2013,Often,0.06142,1469,25587,0.05848,0.06437
2013,Very often,0.01382,371,25587,0.01239,0.01525
2014,Very seldom,0.41324,11416,26997,0.40737,0.41912
2014,Seldom,0.34173,9252,26997,0.33608,0.34739
2014,Sometimes,0.16776,4381,26997,0.16331,0.17222
2014,Often,0.06250,1522,26997,0.05961,0.06539
2014,Very often,0.01476,426,26997,0.01332,0.01620
2015,Very seldom,0.40661,10282,24957,0.40052,0.41271
2015,Seldom,0.34586,8746,24957,0.33995,0.35176
2015,Sometimes,0.17430,4124,24957,0.16959,0.17901
2015,Often,0.05876,1422,24957,0.05584,0.06168
2015,Very often,0.01447,383,24957,0.01299,0.01595
2016,Very seldom,0.38098,9413,24094,0.37485,0.38712
2016,Seldom,0.35185,8519,24094,0.34582,0.35788
2016,Sometimes,0.18180,4233,24094,0.17693,0.18667
2016,Often,0.07025,1554,24094,0.06703,0.07348
2016,Very often,0.01511,375,24094,0.01357,0.01666
2017,Very seldom,0.39423,10748,26374,0.38833,0.40012
2017,Seldom,0.35461,9336,26374,0.34884,0.36038
2017,Sometimes,0.17402,4376,26374,0.16945,0.17860
2017,Often,0.06341,1513,26374,0.06047,0.06635
2017,Very often,0.01373,401,26374,0.01232,0.01513
2018,Very seldom,0.40847,10770,25524,0.40244,0.41450
2018,Seldom,0.35085,8804,25524,0.34499,0.35670
2018,Sometimes,0.16848,4162,25524,0.16388,0.17307
2018,Often,0.05602,1396,25524,0.05320,0.05884
2018,Very often,0.01618,392,25524,0.01463,0.01773
2019,Very seldom,0.41489,11209,25672,0.40887,0.42092
2019,Seldom,0.35295,8782,25672,0.34710,0.35879
2019,Sometimes,0.16138,3950,25672,0.15688,0.16588
2019,Often,0.05484,1370,25672,0.05206,0.05763
2019,Very often,0.01593,361,25672,0.01440,0.01747
2020,Very seldom,0.35622,9266,25616,0.35035,0.36208
2020,Seldom,0.34335,8651,25616,0.33754,0.34917
2020,Sometimes,0.20376,5114,25616,0.19882,0.20869
2020,Often,0.07709,2075,25616,0.07382,0.08036
2020,Very often,0.01959,510,25616,0.01789,0.02128
2021,Very seldom,0.39885,7137,17173,0.39153,0.40618
2021,Seldom,0.36181,6099,17173,0.35462,0.36899
2021,Sometimes,0.16197,2608,17173,0.15646,0.16748
2021,Often,0.06220,1064,17173,0.05858,0.06581
2021,Very often,0.01518,265,17173,0.01335,0.01700
2022,Very seldom,0.36373,9147,26093,0.35789,0.36957
2022,Seldom,0.33984,8554,26093,0.33410,0.34559
2022,Sometimes,0.19656,5356,26093,0.19174,0.20138
2022,Often,0.07808,2348,26093,0.07482,0.08133
2022,Very often,0.02179,688,26093,0.02002,0.02356
