year,regtyp,sex,plh0185,proportion,n,proportion_lower_confidence,proportion_upper_confidence
2007,Urban regions,male,Very seldom,0.5088300220750552,25385,0.502680097945576,0.5149799462045345
2007,Urban regions,male,Seldom,0.31031220435193946,25385,0.30462114406549706,0.31600326463838185
2007,Urban regions,male,Sometimes,0.13197729422894985,25385,0.12781356345405137,0.13614102500384834
2007,Urban regions,male,Often,0.03815830968148849,25385,0.03580155786608222,0.040515061496894766
2007,Urban regions,male,Very often,0.010722169662567014,25385,0.00945519490214674,0.011989144422987288
2007,Urban regions,female,Very seldom,0.3446856818504328,25385,0.3388390743728445,0.3505322893280211
2007,Urban regions,female,Seldom,0.3148857669930467,25385,0.3091719609002135,0.32059957308587994
2007,Urban regions,female,Sometimes,0.2260536398467433,25385,0.22090812695431375,0.23119915273917283
2007,Urban regions,female,Often,0.09096069249325954,25385,0.08742328006022074,0.09449810492629834
2007,Urban regions,female,Very often,0.023414218816517667,25385,0.021554006471241605,0.025274431161793728
2007,Rural regions,male,Very seldom,0.4762326542663124,25385,0.47008872393661616,0.48237658459600863
2007,Rural regions,male,Seldom,0.3253616770002952,25385,0.3195981784228554,0.3311251755777351
2007,Rural regions,male,Sometimes,0.15293770298198997,25385,0.14850995957719898,0.15736544638678096
2007,Rural regions,male,Often,0.03602007676409802,25385,0.0337277643888574,0.03831238913933864
2007,Rural regions,male,Very often,0.0094478889873044,25385,0.008257816151487997,0.010637961823120802
2007,Rural regions,female,Seldom,0.3223593964334705,25385,0.31660979996936356,0.32810899289757745
2007,Rural regions,female,Very seldom,0.3138545953360768,25385,0.308145861263566,0.31956332940858756
2007,Rural regions,female,Sometimes,0.2540466392318244,25385,0.2486913855068205,0.2594018929568283
2007,Rural regions,female,Often,0.08587105624142662,25385,0.08242442658971963,0.0893176858931336
2007,Rural regions,female,Very often,0.023868312757201648,25385,0.021990585316453676,0.02574604019794962
2008,Urban regions,male,Very seldom,0.5035140562248996,23673,0.4971448002885713,0.509883312161228
2008,Urban regions,male,Seldom,0.32680722891566266,23673,0.3208321317589051,0.3327823260724202
2008,Urban regions,male,Sometimes,0.12232262382864792,23673,0.11814864474679512,0.12649660291050072
2008,Urban regions,male,Often,0.03781793842034806,23673,0.03538793449347285,0.040247942347223266
2008,Urban regions,male,Very often,0.009538152610441768,23673,0.008299982170904205,0.01077632304997933
2008,Urban regions,female,Seldom,0.34824521765326105,23673,0.34217625987474853,0.35431417543177357
2008,Urban regions,female,Very seldom,0.3370989606868504,23673,0.3310770753886422,0.34312084598505865
2008,Urban regions,female,Sometimes,0.2123813827383642,23673,0.20717128787420752,0.2175914776025209
2008,Urban regions,female,Often,0.08073505045940654,23673,0.07726464008071558,0.0842054608380975
2008,Urban regions,female,Very often,0.021539388462117788,23673,0.019690044130438962,0.023388732793796614
2008,Rural regions,male,Very seldom,0.4592731829573935,23673,0.45292493443187654,0.46562143148291046
2008,Rural regions,male,Seldom,0.3643483709273183,23673,0.3582178494181625,0.37047889243647414
