year,quintil_oecd,sex,plh0185,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2007,1st Quintile,male,Very seldom,0.43476,598,1308,0.40788,0.46163
2007,1st Quintile,male,Seldom,0.29735,410,1308,0.27257,0.32213
2007,1st Quintile,male,Sometimes,0.18060,216,1308,0.15975,0.20146
2007,1st Quintile,male,Often,0.06996,84,1308,0.05613,0.08379
2007,1st Quintile,female,Very seldom,0.30210,547,1847,0.28116,0.32305
2007,1st Quintile,female,Seldom,0.28185,540,1847,0.26133,0.30238
2007,1st Quintile,female,Sometimes,0.26323,471,1847,0.24314,0.28332
2007,1st Quintile,female,Often,0.12254,229,1847,0.10758,0.13750
2007,1st Quintile,female,Very often,0.03027,60,1847,0.02246,0.03809
2007,2nd Quintile,male,Very seldom,0.45395,749,1579,0.42939,0.47852
2007,2nd Quintile,male,Seldom,0.31364,513,1579,0.29075,0.33654
2007,2nd Quintile,male,Sometimes,0.17637,250,1579,0.15757,0.19518
2007,2nd Quintile,male,Often,0.04535,67,1579,0.03509,0.05562
2007,2nd Quintile,female,Very seldom,0.32380,624,1901,0.30276,0.34484
2007,2nd Quintile,female,Seldom,0.29951,584,1901,0.27891,0.32010
2007,2nd Quintile,female,Sometimes,0.24055,458,1901,0.22133,0.25977
2007,2nd Quintile,female,Often,0.09899,177,1901,0.08556,0.11242
2007,2nd Quintile,female,Very often,0.03715,58,1901,0.02865,0.04566
2007,3rd Quintile,male,Very seldom,0.50380,935,1818,0.48081,0.52679
2007,3rd Quintile,male,Seldom,0.31074,567,1818,0.28946,0.33202
2007,3rd Quintile,male,Sometimes,0.13703,255,1818,0.12122,0.15284
2007,3rd Quintile,male,Often,0.03772,61,1818,0.02896,0.04648
2007,3rd Quintile,female,Very seldom,0.32773,647,2016,0.30724,0.34823
2007,3rd Quintile,female,Seldom,0.33590,672,2016,0.31527,0.35652
2007,3rd Quintile,female,Sometimes,0.21890,465,2016,0.20084,0.23695
2007,3rd Quintile,female,Often,0.09330,177,2016,0.08060,0.10600
2007,3rd Quintile,female,Very often,0.02417,55,2016,0.01746,0.03087
2007,4th Quintile,male,Very seldom,0.47181,1070,2126,0.45059,0.49304
2007,4th Quintile,male,Seldom,0.33559,694,2126,0.31551,0.35567
2007,4th Quintile,male,Sometimes,0.15425,298,2126,0.13890,0.16961
2007,4th Quintile,male,Often,0.02943,64,2126,0.02225,0.03662
2007,4th Quintile,female,Very seldom,0.32511,698,2160,0.30535,0.34487
2007,4th Quintile,female,Seldom,0.31391,717,2160,0.29434,0.33349
2007,4th Quintile,female,Sometimes,0.24064,511,2160,0.22261,0.25867
2007,4th Quintile,female,Often,0.09677,186,2160,0.08430,0.10925
2007,4th Quintile,female,Very often,0.02356,48,2160,0.01716,0.02996
2007,5th Quintile,male,Very seldom,0.48763,1488,2796,0.46910,0.50616
2007,5th Quintile,male,Seldom,0.34138,885,2796,0.32381,0.35896
2007,5th Quintile,male,Sometimes,0.12138,335,2796,0.10927,0.13349
2007,5th Quintile,male,Often,0.04276,88,2796,0.03526,0.05026
2007,5th Quintile,female,Very seldom,0.35918,1057,2767,0.34130,0.37706
2007,5th Quintile,female,Seldom,0.31705,881,2767,0.29971,0.33440
2007,5th Quintile,female,Sometimes,0.23639,614,2767,0.22056,0.25223
2007,5th Quintile,female,Often,0.07279,184,2767,0.06311,0.08247
2007,5th Quintile,female,Very often,0.01458,31,2767,0.01011,0.01905
2008,1st Quintile,male,Very seldom,0.44957,573,1208,0.42151,0.47763
2008,1st Quintile,male,Seldom,0.30117,386,1208,0.27529,0.32705
2008,1st Quintile,male,Sometimes,0.15939,184,1208,0.13874,0.18004
