year,regtyp,plh0185,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2007,Urban regions,Very seldom,0.40429,5679,13435,0.39599,0.41259
2007,Urban regions,Seldom,0.31060,4195,13435,0.30278,0.31843
2007,Urban regions,Sometimes,0.19242,2440,13435,0.18576,0.19909
2007,Urban regions,Often,0.07333,888,13435,0.06893,0.07774
2007,Urban regions,Very often,0.01935,233,13435,0.01702,0.02168
2007,Rural regions,Very seldom,0.38389,2734,6986,0.37248,0.39529
2007,Rural regions,Seldom,0.32492,2269,6986,0.31394,0.33591
2007,Rural regions,Sometimes,0.20713,1434,6986,0.19762,0.21663
2007,Rural regions,Often,0.06723,430,6986,0.06136,0.07310
2007,Rural regions,Very often,0.01683,119,6986,0.01382,0.01985
2008,Urban regions,Very seldom,0.40595,5265,12653,0.39739,0.41450
2008,Urban regions,Seldom,0.33020,4277,12653,0.32201,0.33840
2008,Urban regions,Sometimes,0.17898,2145,12653,0.17230,0.18566
2008,Urban regions,Often,0.06697,766,12653,0.06261,0.07132
2008,Urban regions,Very often,0.01791,200,12653,0.01560,0.02022
2008,Rural regions,Very seldom,0.37941,2494,6584,0.36769,0.39113
2008,Rural regions,Seldom,0.35445,2402,6584,0.34289,0.36600
2008,Rural regions,Sometimes,0.18254,1181,6584,0.17321,0.19187
2008,Rural regions,Often,0.06775,401,6584,0.06168,0.07382
2008,Rural regions,Very often,0.01585,106,6584,0.01283,0.01887
2009,Urban regions,Very seldom,0.39694,4771,11641,0.38806,0.40583
2009,Urban regions,Seldom,0.33243,3880,11641,0.32388,0.34099
2009,Urban regions,Sometimes,0.18927,2103,11641,0.18215,0.19639
2009,Urban regions,Often,0.06502,699,11641,0.06055,0.06950
2009,Urban regions,Very often,0.01633,188,11641,0.01402,0.01863
2009,Rural regions,Very seldom,0.36977,2390,6255,0.35781,0.38174
2009,Rural regions,Seldom,0.35052,2214,6255,0.33869,0.36234
2009,Rural regions,Sometimes,0.19641,1143,6255,0.18656,0.20626
2009,Rural regions,Often,0.06504,406,6255,0.05893,0.07115
2009,Rural regions,Very often,0.01826,102,6255,0.01495,0.02158
2010,Urban regions,Very seldom,0.37814,4327,10877,0.36903,0.38725
2010,Urban regions,Seldom,0.35131,3811,10877,0.34234,0.36028
2010,Urban regions,Sometimes,0.19150,1961,10877,0.18410,0.19889
2010,Urban regions,Often,0.06608,646,10877,0.06141,0.07075
2010,Urban regions,Very often,0.01298,132,10877,0.01085,0.01510
2010,Rural regions,Very seldom,0.35208,2120,5700,0.33968,0.36448
2010,Rural regions,Seldom,0.37385,2118,5700,0.36129,0.38641
2010,Rural regions,Sometimes,0.19493,1042,5700,0.18465,0.20522
2010,Rural regions,Often,0.06717,348,5700,0.06067,0.07367
2010,Rural regions,Very often,0.01196,72,5700,0.00914,0.01478
2011,Urban regions,Very seldom,0.38299,5266,13307,0.37473,0.39125
2011,Urban regions,Seldom,0.33279,4435,13307,0.32479,0.34080
2011,Urban regions,Sometimes,0.19961,2590,13307,0.19282,0.20640
2011,Urban regions,Often,0.06824,809,13307,0.06396,0.07253
2011,Urban regions,Very often,0.01637,207,13307,0.01421,0.01852
2011,Rural regions,Very seldom,0.36216,2749,7308,0.35114,0.37318
2011,Rural regions,Seldom,0.35530,2578,7308,0.34433,0.36628
2011,Rural regions,Sometimes,0.20157,1428,7308,0.19238,0.21077
2011,Rural regions,Often,0.06512,447,7308,0.05946,0.07077
2011,Rural regions,Very often,0.01584,106,7308,0.01298,0.01870
2012,Urban regions,Very seldom,0.41214,5452,13028,0.40369,0.42059
2012,Urban regions,Seldom,0.33681,4392,13028,0.32869,0.34493
2012,Urban regions,Sometimes,0.17938,2263,13028,0.17279,0.18596
2012,Urban regions,Often,0.05901,764,13028,0.05497,0.06306
2012,Urban regions,Very often,0.01266,157,13028,0.01074,0.01458
2012,Rural regions,Very seldom,0.39199,3016,7397,0.38086,0.40312
2012,Rural regions,Seldom,0.36696,2679,7397,0.35598,0.37795
2012,Rural regions,Sometimes,0.16890,1214,7397,0.16036,0.17744
2012,Rural regions,Often,0.05768,389,7397,0.05237,0.06300
2012,Rural regions,Very often,0.01446,99,7397,0.01174,0.01718
2013,Urban regions,Very seldom,0.41079,6694,16273,0.40323,0.41835
2013,Urban regions,Seldom,0.33982,5770,16273,0.33255,0.34710
2013,Urban regions,Sometimes,0.17453,2637,16273,0.16870,0.18037
2013,Urban regions,Often,0.06185,944,16273,0.05814,0.06555
2013,Urban regions,Very often,0.01300,228,16273,0.01126,0.01475
2013,Rural regions,Very seldom,0.39844,3863,9314,0.38850,0.40838
2013,Rural regions,Seldom,0.35186,3289,9314,0.34216,0.36156
2013,Rural regions,Sometimes,0.17369,1494,9314,0.16599,0.18138
2013,Rural regions,Often,0.06060,525,9314,0.05576,0.06545
2013,Rural regions,Very often,0.01541,143,9314,0.01291,0.01791
2014,Urban regions,Very seldom,0.41479,7429,17606,0.40751,0.42207
