year,sampreg,plh0185,proportion,n,proportion_lower_confidence,proportion_upper_confidence
2007,West,Very seldom,0.4247019180922758,25385,0.41862118330847614,0.4307826528760755
2007,West,Seldom,0.31246759979263866,25385,0.3067657395547442,0.31816946003053315
2007,West,Sometimes,0.1809227579056506,25385,0.17618714149589462,0.18565837431540658
2007,West,Often,0.06480041472265423,25385,0.06177204752809347,0.06782878191721499
2007,West,Very often,0.017107309486780714,25385,0.015512123241264227,0.0187024957322972
2007,East,Very seldom,0.37261976347965525,25385,0.3666718335008675,0.378567693458443
2007,East,Seldom,0.3291240729605131,25385,0.3233435328890731,0.3349046130319531
2007,East,Sometimes,0.21687712968530767,25385,0.2118073472835148,0.22194691208710055
2007,East,Often,0.06374022850270596,25385,0.06073503475110814,0.06674542225430377
2007,East,Very often,0.017638805371818,25385,0.016019466761951623,0.019258143981684378
2008,West,Very seldom,0.4151646985705407,23673,0.40888763652922466,0.4214417606118568
2008,West,Seldom,0.3389268696913197,23673,0.33289701043620334,0.34495672894643603
2008,West,Sometimes,0.169601546854499,23673,0.1648208897748301,0.1743822039341679
2008,West,Often,0.06014777984945791,23673,0.05711899092249582,0.06317656877642
2008,West,Very often,0.016159105034182723,23673,0.014552901749794895,0.017765308318570552
2008,East,Seldom,0.3723717409587889,23673,0.3662133249218218,0.378530156995756
2008,East,Very seldom,0.3673254835996636,23673,0.3611843983997345,0.3734665687995927
2008,East,Sometimes,0.18292682926829268,23673,0.17800191583923955,0.1878517426973458
2008,East,Often,0.06223717409587889,23673,0.059159654256982226,0.06531469393477556
2008,East,Very often,0.015138772077375946,23673,0.013583299826734185,0.016694244328017707
2009,West,Very seldom,0.4082623636635291,21983,0.401764855100547,0.4147598722265112
2009,West,Seldom,0.3321380546839982,21983,0.3259119666184087,0.3383641427495877
2009,West,Sometimes,0.1813835350366054,21983,0.17628961926028072,0.18647745081293007
2009,West,Often,0.06125803077842522,21983,0.05808797265877856,0.06442808889807188
2009,West,Very often,0.016958015837442105,21983,0.015251202048374535,0.018664829626509675
2009,East,Very seldom,0.3760532150776053,21983,0.3696498093513074,0.3824566208039032
2009,East,Seldom,0.365410199556541,21983,0.3590444511805723,0.37177594793250973
2009,East,Sometimes,0.18137472283813746,21983,0.17628090338614777,0.18646854229012716
2009,East,Often,0.06319290465631928,21983,0.05997649145333722,0.06640931785930135
2009,East,Very often,0.013968957871396896,21983,0.012417500350741689,0.015520415392052104
2010,West,Very seldom,0.3954122553737568,35837,0.39034998915348257,0.400474521594031
2010,West,Seldom,0.35153994225216556,35837,0.34659661682343096,0.35648326768090016
2010,West,Sometimes,0.1809432146294514,35837,0.17695738799307503,0.18492904126582776
2010,West,Often,0.0595925569457812,35837,0.057141551439129586,0.06204356245243282
2010,West,Very often,0.012512030798845043,35837,0.011361177261334114,0.013662884336355971
2010,East,Seldom,0.37624726210756876,35837,0.37123154360435057,0.38126298061078695
2010,East,Very seldom,0.36918958384035044,35837,0.364193101051676,0.37418606662902487
2010,East,Sometimes,0.181796057434899,35837,0.17780292915493176,0.18578918571486622
2010,East,Often,0.06108542224385495,35837,0.058605876760534366,0.06356496772717553
2010,East,Very often,0.011681674373326843,35837,0.010569196914055204,0.012794151832598482
2011,West,Very seldom,0.3920559262789959,41903,0.38738138134231814,0.3967304712156736
2011,West,Seldom,0.3367651731808071,41903,0.3322400463036728,0.3412903000579414
2011,West,Sometimes,0.19396250397203685,41903,0.1901765962301349,0.1977484117139388
2011,West,Often,0.06151890689545599,41903,0.059218256748903325,0.06381955704200866
2011,West,Very often,0.01569748967270416,41903,0.01450730894858289,0.016887670396825434
2011,East,Very seldom,0.37822878228782286,41903,0.3735854890949555,0.38287207548069024
2011,East,Seldom,0.35116851168511687,41903,0.34659807964524125,0.3557389437249925
2011,East,Sometimes,0.1980319803198032,41903,0.19421623216234077,0.20184772847726565
2011,East,Often,0.05904059040590406,41903,0.05678378401205997,0.06129739679974815
2011,East,Very often,0.013530135301353014,41903,0.012423953538862659,0.01463631706384337
2012,West,Very seldom,0.42207542329399694,40229,0.4172490926997516,0.4269017538882423
2012,West,Seldom,0.340366854797332,40229,0.3357365314656654,0.34499717812899855
2012,West,Sometimes,0.16841970241149307,40229,0.16476261790314453,0.1720767869198416
2012,West,Often,0.0568881477680862,40229,0.05462465583516183,0.05915163970101057
2012,West,Very often,0.012249871729091841,40229,0.011174952651638941,0.013324790806544742
2012,East,Very seldom,0.3904407200496586,40229,0.38567342557548545,0.3952080145238317
2012,East,Seldom,0.3649906890130354,40229,0.360286146556018,0.3696952314700528
2012,East,Sometimes,0.1760811090420029,40229,0.17235903450829354,0.17980318357571223
2012,East,Often,0.05503827850196565,40229,0.05280971003208576,0.057266846971845545
2012,East,Very often,0.013449203393337472,40229,0.012323576503444966,0.014574830283229978
2013,West,Very seldom,0.4131769679887256,44486,0.40860117866930473,0.4177527573081465
2013,West,Seldom,0.3544896315683511,44486,0.350044365378371,0.3589348977583312
2013,West,Sometimes,0.1606603583652104,44486,0.15724789792160757,0.16407281880881322
2013,West,Often,0.057781356955909,44486,0.05561308322880675,0.05994963068301124
2013,West,Very often,0.013891685121803906,44486,0.012804047633283697,0.014979322610324116
2013,East,Very seldom,0.4104582021685904,44486,0.4058869396504495,0.41502946468673135
2013,East,Seldom,0.35257082896117525,44486,0.34813102583482997,0.35701063208752054
2013,East,Sometimes,0.16421825813221405,44486,0.16077553931769495,0.16766097694673315
2013,East,Often,0.05613850996852046,44486,0.05399942041493061,0.05827759952211031
2013,East,Very often,0.016614200769499824,44486,0.015426393207071223,0.017802008331928423
2014,West,Very seldom,0.42645067923999813,38694,0.4215228681813695,0.43137849029862674
2014,West,Seldom,0.33845292003174454,38694,0.33373811466950964,0.34316772539397944
2014,West,Sometimes,0.16171047103309835,38694,0.15804187113649223,0.16537907092970447
2014,West,Often,0.05723355585640259,38694,0.05491903189979135,0.059548079813013834
2014,West,Very often,0.01615237383875636,38694,0.014896296566291814,0.017408451111220906
2014,East,Very seldom,0.40914798206278025,38694,0.4042489100193614,0.4140470541061991
2014,East,Seldom,0.3591031390134529,38694,0.3543230285739914,0.36388324945291445
2014,East,Sometimes,0.164304932735426,38694,0.16061274752757482,0.1679971179432772
2014,East,Often,0.053094170403587444,38694,0.050860026862903786,0.0553283139442711
2014,East,Very often,0.014349775784753363,38694,0.013164776118987621,0.015534775450519105
2015,West,Very seldom,0.4175032958117838,38036,0.41254724965611955,0.42245934196744805
2015,West,Seldom,0.34636446607849103,38036,0.34158264695635304,0.351146285200629
2015,West,Sometimes,0.163573674069567,38036,0.15985636044874094,0.16729098769039305
2015,West,Often,0.05684007707129094,38036,0.054513172085259166,0.059166982057322716
2015,West,Very often,0.015718486968867254,38036,0.014468447614884573,0.016968526322849935
2015,East,Very seldom,0.39128773404661826,38036,0.3863830301275056,0.39619243796573095
2015,East,Seldom,0.36568589988536493,38036,0.36084568166402176,0.3705261181067081
2015,East,Sometimes,0.17157050057317538,38036,0.16778164772189538,0.17535935342445538
